0	Code 	Date      	Index      	 *	Score 	Summary	Detail	
1	24ZM7	8072_08_13	25623 13311	 * 	456.65	橙橙3易伤3矿等3等级3攻速1技能	138攻速23a等级38a序列升级48a矿等58a易伤67核9技能
2	FB7N8	46042_02_02	31361 61325	 * 	451.71	橙橙5易伤3矿等3等级1伤害	179矿等24579易伤379等级68核79序列升级a伤害
3	J65F3	57070_10_21	51122 24431	 * 	450.91	橙橙3易伤3矿等3伤害1等级1技能	1全技能28a易伤3技能4等级58a矿等69核78a伤害8a序列升级
4	JOZ11	58670_06_09	35343 33423	 * 	448.90	橙橙3易伤3矿等3等级3伤害	18a等级25a易伤378伤害48a矿等69核8a序列升级
5	AL2RS	32571_02_12	13322 31553	   	448.19	橙橙3易伤3矿等3伤害2等级	157矿等27a易伤3时间4a等级67a伤害7a序列升级89核
6	MKN95	66989_06_24	35331 33146	   	448.19	橙橙3易伤3矿等3伤害2等级	1全技能279易伤39等级478矿等579伤害6a核79序列升级
7	FB7N8	46042_02_02	31361 61323	   	447.90	橙橙5易伤3矿等3等级1攻速	179矿等24579易伤379等级68核79序列升级a攻速
8	OUUVT	73650_01_23	31133 25242	   	446.82	橙橙3易伤3矿等3伤害2等级	18a伤害28a易伤35等级4随机技能69核78a矿等8a序列升级
9	LI2L5	63881_04_27	23122 54261	 * 	444.87	橙橙4易伤3矿等3伤害1等级	189a易伤2等级39a矿等49a伤害5立即金币67核9a序列升级
10	1SON8	7422_04_09	21325 25215	 * 	443.29	橙橙4易伤3矿等2等级2伤害	17伤害2479易伤345矿等47序列升级67等级8a核
11	BACBP	34481_10_09	16145 33334	   	441.86	橙橙3易伤3矿等3伤害1等级1攻速	178易伤278矿等3等级4攻速578伤害6加一78序列升级9a核
12	SC1KU	83436_07_12	13223 63214	 * 	441.69	橙橙3易伤3等级2矿等2伤害2技能	17a等级27矿等34技能57a易伤69核7a序列升级8a伤害
13	J65F3	57070_10_21	51122 26431	   	441.66	橙橙3易伤3矿等3攻速1等级1技能	1全技能28a易伤3技能4等级58a矿等69核78a攻速8a序列升级
14	6TU9H	21882_02_14	62335 36311	   	440.38	橙橙3易伤3矿等2等级2伤害1攻速	158矿等289易伤3攻速45伤害58序列升级6a核78等级
15	GZ4BQ	47916_09_16	24341 52131	   	439.96	橙橙4易伤3矿等3等级1技能	1技能2378易伤478等级578矿等69核78序列升级a时间
16	3VB7O	13395_06_02	14135 33362	   	439.96	橙橙4易伤3矿等3等级1技能	19a等级289a易伤3技能49a矿等5全技能67核9a序列升级
17	9TLT5	30471_04_27	51112 43334	   	439.88	橙橙3易伤3矿等3伤害2等级	17a矿等23等级47a伤害57a易伤69核7a序列升级8赏金塔
18	24ZM7	8072_08_13	25623 13324	   	439.75	橙橙3易伤3矿等3等级3攻速	138攻速23a等级38a序列升级48a矿等58a易伤67核9平台
19	24ZM7	8072_08_13	25623 13361	   	439.75	橙橙3易伤3矿等3等级3攻速	138攻速23a等级38a序列升级48a矿等58a易伤67核9赏金邻近
20	IJGTZ	55398_04_06	12435 36322	   	439.43	橙橙5易伤3矿等2等级1技能	17等级257矿等34579易伤57序列升级6技能8a核
21	IJGTZ	55398_04_06	13235 36322	   	439.43	橙橙5易伤3矿等2等级1技能	17等级24579易伤357矿等57序列升级6技能8a核
22	BF4TA	34909_06_17	31362 21211	 * 	439.00	紫橙5易伤3矿等3伤害2等级	178矿等2a等级3789a易伤46核578伤害78a序列升级
23	MKN95	66989_06_24	35332 33146	   	438.95	橙橙3易伤3矿等2等级3攻速	1全技能279易伤39等级478矿等579攻速6a核79序列升级
24	QBU59	77684_12_08	21341 41116	 * 	437.68	橙橙3易伤3矿等3伤害3攻速	156攻速279伤害379易伤479矿等79序列升级8a核
25	EAZES	43061_02_10	35542 23113	   	437.43	橙橙4易伤3矿等2伤害1等级	157矿等2时间37伤害4578易伤57序列升级6a核9等级
26	9CUH4	28970_05_01	22433 52111	   	436.85	橙橙3易伤3矿等1等级2攻速1伤害	139易伤239矿等39序列升级4暴击5伤害68核79攻速a等级
27	J5Z4B	56966_02_16	33335 11434	   	436.53	橙橙3易伤3矿等3攻速1等级1伤害	18a易伤2策反38a矿等4等级5伤害69核78a攻速8a序列升级
28	J6T43	57137_02_16	34123 63235	   	434.72	橙橙4易伤3矿等3等级1伤害	149a易伤29a矿等3挖尘5伤害67核89a等级9a序列升级
29	RNZTA	81550_06_06	41321 54213	   	434.41	橙橙3矿等2易伤3等级3攻速1技能	179等级2技能34易伤579攻速679矿等79序列升级8a核
30	EK6ZF	43973_10_30	12112 45223	   	434.02	橙橙3易伤3矿等3伤害1等级	19a伤害2全技能3等级49a易伤59a矿等6额外掉落78核9a序列升级
31	2VRER	10569_12_29	55631 21233	   	434.02	橙橙3易伤3矿等3伤害1等级	178伤害2等级378矿等4立即金币578易伤6a核78序列升级9时间
32	39CZN	11423_11_11	32132 33515	   	434.02	橙橙3易伤3矿等3伤害1等级	179伤害2等级379矿等4时间5最后敌人679易伤79序列升级8a核
33	39CZN	11423_11_11	32134 33515	   	434.02	橙橙3易伤3矿等3伤害1等级	179伤害2等级379矿等4时间5敌人爆炸679易伤79序列升级8a核
34	RK6F7	81296_11_12	22322 53623	   	433.36	橙橙3易伤3矿等3攻速1等级1技能	1技能279易伤3雷电479攻速579矿等68核79序列升级a等级
35	AUMS7	33434_08_30	61613 32336	   	433.26	橙橙3易伤3矿等3攻速1等级1技能	178攻速2技能3等级478易伤578矿等6a核78序列升级9掉矿
36	IBNR6	54700_01_02	12413 51315	   	433.26	橙橙3易伤3矿等3攻速1等级1技能	19a矿等29a易伤3烈焰减费4等级5技能67核89a攻速9a序列升级
37	2AOA6	8677_02_22	32223 22146	   	433.24	橙橙3易伤3矿等3等级2伤害	1双倍矿279易伤39伤害467矿等579等级79序列升级8a核
38	K6CVU	59962_10_23	36363 13114	   	433.14	橙橙3易伤3矿等3等级2伤害	178易伤28伤害347矿等578等级6a核78序列升级9挖尘
39	K5E4H	59876_04_19	12234 41143	   	432.75	橙橙4易伤3矿等3伤害2暴击	18a伤害25暴击389a易伤48a矿等67核8a序列升级
40	MOR8L	67359_07_07	42111 32111	   	432.58	橙橙3易伤2矿等2等级2伤害2技能	18等级29技能35矿等458易伤58序列升级68伤害7a核
41	H1EH6	50905_11_01	12116 14341	   	432.45	橙橙3易伤3矿等3等级1伤害1技能	1核弹2技能378矿等478等级578易伤6a核78序列升级9伤害
42	JRN9I	59004_10_25	41151 12315	   	432.13	橙橙3矿等2易伤2等级2攻速2暴击1技能	179矿等29易伤37等级4技能57暴击6a核79序列升级89攻速
43	U3ZF5	88367_08_02	13333 22242	 * 	431.88	橙橙3矿等2易伤3攻速2伤害1等级	15a攻速2等级3a易伤459矿等5a序列升级6a伤害78核
44	FB7N8	46042_02_02	31361 61322	   	431.65	橙橙5易伤3矿等3等级	179矿等24579易伤379等级68核79序列升级a雷电
