0	Index      	 *	Score 	Summary	Detail	
1	32552 23325	 * 	270.69	橙橙2易伤2矿等1全技能	1a敌人爆炸2全技能3基地爆炸4双倍物品5a矿等6双倍秒伤78核9a易伤a序列升级
2	61252 34233	 * 	268.53	橙橙2等级1易伤1矿等1时间	13等级2赏金塔4毒液对冰5随机技能6矿等79核8时间a易伤
3	46132 26312	 * 	264.63	橙橙3易伤1全技能	1风暴减费24毒气减费347易伤4序列升级5挖尘6全技能8a核9随机技能
4	62324 13423	 * 	261.98	橙橙1易伤2时间1等级	1等级29时间3挖尘4赏金邻近5攻速68核7额外掉落a易伤
5	61325 41113	   	258.29	橙橙1易伤1等级1矿等1暴击	1等级2赏金塔3金币生成4额外掉落5最后敌人6易伤78核9矿等a暴击
6	61326 61113	   	258.29	橙橙1易伤1等级1矿等1暴击	1等级2赏金塔3金币生成4额外掉落5易伤6敌人爆炸78核9矿等a暴击
7	61515 21113	   	258.29	橙橙1易伤1等级1矿等1暴击	1等级2赏金塔3敌人爆炸4额外掉落5随机矿6易伤78核9矿等a暴击
8	32422 51315	   	256.34	橙橙2易伤1全技能1技能	1敌人爆炸2全技能3掉矿45易伤69核7基地爆炸8随机技能a技能
9	32422 52315	   	256.24	橙橙2易伤1全技能1技能	1敌人爆炸2全技能3掉矿45易伤69核7挖尘8随机技能a技能
10	32554 33322	   	256.24	橙橙1易伤1等级1全技能1暴击	1敌人爆炸2全技能3基地爆炸4双倍物品5双倍秒伤6等级78核9易伤a暴击
11	61321 31164	 * 	255.14	橙橙2易伤1等级	1等级2赏金塔35金币生成4额外掉落6双倍秒伤78核9a易伤
12	62142 12142	   	255.14	橙橙1易伤2时间1等级	1等级29时间3金币生成4平台5加一6最后敌人7a核8易伤
13	62142 22142	   	255.14	橙橙1易伤2时间1等级	1等级29时间3金币生成4平台5加一6低血量敌人7a核8易伤
14	62142 62242	   	255.14	橙橙1易伤2时间1等级	1等级29时间3金币生成4平台5加一6易伤7a核8最后敌人
15	46133 26312	 * 	255.04	橙橙2易伤2全技能	1风暴减费24毒气减费34易伤4序列升级5基地爆炸67全技能8a核9随机技能
16	63112 63433	   	254.94	橙橙1易伤2时间1等级	1等级2随机技能3狙击对毒48时间5掉矿69核7赏金邻近a易伤
17	61252 34133	   	254.88	橙橙2等级1易伤1矿等	13等级2赏金塔4毒液对冰5随机技能6矿等79核8低血量敌人a易伤
18	61324 11124	   	252.92	橙橙2等级1易伤1时间	16等级2赏金塔3金币生成4额外掉落5双倍秒伤78核9时间a易伤
19	62221 51218	   	252.92	橙橙2等级1易伤1时间	13等级2时间4挖尘5敌人爆炸6a核7头目8易伤9加一
