0	Index      	 *	Score 	Summary	Detail	
1	23221 24245	 * 	241.66	橙3易伤1等级1伤害1矿等1时间	1敌人爆炸2头目3等级4时间5伤害679易伤8矿等a核
2	25611 16121	 * 	237.51	橙4易伤2时间1等级	1敌人爆炸2双倍秒伤3458易伤6核7a时间9等级
3	25611 16131	   	237.51	橙4易伤2时间1等级	1敌人爆炸2双倍秒伤3458易伤6核79时间a等级
4	32416 16132	 * 	235.78	橙橙2易伤1核弹	1技能点2核弹3攻速4基础对甲57易伤6随机技能8a核9金币生成
5	25611 16123	 * 	235.39	橙4易伤2等级1时间	1敌人爆炸2双倍秒伤3458易伤6核7时间9a等级
6	25223 33114	   	231.99	橙橙1易伤1矿等1时间	1敌人爆炸2双倍秒伤3头目4时间5风暴减费6a核7易伤8基地爆炸9矿等
7	25223 33514	   	231.99	橙橙1易伤1矿等1时间	1敌人爆炸2双倍秒伤3头目4时间5风暴减费6a核7易伤8低血量敌人9矿等
8	25323 33114	   	231.99	橙橙1易伤1矿等1时间	1敌人爆炸2双倍秒伤3雷电4时间5风暴减费6a核7易伤8基地爆炸9矿等
9	25323 33514	   	231.99	橙橙1易伤1矿等1时间	1敌人爆炸2双倍秒伤3雷电4时间5风暴减费6a核7易伤8低血量敌人9矿等
10	65223 33114	   	231.99	橙橙1易伤1矿等1时间	1低血量敌人2双倍秒伤3头目4时间5风暴减费6a核7易伤8基地爆炸9矿等
11	65323 33114	   	231.99	橙橙1易伤1矿等1时间	1低血量敌人2双倍秒伤3雷电4时间5风暴减费6a核7易伤8基地爆炸9矿等
12	25223 33614	   	231.89	橙橙1易伤1矿等1时间	1敌人爆炸2双倍秒伤3头目4时间5风暴减费6a核7易伤8挖青9矿等
13	25323 33614	   	231.89	橙橙1易伤1矿等1时间	1敌人爆炸2双倍秒伤3雷电4时间5风暴减费6a核7易伤8挖青9矿等
14	31123 35164	   	228.84	橙橙2易伤	1技能点2赏金塔3金币生成4掉矿58易伤6a核7雷电9低血量敌人
15	31123 35214	   	228.84	橙橙2易伤	1技能点2赏金塔3金币生成4掉矿59易伤6a核7雷电8敌人爆炸
16	31123 35614	   	228.84	橙橙2易伤	1技能点2赏金塔3金币生成4掉矿59易伤6a核7雷电8基地爆炸
17	32316 16132	   	228.84	橙橙2易伤1核弹	1技能点2核弹3策反4基础对甲57易伤6随机技能8a核9金币生成
18	32316 16142	   	228.84	橙橙2易伤1核弹	1技能点2核弹3策反4基础对甲57易伤6随机技能8a核9随机矿
19	35123 35214	   	228.84	橙橙2易伤	1技能点2赏金邻近3金币生成4掉矿59易伤6a核7雷电8敌人爆炸
20	23223 24245	   	228.53	橙3易伤1等级1矿等1时间	1敌人爆炸2头目3等级4时间5攻速679易伤8矿等a核
21	23321 24223	 * 	227.74	橙3易伤2矿等1伤害1时间	1敌人爆炸2头目38矿等4时间5伤害679易伤a核
22	63321 24223	   	227.74	橙3易伤2矿等1伤害1时间	1低血量敌人2头目38矿等4时间5伤害679易伤a核
23	23221 24123	   	225.95	橙3易伤1等级1伤害1时间	1敌人爆炸2头目3等级4时间5伤害679易伤8烈焰减费a核
24	63221 24123	   	225.95	橙3易伤1等级1伤害1时间	1低血量敌人2头目3等级4时间5伤害679易伤8烈焰减费a核
25	25611 16122	   	225.05	橙4易伤1等级1时间	1敌人爆炸2双倍秒伤3458易伤6核7时间9等级a平台
26	25611 31121	   	225.05	橙4易伤1等级1时间	1敌人爆炸2双倍秒伤3458易伤6基地爆炸7核9等级a时间
27	25611 61121	   	225.05	橙4易伤1等级1时间	1敌人爆炸2双倍秒伤3458易伤6低血量敌人7核9等级a时间
28	25611 15121	   	224.95	橙4易伤1等级1时间	1敌人爆炸2双倍秒伤3458易伤6核7挖尘9等级a时间
29	25611 16113	   	224.95	橙4易伤1等级1时间	1敌人爆炸2双倍秒伤3458易伤6核7时间9掉矿a等级
30	33136 31641	 * 	224.85	橙橙1伤害1时间1暴击	1技能点2头目3双倍秒伤4基础对甲5攻速6a核7伤害8时间9暴击
31	33136 32121	   	224.85	橙橙1伤害1时间1暴击	1技能点2头目3双倍秒伤4基础对甲5攻速6a核7暴击8时间9伤害
32	23321 24243	 * 	223.19	橙2易伤2伤害2矿等1时间	1敌人爆炸2头目38矿等4时间59伤害67易伤a核
33	63321 24243	   	223.19	橙2易伤2伤害2矿等1时间	1低血量敌人2头目38矿等4时间59伤害67易伤a核
34	23221 24143	 * 	221.40	橙2易伤2伤害1等级1时间	1敌人爆炸2头目3等级4时间59伤害67易伤8烈焰减费a核
35	63221 24143	   	221.40	橙2易伤2伤害1等级1时间	1低血量敌人2头目3等级4时间59伤害67易伤8烈焰减费a核
36	25611 13421	   	221.39	橙3易伤1等级1矿等1时间	1敌人爆炸2双倍秒伤345易伤6核7技能点8矿等9等级a时间
37	25616 21121	   	221.39	橙3易伤1等级1矿等1时间	1敌人爆炸2双倍秒伤348易伤5技能点6矿等7核9等级a时间
38	25612 21153	 * 	221.22	紫橙2易伤1等级	1敌人爆炸2双倍秒伤34易伤5a核6加一7等级8低血量敌人9平台
39	25612 21823	   	221.22	紫橙2易伤1等级	1敌人爆炸2双倍秒伤34易伤5a核6加一7等级8平台9最后敌人
40	25612 21813	   	221.12	紫橙2易伤1等级	1敌人爆炸2双倍秒伤34易伤5a核6加一7等级8平台9挖尘
41	22622 12651	 * 	219.94	橙橙1等级1导弹对毒1核弹	1敌人爆炸2核弹3雷电4攻速5防空对愈6挖尘7导弹对毒89核a等级
42	22623 12651	   	219.94	橙橙1等级1导弹对毒1核弹	1敌人爆炸2核弹3雷电4攻速5电塔对黄6挖尘7导弹对毒89核a等级
43	33621 62162	 * 	219.81	橙3易伤1伤害2暴击1时间1技能	19技能点2头目39a易伤4时间5伤害69暴击7核8技能9序列升级
44	23221 22245	   	219.52	橙2易伤1等级1伤害1矿等1时间	1敌人爆炸2头目3等级4时间5伤害69易伤7立即金币8矿等a核
45	23221 23245	   	219.52	橙2易伤1等级1伤害1矿等1时间	17敌人爆炸2头目3等级4时间5伤害69易伤8矿等a核
46	63221 22245	   	219.52	橙2易伤1等级1伤害1矿等1时间	1低血量敌人2头目3等级4时间5伤害69易伤7立即金币8矿等a核
47	33621 25223	 * 	218.91	橙4易伤1伤害1时间	1技能点2头目3679易伤4时间5伤害8基地爆炸a核
48	25611 13533	   	218.24	橙3易伤2时间1等级	1敌人爆炸2双倍秒伤345易伤6核7技能点89时间a等级
49	26132 63353	   	218.24	橙橙1易伤1矿等	1敌人爆炸2矿等3平台4双倍矿5火球减费6易伤7a核8加一9赏金邻近
50	26132 63373	   	218.24	橙橙1易伤1矿等	1敌人爆炸2矿等3平台4双倍矿5火球减费6易伤7a核8加一9赏金塔
51	26133 63353	   	218.24	橙橙1易伤1矿等	1敌人爆炸2矿等3平台4双倍矿5毒气减费6易伤7a核8加一9赏金邻近
52	26133 63373	   	218.24	橙橙1易伤1矿等	1敌人爆炸2矿等3平台4双倍矿5毒气减费6易伤7a核8加一9赏金塔
53	43313 12641	   	217.91	橙橙1伤害1全技能1暴击	1赏金邻近2赏金塔3伤害4暴击5立即金币6全技能7雷电8a核9毒液对冰
54	23221 62242	   	217.56	橙2易伤1等级1伤害1时间1暴击	1敌人爆炸2头目3等级4时间5伤害6暴击7核8雷电9a易伤
55	63221 62242	   	217.56	橙2易伤1等级1伤害1时间1暴击	1低血量敌人2头目3等级4时间5伤害6暴击7核8雷电9a易伤
56	33621 25243	 * 	217.34	橙3易伤2伤害1时间	1技能点2头目367易伤4时间59伤害8基地爆炸a核
57	33621 25623	   	217.34	橙3易伤2伤害1时间	1技能点2头目367易伤4时间58伤害9基地爆炸a核
58	43315 62112	   	217.26	橙2易伤1等级1伤害1时间1暴击	1赏金邻近2赏金塔3伤害4暴击5双倍秒伤6等级7a易伤8核9时间
59	21123 43621	   	216.49	橙橙1易伤1时间	16敌人爆炸2随机矿3平台4雷电5易伤7a核8时间9激光对绿
60	21123 53621	   	216.49	橙橙1易伤1时间	1敌人爆炸2随机矿3平台4雷电5易伤6立即金币7a核8时间9激光对绿
61	21123 63621	   	216.39	橙橙1易伤1时间	1敌人爆炸2随机矿3平台4雷电5易伤6毒气减费7a核8时间9激光对绿
62	55131 35321	   	216.19	橙橙1易伤1时间	1狙击对毒2随机技能3赏金邻近4时间5挖尘69核7金币生成8赏金塔a易伤
63	25611 31133	 * 	215.74	橙5易伤1时间	1敌人爆炸2双倍秒伤3458a易伤6基地爆炸7核9时间
64	25611 61133	   	215.74	橙5易伤1时间	1敌人爆炸2双倍秒伤3458a易伤6低血量敌人7核9时间
65	25611 15133	   	215.64	橙5易伤1时间	1敌人爆炸2双倍秒伤3458a易伤6核7挖尘9时间
