0	Index      	 *	Score 	Summary	Detail	
1	52263 21326	 * 	263.16	橙橙1易伤1伤害1矿等1暴击1雷电	1最后敌人2双倍秒伤3雷电4伤害5易伤6a核7额外掉落8暴击9矿等
2	23432 61142	   	252.58	橙橙1易伤1矿等1全技能1暴击	1时间2烈焰减费3暴击4易伤5双倍秒伤6全技能79核8额外掉落a矿等
3	21111 52422	 * 	250.91	橙2易伤3伤害1等级1全技能2时间	18时间2全技能389伤害4基地爆炸5等级68易伤7随机矿8序列升级a核
4	25431 25461	 * 	250.46	橙橙1等级1伤害1矿等1雷电	1时间2加一3等级4矿等5雷电6随机技能7伤害8赏金邻近9a核
5	52263 21316	   	247.45	橙橙1易伤1伤害1暴击1雷电	1最后敌人2双倍秒伤3雷电4伤害5易伤6a核7额外掉落8暴击9掉矿
6	25342 61741	   	247.35	橙橙1易伤1伤害2时间1雷电	19时间2加一3赏金塔4伤害5易伤6随机技能7a核8雷电
7	26253 32611	 * 	246.98	橙橙1易伤1等级1雷电	1时间2雷电3易伤4最后敌人5基地爆炸69核7赏金邻近8随机技能a等级
8	26252 32611	   	246.88	橙橙1易伤1等级1雷电	1时间2雷电3易伤4最后敌人5挖青69核7赏金邻近8随机技能a等级
9	41213 32611	   	240.04	橙橙1易伤1等级1雷电	1雷电2最后敌人3易伤4敌人爆炸5基地爆炸69核7赏金邻近8随机技能a等级
10	56213 32611	   	240.04	橙橙1易伤1等级1雷电	1最后敌人2雷电3易伤4敌人爆炸5基地爆炸69核7赏金邻近8随机技能a等级
11	41212 32611	   	239.94	橙橙1易伤1等级1雷电	1雷电2最后敌人3易伤4敌人爆炸5挖青69核7赏金邻近8随机技能a等级
12	41215 32611	   	239.94	橙橙1易伤1等级1雷电	1雷电2最后敌人3易伤4敌人爆炸5挖尘69核7赏金邻近8随机技能a等级
13	56212 32611	   	239.94	橙橙1易伤1等级1雷电	1最后敌人2雷电3易伤4敌人爆炸5挖青69核7赏金邻近8随机技能a等级
14	16253 32611	   	239.94	橙橙1易伤1等级1雷电	1挖尘2雷电3易伤4最后敌人5基地爆炸69核7赏金邻近8随机技能a等级
15	16252 32611	   	239.84	橙橙1易伤1等级1雷电	1挖尘2雷电3易伤4最后敌人5挖青69核7赏金邻近8随机技能a等级
16	11212 21142	   	238.79	橙橙1易伤1矿等1全技能1卖塔	1挖尘2全技能3卖塔4易伤5时间6敌人爆炸79核8额外掉落a矿等
17	11111 52422	   	237.16	橙2易伤3伤害1等级1全技能	18挖尘2全技能389伤害4基地爆炸5等级68易伤7随机矿8序列升级a核
18	23432 61141	   	236.98	橙橙1易伤1全技能1暴击	1时间2烈焰减费3暴击4易伤5双倍秒伤6全技能79核8额外掉落a基地爆炸
19	23432 61143	   	236.88	橙橙1易伤1全技能1暴击	1时间2烈焰减费3暴击4易伤5双倍秒伤6全技能79核8额外掉落a赏金邻近
20	11212 21145	   	236.83	橙橙1易伤1全技能1技能1卖塔	1挖尘2全技能3卖塔4易伤5时间6敌人爆炸79核8额外掉落a技能
21	22461 13336	 * 	235.88	橙橙2易伤	1时间2赏金邻近37易伤49金币生成5毒液对黄6a核8随机矿
22	25422 13355	   	235.88	橙橙1易伤1等级	1时间2加一3等级4头目5易伤6随机矿7平台8a核9加农对毒
23	51361 13413	   	235.88	橙橙1易伤1等级	1最后敌人2时间3赏金塔4金币生成5加农对毒69核7易伤8低血量敌人a等级
24	51311 15124	   	235.78	橙橙2易伤	1最后敌人2时间3赏金塔4技能点5加农对毒6a核79易伤8平台
25	51311 15412	   	235.78	橙橙1易伤1等级	1最后敌人2时间3赏金塔4技能点5加农对毒69核7易伤8低血量敌人a等级
26	51311 15512	   	235.78	橙橙1易伤1等级	1最后敌人2时间3赏金塔4技能点5加农对毒69核7易伤8敌人爆炸a等级
27	51621 15212	   	235.78	橙橙1易伤1等级	1最后敌人2时间3激光对绿4等级5赏金邻近69核7易伤8挖尘a低血量敌人
28	63116 13413	   	235.78	橙橙1易伤1等级	1掉矿2赏金邻近3喷火对愈4最后敌人5时间69核7易伤8低血量敌人a等级
29	34116 15212	   	235.68	橙橙1易伤1等级	1技能点2赏金塔3喷火对愈4最后敌人5时间69核7易伤8挖尘a等级
30	34136 15212	   	235.68	橙橙1易伤1等级	1技能点2赏金塔3喷火对愈4基地爆炸5时间69核7易伤8挖尘a等级
31	51311 15212	   	235.68	橙橙1易伤1等级	1最后敌人2时间3赏金塔4技能点5加农对毒69核7易伤8挖尘a等级
32	51621 15211	   	235.68	橙橙1易伤1等级	1最后敌人2时间3激光对绿4等级5赏金邻近69核7易伤8挖尘a技能点
33	51621 15213	   	235.68	橙橙1易伤1等级	1最后敌人2时间3激光对绿4等级5赏金邻近69核7易伤8挖尘a双倍秒伤
34	22411 13346	   	235.58	橙橙2易伤	1时间2赏金邻近39易伤4技能点5毒液对黄6a核7掉矿8烈焰减费
35	52263 22411	   	233.90	橙橙1易伤1伤害1雷电	179最后敌人2双倍秒伤3雷电4伤害5易伤6a核8随机技能
36	53132 22642	   	233.80	橙橙1易伤1伤害1雷电	1最后敌人2散射对喷气3随机矿4伤害5金币生成68核7激光对绿9雷电a易伤
