0	Index      	 *	Score 	Summary	Detail	
1	21542 16842	 * 	288.83	橙橙3易伤2伤害	1额外掉落267易伤3加一4平台57伤害7序列升级8a核9风暴减费
2	61413 31232	 * 	266.69	橙橙2伤害1易伤2时间	16敌人爆炸2金币生成34时间56伤害6序列升级7火球减费89核a易伤
3	61413 32232	   	266.69	橙橙2伤害1易伤2时间	16敌人爆炸2金币生成34时间56伤害6序列升级7烈焰减费89核a易伤
4	62513 31232	   	266.69	橙橙2伤害1易伤2时间	16敌人爆炸24时间3金币生成56伤害6序列升级7火球减费89核a易伤
5	62513 32232	   	266.69	橙橙2伤害1易伤2时间	16敌人爆炸24时间3金币生成56伤害6序列升级7烈焰减费89核a易伤
6	62643 31232	   	266.69	橙橙2伤害1易伤2时间	16敌人爆炸23时间4金币生成56伤害6序列升级7火球减费89核a易伤
7	62643 32232	   	266.69	橙橙2伤害1易伤2时间	16敌人爆炸23时间4金币生成56伤害6序列升级7烈焰减费89核a易伤
8	62651 31232	   	266.69	橙橙2伤害1易伤2时间	1敌人爆炸23时间4双倍矿56伤害7金币生成89核a易伤
9	33163 11231	   	264.83	橙橙3易伤1时间1技能	1技能2a随机矿346易伤5时间7暴雪减费89核
10	33163 11233	   	264.83	橙橙3易伤1时间1技能	1技能2随机矿346易伤5时间7暴雪减费89核a金币生成
11	33163 11234	   	264.83	橙橙3易伤1时间1技能	1技能2随机矿346易伤5时间7暴雪减费89核a立即金币
12	33163 11235	   	264.83	橙橙3易伤1时间1技能	1技能2随机矿346易伤5时间7暴雪减费89核a头目
13	33163 11236	   	264.83	橙橙3易伤1时间1技能	1技能2随机矿346易伤5时间7暴雪减费89核a最后敌人
14	33163 11232	   	264.73	橙橙3易伤1时间1技能	1技能2随机矿346易伤5时间7暴雪减费89核a喷火对黄
15	21562 84233	   	262.75	橙橙2易伤1伤害1全技能	1额外掉落27易伤3加一4全技能5基地爆炸6金币生成8伤害9a核
16	21562 34233	   	262.65	橙橙2易伤1伤害1全技能	1额外掉落27易伤3加一4全技能5基地爆炸6技能点8伤害9a核
17	21562 44233	   	262.65	橙橙2易伤1伤害1全技能	1额外掉落27易伤3加一4全技能5基地爆炸6掉矿8伤害9a核
18	21612 33354	 * 	261.01	橙3易伤2伤害2等级1时间	1额外掉落267易伤37伤害4赏金邻近57等级7序列升级8时间9攻速a核
19	21612 33144	 * 	259.49	橙4易伤2伤害2等级	1额外掉落2679易伤37伤害4赏金邻近57等级7序列升级8火球减费a核
