0	Index      	 *	Score 	Summary	Detail	
1	56322 34332	 * 	258.15	橙橙2易伤1矿等1全技能1卖塔	1基地爆炸2金币生成3卖塔48易伤5最后敌人6a核7矿等9全技能
2	12143 55117	 * 	249.43	橙橙1易伤1等级1全技能	1赏金邻近2时间3加一4全技能5平台6赏金塔7易伤8a核9等级
3	12344 31341	 * 	248.15	橙橙2伤害2攻速2时间	1赏金邻近29时间34攻速59伤害69低血量敌人7挖青8a核9序列升级
4	56322 36332	 * 	242.55	橙橙2易伤1全技能1卖塔	1基地爆炸2金币生成3卖塔48易伤5最后敌人6a核7随机矿9全技能
5	56322 35232	 * 	242.45	橙橙2易伤1全技能1卖塔	1基地爆炸2金币生成3卖塔47易伤5最后敌人6a核8掉矿9全技能
6	11424 33311	   	239.03	橙橙1易伤1矿等1攻速	1赏金邻近2头目3攻速4矿等5最后敌人67核8时间9随机技能a易伤
7	11424 33325	   	238.93	橙橙1易伤1矿等1攻速	1赏金邻近2头目3攻速4矿等5最后敌人67核8时间9散射对绿a易伤
8	11424 33351	   	238.93	橙橙1易伤1矿等1攻速	1赏金邻近2头目3攻速4矿等5最后敌人67核8时间9技能点a易伤
9	12141 66231	 * 	237.43	橙2易伤1等级2暴击1伤害1全技能2时间	1赏金邻近28时间3加一4全技能58暴击68易伤7核8序列升级9伤害a等级
10	11424 33232	   	237.21	橙橙1等级1矿等1攻速1雷电	1赏金邻近2头目3攻速4矿等5最后敌人67核8金币生成9雷电a等级
11	11535 13433	 * 	235.65	橙2易伤2伤害2矿等1等级	1赏金邻近2头目3挖青47矿等57易伤67伤害7序列升级8挖尘9核a等级
12	11424 33243	   	233.14	橙橙1等级1矿等1攻速	1赏金邻近2头目3攻速4矿等5最后敌人67核8金币生成9时间a等级
13	11424 33511	   	232.09	橙橙1易伤1矿等1攻速	1赏金邻近2头目3攻速4矿等5最后敌人67核8基地爆炸9随机技能a易伤
14	11424 33612	   	232.09	橙橙1易伤1矿等1攻速	1赏金邻近2头目3攻速4矿等5最后敌人67核8立即金币9低血量敌人a易伤
15	11424 33632	   	232.09	橙橙1易伤1矿等1攻速	1赏金邻近2头目3攻速4矿等5最后敌人67核8立即金币9敌人爆炸a易伤
16	11424 33112	   	231.99	橙橙1易伤1矿等1攻速	1赏金邻近2头目3攻速4矿等5最后敌人67核8火球减费9低血量敌人a易伤
17	11424 33132	   	231.99	橙橙1易伤1矿等1攻速	1赏金邻近2头目3攻速4矿等5最后敌人67核8火球减费9敌人爆炸a易伤
18	11424 33143	   	231.99	橙橙1易伤1矿等1攻速	1赏金邻近2头目3攻速4矿等5最后敌人67核8火球减费9平台a易伤
19	11424 33411	   	231.99	橙橙1易伤1矿等1攻速	1赏金邻近2头目3攻速4矿等5最后敌人67核8挖尘9随机技能a易伤
20	12311 15335	 * 	231.89	橙4易伤1等级1攻速	1赏金邻近2时间3攻速4689易伤5双倍秒伤7核a等级
21	44231 12433	   	231.71	橙2易伤2矿等1等级1伤害2时间	1散射对喷气2额外掉落3a易伤4挖尘5等级6a时间7核8伤害9a矿等a序列升级
22	64231 12433	   	231.71	橙2易伤2矿等1等级1伤害2时间	1加农对毒2额外掉落3a易伤4挖尘5等级6a时间7核8伤害9a矿等a序列升级
23	12324 31341	   	230.46	橙橙2攻速1伤害2时间	1赏金邻近29时间39攻速4暴雪减费5伤害69低血量敌人7挖青8a核9序列升级
24	12324 61341	   	230.46	橙橙2攻速1伤害2时间	1赏金邻近29时间39攻速4暴雪减费5伤害6挖青79低血量敌人8a核9序列升级
25	12324 63341	   	230.46	橙橙2攻速1伤害2时间	1赏金邻近29时间39攻速4暴雪减费5伤害6挖青79敌人爆炸8a核9序列升级
26	12344 41311	   	230.36	橙橙2攻速1伤害2时间	1赏金邻近29时间34攻速5伤害6挖尘7低血量敌人8a核
27	12344 43311	   	230.36	橙橙2攻速1伤害2时间	1赏金邻近29时间34攻速5伤害6挖尘7敌人爆炸8a核
28	12344 63311	   	230.36	橙橙2攻速1伤害2时间	1赏金邻近29时间34攻速5伤害6挖青7敌人爆炸8a核
29	11622 11325	 * 	229.89	橙3易伤2伤害2攻速	1赏金邻近2头目3平台459易伤69伤害7赏金塔89攻速9序列升级a核
30	42243 24311	   	229.84	橙橙1易伤1全技能1暴击	1散射对喷气2低血量敌人3全技能4暴击5挖尘68核7电塔对甲9赏金塔a易伤
31	62243 24311	   	229.84	橙橙1易伤1全技能1暴击	1加农对毒2低血量敌人3全技能4暴击5挖尘68核7电塔对甲9赏金塔a易伤
32	12178 83144	 * 	229.01	紫橙2伤害1易伤1矿等	1赏金邻近2时间3加一49核5易伤6矿等7a伤害8毒液对毒
