0	Index      	 *	Score 	Summary	Detail	
1	61244 28151	 * 	268.79	橙橙2易伤1等级1时间	1加一2等级35易伤4雷电6基地爆炸7a核8赏金塔9时间
2	64224 42436	 * 	266.69	橙橙2易伤2伤害	1加一2双倍秒伤38敌人爆炸4策反5赏金塔68易伤78伤害8序列升级9a核
3	61643 31271	 * 	265.58	橙橙2易伤2等级	1加一27等级3雷电减费4雷电57敌人爆炸67易伤7序列升级8a核9赏金邻近
4	32131 25251	 * 	264.73	橙橙3易伤1时间1技能	1基地爆炸2爆破对壮3时间4赏金邻近56a易伤79核8技能
5	35331 25251	   	264.73	橙橙3易伤1时间1技能	1基地爆炸2时间3防空对头目4赏金邻近56a易伤79核8技能
6	31214 32154	 * 	262.75	橙橙1易伤1等级1伤害1时间	1基地爆炸2伤害3易伤4低血量敌人5随机矿6时间79核8加农对甲a等级
7	32131 25254	   	258.20	橙橙2易伤1矿等1时间1技能	1基地爆炸2爆破对壮3时间4赏金邻近56易伤79核8技能a矿等
8	55311 35121	   	256.24	橙橙2易伤1时间1暴击	1平台2暴雪减费3挖尘49易伤5暴击6额外掉落78核a时间
9	61247 25231	   	255.34	橙橙2易伤1等级	1加一2等级35易伤45雷电5序列升级678基地爆炸9a核
10	61247 28121	   	255.24	橙橙2易伤1等级	1加一2等级35易伤45雷电5序列升级6基地爆炸7a核8赏金塔9最后敌人
11	61244 25231	   	255.24	橙橙2易伤1等级	1加一2等级35易伤4雷电678基地爆炸9a核
12	61283 23131	   	255.24	橙橙2易伤1等级	1加一2等级37易伤458最后敌人6雷电9a核
13	61744 73131	   	255.24	橙橙2易伤1等级	1加一2等级368最后敌人4雷电57易伤9a核
14	61244 28121	   	255.14	橙橙2易伤1等级	1加一2等级35易伤4雷电6基地爆炸7a核8赏金塔9最后敌人
15	61244 28161	   	255.14	橙橙2易伤1等级	1加一2等级35易伤4雷电6基地爆炸7a核8赏金塔9低血量敌人
16	61247 28141	   	255.14	橙橙2易伤1等级	1加一2等级35易伤45雷电5序列升级6基地爆炸7a核8赏金塔9挖尘
17	61148 32831	   	255.04	橙橙2易伤1等级	1加一2等级3挖尘4赏金塔5头目68易伤7敌人爆炸9a核
