0	Index      	 *	Score 	Summary	Detail	
1	65344 72123	 * 	264.83	橙橙3易伤1全技能	1头目2a随机技能3加一4全技能5a掉矿68核79a易伤a序列升级
2	16213 34623	   	258.09	橙橙2易伤1矿等1时间	1最后敌人2掉矿3赏金塔4加农对甲5时间6a易伤79核8矿等
3	65344 72133	 * 	256.24	橙橙1易伤1等级1全技能1暴击	1头目2随机技能3加一4全技能5掉矿68核7易伤9等级a暴击
4	65344 72143	 * 	250.10	橙橙1易伤1伤害1全技能1暴击	1头目2随机技能3加一4全技能5掉矿68核7易伤9伤害a暴击
5	41338 81234	   	250.00	橙橙1易伤1伤害1全技能1暴击	1策反2毒气减费3加一4易伤5伤害6赏金塔79核8全技能a暴击
6	53231 22633	 * 	245.60	橙2易伤3时间2伤害1等级	1双倍秒伤27易伤35伤害457时间57序列升级67随机技能8策反9核a等级
7	16213 34621	 * 	244.34	橙橙1易伤2时间1矿等	1最后敌人2掉矿3赏金塔4加农对甲5a时间6易伤79核8矿等
8	13221 36114	 * 	243.64	橙3易伤2伤害1等级1全技能	1最后敌人2双倍秒伤35伤害459易伤5序列升级6头目7全技能8核a等级
9	23364 11312	 * 	242.69	橙橙1易伤1喷火对甲1时间	1敌人爆炸2双倍秒伤3时间4平台5喷火对甲6低血量敌人7a核8易伤9雷电
10	65344 72121	   	242.59	橙橙2易伤1全技能	1头目2随机技能3加一4全技能5掉矿68核79易伤a策反
11	65344 72122	   	242.59	橙橙2易伤1全技能	1头目2随机技能3加一4全技能5掉矿68核79易伤a雷电
12	65344 72124	   	242.59	橙橙2易伤1全技能	1头目2随机技能3加一4全技能5掉矿68核79易伤a双倍矿
13	65344 72132	   	242.59	橙橙1易伤1等级1全技能	1头目2随机技能3加一4全技能5掉矿68核7易伤9等级a敌人爆炸
14	65344 72134	   	242.59	橙橙1易伤1等级1全技能	1头目2随机技能3加一4全技能5掉矿68核7易伤9等级a低血量敌人
15	16213 34223	   	242.49	橙橙2易伤1时间	1最后敌人2掉矿3赏金塔4加农对甲5时间6a易伤79核8随机矿
16	11213 34522	   	242.49	橙橙2易伤1时间	1最后敌人2金币生成3赏金塔4加农对甲5时间6a易伤79核8掉矿
17	65344 72131	   	242.49	橙橙1易伤1等级1全技能	1头目2随机技能3加一4全技能5掉矿68核7易伤9等级a双倍秒伤
18	16213 34123	   	242.39	橙橙2易伤1时间	1最后敌人2掉矿3赏金塔4加农对甲5时间6a易伤79核8技能点
19	13221 61324	   	236.93	橙3易伤2伤害1等级	1最后敌人2双倍秒伤35伤害456易伤5序列升级7攻速8核9雷电a等级
20	23221 61324	   	236.93	橙3易伤2伤害1等级	1敌人爆炸2双倍秒伤35伤害456易伤5序列升级7攻速8核9雷电a等级
21	41142 31412	   	236.55	橙橙1易伤1伤害1暴击	1策反2毒气减费3伤害4低血量敌人5暴击6雷电7易伤89核a双倍矿
22	41142 31413	   	236.55	橙橙1易伤1伤害1暴击	1策反2毒气减费3伤害4低血量敌人5暴击6雷电7易伤89核a随机矿
23	11213 34224	   	236.45	橙橙1易伤1伤害1时间	1最后敌人2金币生成3赏金塔4加农对甲5时间6易伤79核8随机矿a伤害
24	21213 34224	   	236.45	橙橙1易伤1伤害1时间	1敌人爆炸2金币生成3赏金塔4加农对甲5时间6易伤79核8随机矿a伤害
25	41142 31411	   	236.45	橙橙1易伤1伤害1暴击1挖怪	1策反2毒气减费3伤害4低血量敌人5暴击6雷电7易伤89核a挖怪
26	65344 72142	   	236.45	橙橙1易伤1伤害1全技能	1头目2随机技能3加一4全技能5掉矿68核7易伤9伤害a敌人爆炸
27	65344 72144	   	236.45	橙橙1易伤1伤害1全技能	1头目2随机技能3加一4全技能5掉矿68核7易伤9伤害a低血量敌人
28	16213 34224	   	236.35	橙橙1易伤1伤害1时间	1最后敌人2掉矿3赏金塔4加农对甲5时间6易伤79核8随机矿a伤害
29	26213 34224	   	236.35	橙橙1易伤1伤害1时间	1敌人爆炸2掉矿3赏金塔4加农对甲5时间6易伤79核8随机矿a伤害
30	41338 81232	   	236.35	橙橙1易伤1伤害1全技能	1策反2毒气减费3加一4易伤5伤害6赏金塔79核8全技能a基地爆炸
31	41338 81233	   	236.35	橙橙1易伤1伤害1全技能	1策反2毒气减费3加一4易伤5伤害6赏金塔79核8全技能a低血量敌人
32	11213 34124	   	236.35	橙橙1易伤1伤害1时间	1最后敌人2金币生成3赏金塔4加农对甲5时间6易伤79核8技能点a伤害
33	11213 34524	   	236.35	橙橙1易伤1伤害1时间	1最后敌人2金币生成3赏金塔4加农对甲5时间6易伤79核8掉矿a伤害
34	21213 34124	   	236.35	橙橙1易伤1伤害1时间	1敌人爆炸2金币生成3赏金塔4加农对甲5时间6易伤79核8技能点a伤害
35	65344 72141	   	236.35	橙橙1易伤1伤害1全技能	1头目2随机技能3加一4全技能5掉矿68核7易伤9伤害a双倍秒伤
36	16213 34124	   	236.25	橙橙1易伤1伤害1时间	1最后敌人2掉矿3赏金塔4加农对甲5时间6易伤79核8技能点a伤害
37	26213 34124	   	236.25	橙橙1易伤1伤害1时间	1敌人爆炸2掉矿3赏金塔4加农对甲5时间6易伤79核8技能点a伤害
38	41338 81231	   	236.25	橙橙1易伤1伤害1全技能	1策反2毒气减费3加一4易伤5伤害6赏金塔79核8全技能a风暴减费
39	53231 22631	 * 	235.05	橙2易伤3伤害3时间	1双倍秒伤27易伤35a伤害457时间57序列升级67随机技能8策反9核
40	21521 21264	 * 	234.87	紫橙2易伤1等级1全技能	1敌人爆炸2金币生成39易伤4掉矿57核6多重对愈8全技能a等级
