0	Index      	 *	Score 	Summary	Detail	
1	22325 32854	 * 	276.40	橙橙2易伤1伤害1时间1全技能	1时间24金币生成3伤害5加一6a易伤7全技能89核
2	21211 26415	 * 	268.79	橙橙2易伤2时间1全技能	18时间2双倍秒伤38易伤4全技能5平台6赏金邻近7a核8序列升级9基地爆炸
3	21216 15125	   	268.79	橙橙2易伤2时间1全技能	15时间2双倍秒伤35易伤4全技能5序列升级6最后敌人7赏金邻近8a核9平台
4	21211 26435	   	268.69	橙橙2易伤2时间1全技能	18时间2双倍秒伤38易伤4全技能5平台6赏金邻近7a核8序列升级9挖尘
5	36342 12326	 * 	266.79	橙橙2易伤2伤害1技能	12易伤39伤害4头目5技能6立即金币7a核8雷电
6	36133 33543	 * 	264.83	橙橙3易伤1时间	124易伤3最后敌人5基地爆炸6火球减费7敌人爆炸89核a时间
7	36212 32541	   	264.83	橙橙3易伤1时间	127易伤3随机矿4掉矿5最后敌人6时间89核a策反
8	36212 32542	   	264.83	橙橙3易伤1时间	127易伤3随机矿4掉矿5最后敌人6时间89核a双倍矿
9	36212 32543	   	264.83	橙橙3易伤1时间	127易伤3随机矿4掉矿5最后敌人6时间89核a立即金币
10	26132 32541	   	258.20	橙橙2易伤1矿等1时间	1时间27易伤3掉矿4敌人爆炸5矿等6火球减费89核a策反
11	26132 32542	   	258.20	橙橙2易伤1矿等1时间	1时间27易伤3掉矿4敌人爆炸5矿等6火球减费89核a双倍矿
12	26132 32543	   	258.20	橙橙2易伤1矿等1时间	1时间27易伤3掉矿4敌人爆炸5矿等6火球减费89核a立即金币
13	26222 32541	   	258.20	橙橙2易伤1矿等1时间	1时间27易伤3挖尘4金币生成5矿等6火球减费89核a策反
14	26222 32542	   	258.20	橙橙2易伤1矿等1时间	1时间27易伤3挖尘4金币生成5矿等6火球减费89核a双倍矿
15	26222 32543	   	258.20	橙橙2易伤1矿等1时间	1时间27易伤3挖尘4金币生成5矿等6火球减费89核a立即金币
16	14165 22113	 * 	258.19	橙橙1易伤1等级1矿等1全技能	1平台2等级3易伤4最后敌人5掉矿6双倍秒伤79核8矿等a全技能
17	26112 32541	   	258.10	橙橙2易伤1矿等1时间	1时间27易伤3掉矿4挖尘5矿等6火球减费89核a策反
18	26112 32542	   	258.10	橙橙2易伤1矿等1时间	1时间27易伤3掉矿4挖尘5矿等6火球减费89核a双倍矿
