0	Index      	 *	Score 	Summary	Detail	
1	22126 26221	 * 	257.80	橙橙2伤害2矿等2雷电	1a矿等2a伤害3低血量敌人4最后敌人5a雷电69核7平台8随机矿a序列升级
2	22416 21132	 * 	253.32	橙4易伤2矿等2暴击1伤害	19矿等2伤害3双倍秒伤489a易伤59暴击6核7平台9序列升级
3	11452 53313	 * 	250.38	橙橙2等级1易伤1雷电	124基地爆炸3双倍秒伤5a等级6易伤78核9雷电
4	11552 53313	   	250.38	橙橙2等级1易伤1雷电	123基地爆炸4双倍秒伤5a等级6易伤78核9雷电
5	22533 62531	 * 	249.60	橙2易伤2伤害2矿等1等级1攻速	18矿等24伤害38基地爆炸58易伤6头目7核8序列升级9等级a攻速
6	22413 25522	 * 	247.34	橙3易伤3伤害2矿等	15矿等268伤害3双倍秒伤46a易伤6序列升级7立即金币9核
7	11452 53312	   	240.04	橙橙1易伤1等级1雷电	124基地爆炸3双倍秒伤5等级6易伤78核9雷电a立即金币
8	11552 53312	   	240.04	橙橙1易伤1等级1雷电	123基地爆炸4双倍秒伤5等级6易伤78核9雷电a立即金币
9	11452 53311	   	239.94	橙橙1易伤1等级1雷电	124基地爆炸3双倍秒伤5等级6易伤78核9雷电a激光对绿
10	11552 53311	   	239.94	橙橙1易伤1等级1雷电	123基地爆炸4双倍秒伤5等级6易伤78核9雷电a激光对绿
11	22243 43234	 * 	239.35	橙橙1等级1伤害1矿等	1矿等2伤害3毒液对黄4时间5等级6低血量敌人7加农对甲8赏金邻近9a核
12	22343 43234	   	239.35	橙橙1等级1伤害1矿等	1矿等2伤害3寒冰对黄4时间5等级6低血量敌人7加农对甲8赏金邻近9a核
13	22533 62521	   	239.05	橙2易伤3伤害2矿等1攻速	18矿等24a伤害38基地爆炸58易伤6头目7核8序列升级9攻速
14	62123 23522	 * 	238.61	橙4易伤3伤害	1掉矿268伤害3低血量敌人4最后敌人567a易伤6序列升级9核
15	22533 62131	   	237.11	橙2易伤2伤害1等级1矿等1攻速	1矿等24伤害3基地爆炸58易伤6头目7核9等级a攻速
16	11452 53322	   	235.98	橙橙1易伤1等级	124基地爆炸3双倍秒伤5等级6易伤78核9立即金币a时间
17	11452 53332	   	235.98	橙橙1易伤1等级	124基地爆炸3双倍秒伤5等级6易伤78核9双倍矿a时间
18	11552 53322	   	235.98	橙橙1易伤1等级	123基地爆炸4双倍秒伤5等级6易伤78核9立即金币a时间
19	11552 53332	   	235.98	橙橙1易伤1等级	123基地爆炸4双倍秒伤5等级6易伤78核9双倍矿a时间
20	22533 62532	   	235.95	橙2易伤2伤害2矿等1等级	18矿等24伤害38基地爆炸58易伤6头目7核8序列升级9等级a随机矿
21	22533 62533	   	235.85	橙2易伤2伤害2矿等1等级	18矿等24伤害38基地爆炸58易伤6头目7核8序列升级9等级a赏金塔
22	22416 21533	 * 	234.77	橙2易伤3矿等2暴击1伤害1全技能	189矿等2伤害3双倍秒伤49易伤59暴击6核7平台9序列升级a全技能
23	25134 34212	 * 	234.50	橙2易伤3伤害3矿等	156矿等2策反3低血量敌人456伤害56序列升级79易伤8随机矿a核
24	25134 35112	   	234.40	橙2易伤3伤害3矿等	156矿等2策反3低血量敌人456伤害56序列升级7技能点89易伤a核
25	22416 21131	   	234.16	橙3易伤2矿等2暴击1伤害	19矿等2伤害3双倍秒伤489易伤59暴击6核7平台9序列升级a低血量敌人
26	22416 21134	   	234.16	橙3易伤2矿等2暴击1伤害	19矿等2伤害3双倍秒伤489易伤59暴击6核7平台9序列升级a敌人爆炸
27	22416 21133	   	234.06	橙3易伤2矿等2暴击1伤害1挖怪	19矿等2伤害3双倍秒伤489易伤59暴击6核7平台9序列升级a挖怪
28	22416 21135	   	234.06	橙3易伤2矿等2暴击1伤害	19矿等2伤害3双倍秒伤489易伤59暴击6核7平台9序列升级a加一
29	62123 23524	   	233.09	橙3易伤3伤害1暴击	1掉矿268伤害3低血量敌人4最后敌人567易伤6序列升级9核a暴击
30	22223 43234	   	232.42	橙橙1等级1伤害1矿等	1矿等2伤害3毒液对黄4最后敌人5等级6低血量敌人7加农对甲8赏金邻近9a核
31	22323 43234	   	232.42	橙橙1等级1伤害1矿等	1矿等2伤害3寒冰对黄4最后敌人5等级6低血量敌人7加农对甲8赏金邻近9a核
32	26221 16221	   	232.09	橙橙1易伤1矿等1技能1暴击	1矿等2随机技能3技能4额外掉落5核弹6金币生成7a核8易伤9暴击
33	26321 16221	   	232.09	橙橙1易伤1矿等1暴击	1矿等2随机技能3策反4额外掉落5核弹6金币生成7a核8易伤9暴击
34	26231 34252	 * 	230.53	橙橙1易伤2矿等1技能	16矿等2随机技能3技能4机枪对头目5易伤7a核8掉矿9赏金塔
35	26331 34252	   	230.53	橙橙1易伤2矿等	16矿等2随机技能3策反4机枪对头目5易伤7a核8掉矿9赏金塔
36	32126 26221	   	229.71	橙橙2伤害2雷电	1a技能点2a伤害3低血量敌人4最后敌人5a雷电69核7平台8随机矿a序列升级
37	32231 65221	 * 	229.44	橙橙1易伤1伤害	1技能点2伤害3毒液对黄4易伤5赏金塔6赏金邻近79核8掉矿a时间
38	32331 65221	   	229.44	橙橙1易伤1伤害	1技能点2伤害3寒冰对黄4易伤5赏金塔6赏金邻近79核8掉矿a时间
39	11452 23343	   	229.04	橙橙1易伤1等级	124基地爆炸3双倍秒伤5等级6低血量敌人78核9最后敌人a易伤
40	11452 23362	   	229.04	橙橙1易伤1等级	124基地爆炸3双倍秒伤5等级6低血量敌人78核9策反a易伤
41	11452 53323	   	229.04	橙橙1易伤1等级	124基地爆炸3双倍秒伤5等级6易伤78核9立即金币a最后敌人
42	11452 53333	   	229.04	橙橙1易伤1等级	124基地爆炸3双倍秒伤5等级6易伤78核9双倍矿a最后敌人
43	11552 23343	   	229.04	橙橙1易伤1等级	123基地爆炸4双倍秒伤5等级6低血量敌人78核9最后敌人a易伤
44	11552 23362	   	229.04	橙橙1易伤1等级	123基地爆炸4双倍秒伤5等级6低血量敌人78核9策反a易伤
45	11552 53323	   	229.04	橙橙1易伤1等级	123基地爆炸4双倍秒伤5等级6易伤78核9立即金币a最后敌人
46	11552 53333	   	229.04	橙橙1易伤1等级	123基地爆炸4双倍秒伤5等级6易伤78核9双倍矿a最后敌人
47	11452 53321	   	228.94	橙橙1易伤1等级	124基地爆炸3双倍秒伤5等级6易伤78核9立即金币a爆破对冰
48	11452 53331	   	228.94	橙橙1易伤1等级	124基地爆炸3双倍秒伤5等级6易伤78核9双倍矿a爆破对冰
49	11552 53321	   	228.94	橙橙1易伤1等级	123基地爆炸4双倍秒伤5等级6易伤78核9立即金币a爆破对冰
50	11552 53331	   	228.94	橙橙1易伤1等级	123基地爆炸4双倍秒伤5等级6易伤78核9双倍矿a爆破对冰
51	53511 53321	   	228.94	橙橙1易伤1等级1技能	1金币生成2基地爆炸3敌人爆炸4赏金邻近5技能6易伤79核8喷火对黄a等级
52	53531 53321	   	228.94	橙橙1易伤1等级1技能	1金币生成2基地爆炸3敌人爆炸4赏金塔5技能6易伤79核8喷火对黄a等级
53	63511 53321	   	228.84	橙橙1易伤1等级1技能	1掉矿2基地爆炸3敌人爆炸4赏金邻近5技能6易伤79核8喷火对黄a等级
54	63531 53321	   	228.84	橙橙1易伤1等级1技能	1掉矿2基地爆炸3敌人爆炸4赏金塔5技能6易伤79核8喷火对黄a等级
55	22436 11722	 * 	227.81	橙3易伤1等级1伤害1矿等	1矿等2伤害3双倍秒伤4等级5加一69a易伤7随机矿8核
56	22436 14732	   	227.81	橙3易伤1等级1伤害1矿等	1矿等2伤害3双倍秒伤4等级5加一69a易伤7金币生成8核
