0	Index      	 *	Score 	Summary	Detail	
1	52325 52311	 * 	272.91	橙橙1易伤1伤害1矿等1全技能1策反	1技能2时间3易伤4全技能5伤害6矿等7a核8策反9毒液对毒
2	23522 47641	 * 	269.14	紫橙2伤害2矿等1易伤1全技能	19喷火对黄29伤害3加一4a核5低血量敌人6易伤79矿等8全技能9序列升级
3	22112 54311	 * 	265.55	橙橙2易伤1暴击	12喷火对黄2序列升级34易伤5时间6a核7挖尘8暴击9基地爆炸
4	22112 54331	   	265.55	橙橙2易伤1暴击	12喷火对黄2序列升级34易伤5时间6a核7挖尘8暴击9最后敌人
5	22112 54621	   	265.55	橙橙2易伤1暴击	12喷火对黄2序列升级34易伤5时间6a核7挖尘8低血量敌人9暴击
6	23545 54411	 * 	264.65	橙橙1易伤1伤害1矿等1全技能	1喷火对黄2伤害3加一4矿等5全技能6a核7金币生成8易伤9技能点
7	23635 43411	   	264.65	橙橙1易伤1伤害1矿等1全技能	1喷火对黄2伤害3金币生成4加一5全技能6a核7矿等8易伤9技能点
8	23635 44411	   	264.65	橙橙1易伤1伤害1矿等1全技能	1喷火对黄2伤害3金币生成4加一5全技能6a核7技能点8易伤9矿等
9	23635 47411	   	264.65	橙橙1易伤1伤害1矿等1全技能	1喷火对黄2伤害3金币生成4加一5全技能6a核7掉矿8易伤9矿等
10	23311 32426	   	259.61	橙橙1易伤1伤害1暴击	1喷火对黄2伤害3激光对冰4时间5雷电69核7赏金邻近8易伤a暴击
11	23311 36426	   	259.61	橙橙1易伤1伤害1暴击	1喷火对黄2伤害3激光对冰4时间5雷电69核7赏金塔8易伤a暴击
12	23111 32426	   	259.51	橙橙1易伤1伤害1暴击	1喷火对黄2伤害3时间4爆破对壮5雷电69核7赏金邻近8易伤a暴击
13	23111 36426	   	259.51	橙橙1易伤1伤害1暴击	1喷火对黄2伤害3时间4爆破对壮5雷电69核7赏金塔8易伤a暴击
14	23141 32426	   	259.51	橙橙1易伤1伤害1暴击	1喷火对黄2伤害3时间4基础对冰5雷电69核7赏金邻近8易伤a暴击
15	23151 32426	   	259.51	橙橙1易伤1伤害1暴击	1喷火对黄2伤害3时间4防空对甲5雷电69核7赏金邻近8易伤a暴击
16	52331 13346	   	258.65	橙橙2易伤2时间	1技能29时间39易伤4低血量敌人5基地爆炸69毒液对黄7双倍秒伤8a核9序列升级
