0	Index      	*	Score	Code	Var
1	41132 54123	*	276.7	橙橙2易伤1暴击	12易伤3雷电4双倍秒伤5暴击6a核7掉矿8时间9金币生成
2	11234 52222	 	272.8	橙橙2易伤1攻速1平台	1残血敌人24易伤3挖青5基地爆炸6平台7a核8攻速9随机矿
3	11214 52222	 	272.8	橙橙2易伤1攻速1平台	1残血敌人25易伤3挖青4基地爆炸6平台7a核8攻速9随机矿
4	41132 53513	 	268.5	橙橙2易伤1暴击	12易伤3雷电4双倍秒伤5暴击6a核7金币生成8掉矿9基地爆炸
5	44251 33333	*	266.7	紫橙3易伤1全技能1平台	156易伤29核3技能点4平台7立即金币8全技能a时间
6	32223 55124	*	266.6	橙橙1易伤1伤害1矿等1卖塔	1卖塔2矿等4雷电5赏金塔6伤害78核9敌人爆炸a易伤
7	12135 61235	 	265.1	橙橙1易伤1伤害1全技能1平台	1残血敌人2伤害3策反4核弹5全技能6加一7a核8平台9易伤
8	46113 48213	 	264.3	橙橙1易伤1矿等1平台	1易伤2金币生成3平台4加一5基地爆炸6时间7策反89核a矿等
9	62354 12222	 	264.1	橙橙1易伤1矿等1攻速1平台	1平台2掉矿3基地爆炸4矿等5易伤6残血敌人7a核8攻速9随机矿
10	15154 22222	 	264.1	橙橙1易伤1矿等1攻速1平台	1残血敌人2掉矿3平台4矿等5易伤6最后敌人7a核8攻速9随机矿
11	64115 21213	 	264.0	橙橙1易伤1矿等1平台	1平台2挖尘3策反4加一5时间6易伤7金币生成89核a矿等
12	64112 41213	 	264.0	橙橙1易伤1矿等1平台	1平台2挖尘3策反4加一5易伤6时间7金币生成89核a矿等
13	46112 48213	 	264.0	橙橙1易伤1矿等1平台	1易伤2金币生成3平台4加一5挖尘6时间7策反89核a矿等
14	44251 33332	 	263.9	紫橙3易伤1平台1全技能	156易伤29核3技能点4平台7立即金币8全技能a随机矿
15	15151 42222	 	263.8	橙橙1易伤1矿等1攻速1平台	1残血敌人2掉矿3平台4矿等5挖尘6易伤7a核8攻速9随机矿
16	23536 63332	 	263.2	紫橙2易伤1矿等1攻速1卖塔	1双倍矿2敌人爆炸3攻速47核5卖塔6矿等8策反9a易伤
17	32223 55134	 	263.0	橙橙1易伤1伤害1矿等1卖塔	1卖塔2矿等4雷电5赏金塔6伤害78核9挖尘a易伤
18	46223 41231	*	261.9	橙4易伤3伤害	156a易伤2金币生成456伤害56序列升级7技能8核9立即金币
19	32313 25663	*	261.7	橙2易伤2伤害2矿等2时间1暴击1卖塔	1卖塔28矿等38时间4技能5暴击6a易伤78伤害8序列升级9核
20	62354 22332	 	260.9	橙橙1易伤1矿等1平台	1平台2掉矿3基地爆炸4矿等5易伤6敌人爆炸7a核8策反9等级
21	46113 43212	 	260.4	橙橙1易伤1攻速1平台	1易伤2金币生成3平台4加一5基地爆炸6时间7攻速89核a策反
22	43231 51522	 	260.3	橙橙2易伤	16易伤2雷电3时间4额外掉落7最后敌人8a核9双倍秒伤
23	65312 41212	 	260.2	橙橙1易伤1攻速1平台	1平台2攻速3残血敌人4加一5易伤6时间7金币生成89核a策反
24	46115 23212	 	260.2	橙橙1易伤1攻速1平台	1易伤2金币生成3平台4加一5时间6残血敌人7攻速89核a策反
25	46112 43212	 	260.1	橙橙1易伤1攻速1平台	1易伤2金币生成3平台4加一5挖尘6时间7攻速89核a策反
26	65312 45213	 	258.9	橙橙1易伤1攻速1平台	1平台2攻速3残血敌人4加一5易伤6时间7等级89核a随机矿
27	13135 61235	 	258.7	橙橙1易伤1攻速1全技能1平台	1残血敌人2攻速3策反4核弹5全技能6加一7a核8平台9易伤
28	45113 44283	 	258.7	橙橙1易伤1矿等1平台	1易伤2掉矿3平台4加一5基地爆炸6时间7矿等89核a随机矿
29	44251 33331	 	258.5	紫橙3易伤1全技能1平台	156易伤29核3技能点4平台7立即金币8全技能a最后敌人
30	21234 23614	*	258.0	橙橙2矿等1伤害1暴击	1双倍矿24矿等3额外掉落5伤害6双倍秒伤7a核8暴击9基地爆炸
31	62351 42332	 	257.3	橙橙1易伤1矿等1平台	1平台2掉矿3基地爆炸4矿等5挖尘6易伤7a核8策反9等级
32	43235 35132	 	257.0	橙橙1易伤1矿等	1易伤2雷电3时间4额外掉落5矿等6a核7冰对冰8双倍秒伤9随机矿
33	65312 38214	 	256.8	橙橙1易伤1攻速1平台	1平台2攻速3残血敌人4加一5易伤6等级7敌人爆炸89核a时间
34	65312 45212	 	256.8	橙橙1易伤1攻速1平台	1平台2攻速3残血敌人4加一5易伤6时间7等级89核a敌人爆炸
35	45113 44282	 	256.6	橙橙1易伤1矿等1平台	1易伤2掉矿3平台4加一5基地爆炸6时间7矿等89核a敌人爆炸
36	44323 61132	 	256.3	紫橙3易伤	159易伤27核3赏金塔4赏金邻近5序列升级6金币生成8时间a雷电
37	65312 45211	 	256.1	橙橙1易伤1攻速1平台	1平台2攻速3残血敌人4加一5易伤6时间7等级89核a金币生成
38	46113 16213	 	256.0	橙橙1易伤1矿等1平台	1易伤2金币生成3平台4加一5基地爆炸6策反7残血敌人89核a矿等
39	46113 28213	 	256.0	橙橙1易伤1矿等1平台	1易伤2金币生成3平台4加一5基地爆炸6残血敌人7策反89核a矿等
40	45113 41283	 	255.9	橙橙1易伤1矿等1平台	1易伤2掉矿3平台4加一5基地爆炸6时间7金币生成89核a矿等
41	45113 44281	 	255.9	橙橙1易伤1矿等1平台	1易伤2掉矿3平台4加一5基地爆炸6时间7矿等89核a金币生成
42	46112 16213	 	255.7	橙橙1易伤1矿等1平台	1易伤2金币生成3平台4加一5挖尘6策反7残血敌人89核a矿等
43	46112 28213	 	255.7	橙橙1易伤1矿等1平台	1易伤2金币生成3平台4加一5挖尘6残血敌人7策反89核a矿等
44	64113 21213	 	255.7	橙橙1易伤1矿等1平台	1平台2挖尘3策反4加一5残血敌人6易伤7金币生成89核a矿等
45	45112 41283	 	255.6	橙橙1易伤1矿等1平台	1易伤2掉矿3平台4加一5挖尘6时间7金币生成89核a矿等
46	46113 83212	 	255.6	橙橙1易伤1攻速1平台	1易伤2金币生成3平台4加一5基地爆炸6敌人爆炸7攻速89核a策反
47	65312 81212	 	255.4	橙橙1易伤1攻速1平台	1平台2攻速3残血敌人4加一5易伤6敌人爆炸7金币生成89核a策反
48	65312 41213	 	255.4	橙橙1易伤1攻速1平台	1平台2攻速3残血敌人4加一5易伤6时间7金币生成89核a敌人爆炸
