0	Index      	 *	Score 	Summary	Detail	
1	62212 31625	 * 	277.41	橙橙2易伤1伤害1暴击	15等级27易伤3暴击4伤害6双倍秒伤8寒冰对黄9a核
2	33423 16513	 * 	274.14	橙橙3易伤	1激光对绿2基地爆炸3双倍物品4低血量敌人5时间68a易伤79核
3	33412 35162	   	273.16	橙橙1易伤1伤害1暴击1攻速	1激光对绿2基地爆炸3双倍物品4暴击5攻速6时间7伤害8易伤9a核
4	62214 11125	 * 	268.79	橙橙2伤害1易伤1暴击	1等级2易伤3暴击48伤害5基地爆炸6散射对绿7挖青9a核
5	62214 13125	   	268.79	橙橙2伤害1易伤1暴击	1等级2易伤3暴击48伤害5基地爆炸6散射对绿7挖尘9a核
6	26515 32233	   	268.69	橙橙1易伤1伤害1矿等1攻速1策反	1策反2矿等3易伤4最后敌人5技能6a核7攻速8金币生成9伤害
7	26625 32233	   	268.69	橙橙1易伤1伤害1矿等1攻速1策反	1策反2矿等3最后敌人4易伤5技能6a核7攻速8金币生成9伤害
8	62232 51133	 * 	267.18	橙橙1易伤2暴击1伤害1平台	1等级2易伤39暴击4挖尘5掉矿6伤害7a核8平台
9	34513 63123	 * 	266.76	紫橙3易伤1伤害1全技能	1激光对绿268易伤3低血量敌人4伤害5a核7全技能9最后敌人
10	34146 31113	   	265.59	橙橙3易伤1策反	1激光对绿249易伤3金币生成5双倍秒伤6赏金邻近7策反8a核
11	34412 11432	   	264.76	橙橙1易伤1伤害1暴击1攻速	1激光对绿2易伤3双倍物品4暴击5攻速6掉矿7a核8赏金塔9伤害
12	34513 13123	 * 	262.20	紫橙2易伤2伤害1全技能	1激光对绿28易伤3低血量敌人46伤害5a核7全技能9最后敌人
13	26113 21113	   	261.08	橙橙2易伤1矿等1策反	1策反2矿等3电塔对黄4敌人爆炸5赏金邻近69易伤7低血量敌人8a核
14	26113 21513	   	261.08	橙橙2易伤1矿等1策反	1策反2矿等3电塔对黄4敌人爆炸5赏金邻近68易伤7低血量敌人9a核
15	26113 24113	   	261.08	橙橙2易伤1矿等1策反	1策反2矿等3电塔对黄4敌人爆炸5赏金邻近69易伤7基地爆炸8a核
16	26113 24513	   	261.08	橙橙2易伤1矿等1策反	1策反2矿等3电塔对黄4敌人爆炸5赏金邻近68易伤7基地爆炸9a核
17	22312 36213	   	261.08	橙橙2易伤1矿等1策反	1策反23易伤4最后敌人5基地爆炸6矿等7基础对甲8赏金邻近9a核
18	22342 36213	   	261.08	橙橙2易伤1矿等1策反	1策反23易伤4低血量敌人5基地爆炸6矿等7基础对甲8赏金邻近9a核
19	22315 36213	   	260.98	橙橙2易伤1矿等1策反	1策反23易伤4最后敌人5挖尘6矿等7基础对甲8赏金邻近9a核
20	22345 36213	   	260.98	橙橙2易伤1矿等1策反	1策反23易伤4低血量敌人5挖尘6矿等7基础对甲8赏金邻近9a核
21	62214 61113	   	260.97	橙橙1易伤1伤害1暴击1平台	1等级2易伤3暴击4伤害59基地爆炸6技能点7a核8平台
