0	Index      	 *	Score 	Summary	Detail	
1	12316 33144	 * 	272.53	紫橙3易伤1矿等1平台	1雷电29核3掉矿458易伤6时间7平台a矿等
2	13132 16144	 * 	271.09	橙橙2易伤1矿等1平台	1雷电25金币生成38易伤4平台69核7低血量敌人a矿等
3	11136 13144	   	270.89	橙橙2易伤1矿等1平台	1雷电25掉矿38易伤4平台69核7敌人爆炸a矿等
4	37482 32442	 * 	268.49	橙橙1易伤1伤害1矿等1暴击1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8易伤9伤害a暴击
5	37348 32425	   	266.91	橙橙2易伤1攻速1平台	1加一2双倍秒伤3掉矿4赏金塔5攻速67核8a易伤9平台
6	12316 33145	   	264.66	紫橙3易伤1平台1全技能	1雷电29核3掉矿458易伤6时间7平台a全技能
7	37482 32448	 * 	264.50	橙橙1易伤1伤害1矿等1平台1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8易伤9伤害a平台
8	31547 32532	 * 	263.31	橙橙2伤害1易伤1卖塔	1加一2额外掉落34伤害5卖塔6a核7时间8易伤9赏金塔
9	11136 13145	   	263.02	橙橙2易伤1平台1全技能	1雷电25掉矿38易伤4平台69核7敌人爆炸a全技能
10	13132 16145	   	261.86	橙橙2易伤1平台	1雷电25金币生成38易伤4平台69核7低血量敌人a时间
11	12423 14421	 * 	261.22	紫橙2矿等1易伤1伤害1全技能1平台	1雷电28核37矿等4双倍秒伤5易伤6全技能9平台a伤害
12	37482 32418	   	260.88	橙橙2易伤1矿等1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8a易伤9挖尘
13	35332 38742	 * 	259.61	橙橙1易伤1伤害1攻速	1加一2敌人爆炸3易伤4技能5基地爆炸6a核7伤害8时间9攻速
14	35332 38842	   	259.61	橙橙1易伤1伤害1攻速	1加一2敌人爆炸3易伤4技能5基地爆炸6a核7伤害8攻速9时间
15	33532 38742	   	259.51	橙橙1易伤1伤害1攻速	1加一2挖尘3易伤4技能5基地爆炸6a核7伤害8攻速9时间
16	35343 38842	   	259.51	橙橙1易伤1伤害1攻速	1加一2敌人爆炸3易伤4挖尘5时间6a核7伤害8技能9攻速
17	33832 35842	   	259.51	橙橙1易伤1伤害1攻速	1加一2挖尘3时间4技能5基地爆炸6a核7易伤8攻速9伤害
18	33832 38142	   	259.51	橙橙1易伤1伤害1攻速	1加一2挖尘3时间4技能5基地爆炸6a核7伤害8易伤9攻速
19	35872 42314	   	258.87	橙橙1易伤1暴击1全技能1平台	1加一2敌人爆炸3时间4全技能5平台6暴击79核8金币生成a易伤
20	32583 82414	   	258.87	橙橙1易伤1暴击1全技能1平台	1加一2金币生成3低血量敌人4时间5全技能6平台7暴击89核a易伤
21	32683 82414	   	258.87	橙橙1易伤1暴击1全技能1平台	1加一2金币生成3最后敌人4时间5全技能6平台7暴击89核a易伤
22	12423 14431	 * 	257.70	紫橙2易伤2矿等1全技能	1雷电28核37矿等4双倍秒伤5a易伤6全技能9金币生成
23	12413 15141	   	257.70	紫橙2易伤2矿等1平台	1雷电29核37矿等48易伤5挖尘6平台a赏金邻近
24	12413 15142	   	257.70	紫橙2易伤2矿等1平台	1雷电29核37矿等48易伤5挖尘6平台a基地爆炸
25	12413 15143	   	257.70	紫橙2易伤2矿等1平台	1雷电29核37矿等48易伤5挖尘6平台a低血量敌人
26	33818 73432	 * 	257.46	橙橙2伤害2攻速	1加一29挖尘3时间4双倍秒伤5技能69伤害7a核89攻速9序列升级
27	31447 61136	   	255.19	橙橙1易伤1伤害1矿等	1加一2额外掉落3等级4伤害5基地爆炸6矿等7随机矿89核a易伤
28	31524 61136	   	255.19	橙橙1易伤1伤害1矿等	1加一2额外掉落3伤害4金币生成5基地爆炸6矿等7随机矿89核a易伤
29	12316 33141	   	255.00	紫橙3易伤1平台	1雷电29核3掉矿458易伤6时间7平台a赏金塔
30	12316 33143	   	255.00	紫橙3易伤1平台	1雷电29核3掉矿458易伤6时间7平台a低血量敌人
31	12316 33146	   	255.00	紫橙3易伤1平台	1雷电29核3掉矿458易伤6时间7平台a寒冰对冰
32	12316 33142	   	254.90	紫橙3易伤1平台1挖怪	1雷电29核3掉矿458易伤6时间7平台a挖怪
33	37482 32441	   	254.84	橙橙1易伤1伤害1矿等1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8易伤9伤害a立即金币
34	37482 32443	   	254.84	橙橙1易伤1伤害1矿等1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8易伤9伤害a敌人爆炸
35	37482 32445	   	254.84	橙橙1易伤1伤害1矿等1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8易伤9伤害a随机矿
36	37482 32446	   	254.84	橙橙1易伤1伤害1矿等1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8易伤9伤害a雷电
37	12423 14422	   	254.80	紫橙2矿等1易伤1暴击1全技能1平台	1雷电28核37矿等4双倍秒伤5易伤6全技能9平台a暴击
38	37482 32437	   	254.74	橙橙1易伤1伤害1矿等1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8易伤9掉矿a伤害
39	37482 32444	   	254.74	橙橙1易伤1伤害1矿等1策反1挖怪	1加一2双倍秒伤3策反4矿等5赏金塔67核8易伤9伤害a挖怪
40	37482 32447	   	254.74	橙橙1易伤1伤害1矿等1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8易伤9伤害a掉矿
41	13132 16141	   	253.56	橙橙2易伤1平台	1雷电25金币生成38易伤4平台69核7低血量敌人a赏金塔
42	13132 16143	   	253.56	橙橙2易伤1平台	1雷电25金币生成38易伤4平台69核7a低血量敌人
43	13132 16142	   	253.46	橙橙2易伤1平台1挖怪	1雷电25金币生成38易伤4平台69核7低血量敌人a挖怪
44	13132 16146	   	253.46	橙橙2易伤1平台	1雷电25金币生成38易伤4平台69核7低血量敌人a挖尘
45	11136 13141	   	253.36	橙橙2易伤1平台	1雷电25掉矿38易伤4平台69核7敌人爆炸a赏金塔
46	11136 13143	   	253.36	橙橙2易伤1平台	1雷电25掉矿38易伤4平台69核7敌人爆炸a低血量敌人
47	11136 13146	   	253.36	橙橙2易伤1平台	1雷电25掉矿38易伤4平台69核7敌人爆炸a寒冰对冰
48	11136 13142	   	253.26	橙橙2易伤1平台1挖怪	1雷电25掉矿38易伤4平台69核7敌人爆炸a挖怪
49	37347 32425	   	253.26	橙橙2易伤1平台	1加一2双倍秒伤3掉矿4赏金塔5技能67核8a易伤9平台
50	37422 32245	   	253.11	橙橙2易伤1平台1策反	1加一2双倍秒伤3策反4金币生成5赏金塔67核8平台9a易伤
51	37422 32425	   	253.11	橙橙2易伤1平台1策反	1加一2双倍秒伤3策反4金币生成5赏金塔67核8a易伤9平台
52	33513 42832	   	253.01	橙橙2易伤1平台1卖塔	1加一2挖尘39易伤4双倍秒伤5卖塔6a核7双倍矿8平台
53	33513 48832	   	253.01	橙橙2易伤1平台1卖塔	1加一2挖尘39易伤4双倍秒伤5卖塔6a核7立即金币8平台
54	37482 32211	   	252.75	橙橙1易伤1矿等1平台1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8平台9时间a易伤
55	12423 32336	 * 	252.69	紫橙2易伤1伤害1矿等	17雷电2a核3矿等4双倍秒伤57易伤67敌人爆炸7序列升级8赏金塔9伤害
56	12423 32636	   	252.69	紫橙2易伤1伤害1矿等	17雷电2a核3矿等4双倍秒伤57易伤67敌人爆炸7序列升级8赏金邻近9伤害
57	12423 36336	   	252.49	紫橙2易伤1伤害1矿等	1雷电2a核3矿等4双倍秒伤57易伤6敌人爆炸8赏金塔9伤害
58	35332 38822	   	251.31	橙橙1易伤1伤害1攻速	1加一2敌人爆炸3易伤4技能5基地爆炸6a核7伤害8攻速9低血量敌人
59	35332 38832	   	251.31	橙橙1易伤1伤害1攻速	1加一2敌人爆炸3易伤4技能5基地爆炸6a核7伤害8攻速9最后敌人
60	33532 38722	   	251.21	橙橙1易伤1伤害1攻速	1加一2挖尘3易伤4技能5基地爆炸6a核7伤害8攻速9低血量敌人
61	33532 38732	   	251.21	橙橙1易伤1伤害1攻速	1加一2挖尘3易伤4技能5基地爆炸6a核7伤害8攻速9最后敌人
62	33728 53424	   	251.21	橙橙1易伤1伤害1攻速	1加一2挖尘3攻速4赏金塔5伤害67核89低血量敌人a易伤
63	35332 38812	   	251.21	橙橙1易伤1伤害1攻速	1加一2敌人爆炸3易伤4技能5基地爆炸6a核7伤害8攻速9挖尘
64	37348 32454	   	251.11	橙橙1易伤1伤害1攻速	1加一2双倍秒伤3掉矿4赏金塔5攻速67核8易伤9敌人爆炸a伤害
65	37348 32484	   	251.11	橙橙1易伤1伤害1攻速	1加一2双倍秒伤3掉矿4赏金塔5攻速67核8易伤9基地爆炸a伤害
66	37348 32414	   	251.01	橙橙1易伤1伤害1攻速	1加一2双倍秒伤3掉矿4赏金塔5攻速67核8易伤9挖尘a伤害
67	37348 32437	   	251.01	橙橙1易伤1伤害1攻速	1加一2双倍秒伤39掉矿4赏金塔5攻速67核8易伤a伤害
68	37538 32414	   	251.01	橙橙1易伤1伤害1攻速	1加一2双倍秒伤3赏金塔4掉矿5攻速67核8易伤9挖尘a伤害
69	37422 32442	   	250.96	橙橙1易伤1伤害1暴击1策反	1加一2双倍秒伤3策反4金币生成5赏金塔67核8易伤9伤害a暴击
70	37442 32442	   	250.96	橙橙1易伤1伤害1暴击1策反	1加一2双倍秒伤3策反4赏金塔5等级67核8易伤9伤害a暴击
71	37412 32442	   	250.86	橙橙1易伤1伤害1暴击1策反	1加一2双倍秒伤3策反4技能点5赏金塔67核8易伤9伤害a暴击
72	33513 61352	   	250.62	橙橙1易伤1伤害1暴击1卖塔1策反	1加一2挖尘3易伤4双倍秒伤5卖塔6伤害7a核8策反9暴击
73	32261 82414	   	250.57	橙橙1易伤1暴击1全技能1平台	1加一2金币生成3基地爆炸4全技能5最后敌人6平台7暴击89核a易伤
74	32263 82414	   	250.57	橙橙1易伤1暴击1全技能1平台	1加一2金币生成3基地爆炸4全技能5低血量敌人6平台7暴击89核a易伤
75	32264 82414	   	250.57	橙橙1易伤1暴击1全技能1平台	1加一2金币生成3基地爆炸4全技能5敌人爆炸6平台7暴击89核a易伤
76	32561 82414	   	250.57	橙橙1易伤1暴击1全技能1平台	1加一2金币生成3低血量敌人4全技能5最后敌人6平台7暴击89核a易伤
77	32663 82414	   	250.57	橙橙1易伤1暴击1全技能1平台	1加一2金币生成3最后敌人4全技能5敌人爆炸6平台7暴击89核a易伤
78	35461 82414	   	250.57	橙橙1易伤1暴击1全技能1平台	1加一2敌人爆炸3金币生成4全技能5最后敌人6平台7暴击89核a易伤
79	35463 82414	   	250.57	橙橙1易伤1暴击1全技能1平台	1加一2敌人爆炸3金币生成4全技能5低血量敌人6平台7暴击89核a易伤
80	35272 72314	   	250.47	橙橙1易伤1暴击1全技能1平台	1加一2敌人爆炸3挖尘4全技能5平台6暴击79核8金币生成a易伤
81	12131 21363	 * 	250.39	紫橙1易伤2攻速1矿等1平台	1雷电28核34攻速5时间6金币生成7平台9易伤a矿等
82	12131 11363	   	250.29	紫橙1易伤2攻速1矿等1平台	1雷电28核34攻速5时间6掉矿7平台9易伤a矿等
83	37348 32443	   	249.01	橙橙1易伤1攻速1平台	1加一2双倍秒伤3掉矿4赏金塔5攻速67核8易伤9时间a平台
84	37538 32443	   	249.01	橙橙1易伤1攻速1平台	1加一2双倍秒伤3赏金塔4掉矿5攻速67核8易伤9时间a平台
85	33728 53234	   	248.91	橙橙2伤害2攻速1卖塔	1加一2挖尘3a攻速4赏金塔59伤害67核8卖塔
86	31246 61136	   	248.78	橙橙1易伤1矿等1攻速	1加一2额外掉落3基地爆炸4攻速5等级6矿等7随机矿89核a易伤
87	31244 61136	   	248.68	橙橙1易伤1矿等1攻速	1加一2额外掉落3基地爆炸4攻速5掉矿6矿等7随机矿89核a易伤
88	37482 32454	   	248.43	橙橙1易伤1矿等1攻速1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8易伤9敌人爆炸a攻速
