0	Index      	 *	Score 	Summary	Detail	
1	33161 24325	 * 	290.72	橙橙2易伤2伤害1平台2策反	1平台28策反3掉矿4赏金邻近58伤害68易伤7a核8序列升级9技能点
2	64225 23233	 * 	274.98	橙橙2易伤1矿等1攻速	1双倍秒伤25易伤3赏金邻近4矿等6攻速7基地爆炸89核a金币生成
3	64225 23231	   	274.88	橙橙2易伤1矿等1攻速	1双倍秒伤25易伤3赏金邻近4矿等6攻速7基地爆炸89核a激光减费
4	64225 23232	   	274.88	橙橙2易伤1矿等1攻速	1双倍秒伤25易伤3赏金邻近4矿等6攻速7基地爆炸89核a加一
5	35126 22413	 * 	273.52	橙橙2易伤1伤害1平台	1平台24易伤3防空对愈5基地爆炸6雷电7赏金塔89核a伤害
6	24535 23121	 * 	268.89	橙橙2伤害1易伤1攻速	1毒液对冰2攻速39伤害48金币生成5易伤6低血量敌人7a核
7	24535 23321	   	268.89	橙橙2伤害1易伤1攻速	1毒液对冰2攻速39伤害4金币生成5易伤68低血量敌人7a核
8	64224 23233	 * 	264.39	橙橙2矿等1易伤1攻速	1双倍秒伤2易伤3赏金邻近46矿等5基地爆炸7攻速89核a金币生成
9	64224 23231	   	264.29	橙橙2矿等1易伤1攻速	1双倍秒伤2易伤3赏金邻近46矿等5基地爆炸7攻速89核a激光减费
10	64224 23232	   	264.29	橙橙2矿等1易伤1攻速	1双倍秒伤2易伤3赏金邻近46矿等5基地爆炸7攻速89核a加一
11	64221 43233	   	261.23	橙橙2易伤1矿等	1双倍秒伤26易伤3赏金邻近4矿等5核弹7基地爆炸89核a金币生成
12	64221 43231	   	261.13	橙橙2易伤1矿等	1双倍秒伤26易伤3赏金邻近4矿等5核弹7基地爆炸89核a激光减费
13	64221 43232	   	261.13	橙橙2易伤1矿等	1双倍秒伤26易伤3赏金邻近4矿等5核弹7基地爆炸89核a加一
14	13333 35414	   	260.87	橙橙1易伤1伤害1暴击1平台	1暴击2平台3低血量敌人4爆破对冰5伤害6双倍物品7a核8易伤9额外掉落
