0	Index      	 *	Score 	Summary	Detail	
1	51321 73153	 * 	282.44	橙橙2伤害1易伤1矿等1全技能	1金币生成2加一3等级4易伤5全技能69伤害7a核8矿等
2	51321 73133	 * 	280.46	橙橙2矿等1易伤1伤害1全技能	1金币生成2加一3等级4易伤5全技能6伤害7a核89矿等
3	51321 43133	   	274.05	橙橙2矿等1易伤1攻速1全技能	1金币生成2加一3等级4易伤5全技能6攻速7a核89矿等
4	22512 13243	   	270.83	橙橙1易伤1矿等1暴击1攻速	1双倍矿2雷电3暴击4矿等5易伤68核7赏金塔9攻速a时间
5	24323 21133	   	269.37	橙橙1易伤1伤害1攻速1全技能	1双倍矿2伤害3时间4等级5全技能6攻速7a核8技能9易伤
6	22512 13216	 * 	264.85	橙橙1易伤2暴击1矿等1平台	1双倍矿2雷电3a暴击4矿等5易伤68核7赏金塔9平台
7	22512 13224	   	263.73	橙橙1易伤1矿等2时间1暴击	1双倍矿2雷电3暴击4矿等5易伤68核7赏金塔9a时间
8	22512 13226	   	263.49	橙橙1易伤2暴击1矿等	1双倍矿2雷电3a暴击4矿等5易伤68核7赏金塔9时间
9	22512 13242	   	262.53	橙橙1易伤1矿等1暴击1攻速	1双倍矿2雷电3暴击4矿等5易伤68核7赏金塔9攻速a敌人爆炸
10	22512 13244	   	262.53	橙橙1易伤1矿等1暴击1攻速	1双倍矿2雷电3暴击4矿等5易伤68核7赏金塔9攻速a最后敌人
11	22512 13245	   	262.53	橙橙1易伤1矿等1暴击1攻速	1双倍矿2雷电3暴击4矿等5易伤68核7赏金塔9攻速a金币生成
12	22512 13246	   	262.53	橙橙1易伤1矿等1暴击1攻速	1双倍矿2雷电3暴击4矿等5易伤68核7赏金塔9攻速a低血量敌人
13	22512 13241	   	262.43	橙橙1易伤1矿等1暴击1攻速	1双倍矿2雷电3暴击4矿等5易伤68核7赏金塔9攻速a掉矿
14	32136 83114	 * 	261.66	橙橙2易伤1全技能	1赏金塔2时间3加一48易伤5双倍秒伤6全技能7a核9基地爆炸
15	32136 83154	   	261.66	橙橙2易伤1全技能	1赏金塔2时间3加一48易伤5双倍秒伤6全技能7a核9低血量敌人
16	32136 83184	   	261.66	橙橙2易伤1全技能	1赏金塔2时间3加一48易伤5双倍秒伤6全技能7a核9最后敌人
17	32342 83114	   	261.66	橙橙2易伤1全技能	1赏金塔2时间3双倍秒伤48易伤5加一6全技能7a核9基地爆炸
18	32342 83154	   	261.66	橙橙2易伤1全技能	1赏金塔2时间3双倍秒伤48易伤5加一6全技能7a核9低血量敌人
19	32342 83184	   	261.66	橙橙2易伤1全技能	1赏金塔2时间3双倍秒伤48易伤5加一6全技能7a核9最后敌人
20	32134 13644	   	261.66	橙橙2易伤1全技能	1赏金塔2时间3加一45易伤6全技能7双倍秒伤8低血量敌人9a核
21	32134 13744	   	261.66	橙橙2易伤1全技能	1赏金塔2时间3加一45易伤6全技能7双倍秒伤8最后敌人9a核
22	24423 21133	   	261.07	橙橙1易伤1伤害1攻速1全技能	1双倍矿2伤害3基地爆炸4等级5全技能6攻速7a核8技能9易伤
23	51321 33833	   	260.15	橙橙2矿等1易伤1全技能1策反	1金币生成2加一3等级4易伤5全技能69矿等7a核8策反
24	61151 33273	   	259.51	橙橙1易伤1伤害1暴击	1基地爆炸2时间3低血量敌人4易伤5掉矿6伤害7加一8a核9暴击
25	61153 33273	   	259.51	橙橙1易伤1伤害1暴击	1基地爆炸2时间3低血量敌人4易伤5技能点6伤害7加一8a核9暴击
26	42531 33273	   	259.51	橙橙1易伤1伤害1暴击	1掉矿2低血量敌人3时间4易伤5基地爆炸6伤害7加一8a核9暴击
27	22512 13213	   	258.54	橙橙1易伤1矿等1暴击1平台	1双倍矿2a雷电3暴击4矿等5易伤68核7赏金塔9平台
28	22512 13214	   	258.54	橙橙1易伤1矿等1暴击1平台	1双倍矿2雷电3暴击4矿等5易伤68核7赏金塔9平台a技能
29	22512 13215	   	258.54	橙橙1易伤1矿等1暴击1平台	1双倍矿2雷电3暴击4矿等5易伤68核7赏金塔9平台a基地爆炸
30	22512 13253	   	258.54	橙橙1易伤1矿等1暴击1全技能	1双倍矿2雷电3暴击4矿等5易伤68核7赏金塔9立即金币a全技能
31	22512 13211	   	258.44	橙橙1易伤1矿等1暴击1平台	1双倍矿2雷电3暴击4矿等5易伤68核7赏金塔9平台a挖尘
32	22512 13212	   	258.44	橙橙1易伤1矿等1暴击1平台	1双倍矿2雷电3暴击4矿等5易伤68核7赏金塔9平台a掉矿
33	51321 43183	   	258.44	橙橙1易伤1矿等1攻速1全技能	19金币生成2加一3等级4易伤5全技能6攻速7a核8矿等
34	22512 13221	   	257.18	橙橙1易伤1矿等1暴击	1双倍矿2雷电3暴击4矿等5易伤68核7赏金塔9时间a最后敌人
35	22512 13222	   	257.18	橙橙1易伤1矿等1暴击	1双倍矿2雷电3暴击4矿等5易伤68核7赏金塔9时间a金币生成
36	22512 13225	   	257.18	橙橙1易伤1矿等1暴击	1双倍矿2雷电3暴击4矿等5易伤68核7赏金塔9时间a敌人爆炸
37	22512 13251	   	257.18	橙橙1易伤1矿等1暴击	1双倍矿2雷电3暴击4矿等5易伤68核7赏金塔9立即金币a时间
38	22542 14233	   	257.18	橙橙1易伤1矿等1暴击	1双倍矿2雷电3暴击4金币生成5易伤68核7时间9低血量敌人a矿等
39	22512 13223	   	257.08	橙橙1易伤1矿等1暴击1挖怪	1双倍矿2雷电3暴击4矿等5易伤68核7赏金塔9时间a挖怪
40	22512 13263	   	257.08	橙橙1易伤1矿等1暴击	1双倍矿2雷电3暴击4矿等5易伤68核7赏金塔9核弹a时间
41	24323 11133	   	255.62	橙橙1易伤1伤害1全技能	1双倍矿2伤害3时间4等级5全技能6核弹7a核8技能9易伤
42	23612 53732	   	255.04	橙橙2伤害1易伤	1双倍矿2毒液对冰3双倍秒伤4最后敌人5加一6易伤78伤害9a核
43	41881 21333	   	254.99	橙橙1易伤1伤害2全技能	1掉矿2加一3低血量敌人4伤害58全技能6立即金币7a核9易伤
44	41881 41333	   	254.89	橙橙1易伤1伤害2全技能	16掉矿2加一3低血量敌人4伤害58全技能7a核9易伤
45	33134 13644	   	253.26	橙橙2易伤1全技能	1赏金塔2挖尘3加一45易伤6全技能7双倍秒伤8低血量敌人9a核
46	33134 13744	   	253.26	橙橙2易伤1全技能	1赏金塔2挖尘3加一45易伤6全技能7双倍秒伤8最后敌人9a核
47	33136 83114	   	253.26	橙橙2易伤1全技能	1赏金塔2挖尘3加一48易伤5双倍秒伤6全技能7a核9基地爆炸
48	33136 83154	   	253.26	橙橙2易伤1全技能	1赏金塔2挖尘3加一48易伤5双倍秒伤6全技能7a核9低血量敌人
49	33136 83184	   	253.26	橙橙2易伤1全技能	1赏金塔2挖尘3加一48易伤5双倍秒伤6全技能7a核9最后敌人
50	33324 83114	   	253.26	橙橙2易伤1全技能	1赏金塔2挖尘3双倍秒伤4加一58易伤6全技能7a核9基地爆炸
51	33324 83154	   	253.26	橙橙2易伤1全技能	1赏金塔2挖尘3双倍秒伤4加一58易伤6全技能7a核9低血量敌人
52	33324 83184	   	253.26	橙橙2易伤1全技能	1赏金塔2挖尘3双倍秒伤4加一58易伤6全技能7a核9最后敌人
53	41611 23273	   	253.10	橙橙1易伤1暴击1攻速	1掉矿2加一3时间4最后敌人5基地爆炸6攻速7易伤8a核9暴击
54	41631 21273	   	253.10	橙橙1易伤1暴击1攻速	1掉矿2加一3时间4易伤5基地爆炸6攻速7最后敌人8a核9暴击
55	41623 23273	   	253.00	橙橙1易伤1暴击1攻速	1掉矿2加一3时间4挖尘5最后敌人6攻速7易伤8a核9暴击
56	41624 21273	   	253.00	橙橙1易伤1暴击1攻速	1掉矿2加一3时间4挖尘5易伤6攻速7最后敌人8a核9暴击
57	32136 83364	   	252.99	橙橙1易伤1矿等1全技能	1赏金塔2时间3加一4易伤5双倍秒伤6全技能7a核8金币生成9矿等
58	32342 83364	   	252.99	橙橙1易伤1矿等1全技能	1赏金塔2时间3双倍秒伤4易伤5加一6全技能7a核8金币生成9矿等
59	31132 43745	   	252.85	橙橙1易伤1矿等1全技能1卖塔	1赏金塔2低血量敌人3加一4易伤5卖塔6a核7矿等8全技能9时间
