0	Index      	 *	Score 	Summary	Detail	
1	42512 32632	 * 	277.51	橙橙2易伤1伤害1暴击	1核弹25易伤3伤害4基地爆炸6激光对冰7低血量敌人8暴击9a核
2	42233 26441	 * 	276.64	橙橙2易伤2矿等	1核弹28易伤35技能点45矿等5序列升级6双倍秒伤7加一9a核
3	51562 22222	 * 	276.34	橙3易伤2伤害2暴击1矿等1攻速1全技能	159易伤2矿等39伤害4全技能6核7技能89暴击9序列升级a攻速
4	51115 14813	   	273.95	橙橙2矿等1易伤1攻速1平台	1易伤28矿等3加农对甲4雷电5加一6平台7a核9攻速
5	51243 21622	   	270.79	橙橙2易伤1矿等1平台	15易伤2矿等39技能点4平台6喷火对黄7基地爆炸8a核
6	51243 23622	   	270.69	橙橙2易伤1矿等1平台	15易伤2矿等39技能点4平台6喷火对黄7挖尘8a核
7	41122 35532	   	270.63	橙橙1易伤1矿等1攻速1暴击	1核弹2喷火对甲3攻速4易伤5矿等6时间7a核8暴击9掉矿
8	31633 41441	   	269.39	橙橙2易伤1矿等1策反	1敌人爆炸2矿等3时间4策反5加一6等级78易伤9a核
9	31633 81441	   	269.39	橙橙2易伤1矿等1策反	1敌人爆炸2矿等3时间4策反5加一6随机矿78易伤9a核
10	52142 35132	 * 	268.75	橙橙2伤害1易伤1攻速1卖塔	1易伤2低血量敌人3基地爆炸48伤害5攻速6卖塔7寒冰对冰9a核
11	31563 21325	   	264.85	橙橙1易伤1伤害1矿等1全技能	1敌人爆炸2矿等3伤害4全技能5立即金币6a核7最后敌人8技能点9易伤
12	21562 33225	   	264.85	橙橙1易伤1伤害1矿等1全技能	17最后敌人2矿等3伤害4全技能5易伤6掉矿8a核9低血量敌人
13	21563 22325	   	264.75	橙橙1易伤1伤害1矿等1全技能	1最后敌人2矿等3伤害4全技能5立即金币6a核7挖尘8技能点9易伤
14	52142 35232	 * 	263.61	橙橙1易伤2攻速1伤害1卖塔	1易伤2低血量敌人3基地爆炸4伤害58攻速6卖塔7寒冰对冰9a核
15	51562 22221	   	262.69	橙3易伤2伤害2暴击1矿等1全技能	159易伤2矿等39伤害4全技能6核7技能89暴击9序列升级a基地爆炸
16	51562 22223	   	262.59	橙3易伤2伤害2暴击1矿等1全技能	159易伤2矿等39伤害4全技能6核7技能89暴击9序列升级a挖尘
17	41122 66232	   	262.33	橙橙1易伤1矿等1攻速1暴击	1核弹2喷火对甲3攻速4易伤5矿等6暴击7a核8基地爆炸9掉矿
18	33521 21215	 * 	262.15	紫橙2易伤1伤害1矿等1全技能	1敌人爆炸2a核3挖尘45易伤6全技能7矿等8伤害9等级
19	33521 21235	   	262.15	紫橙2易伤1伤害1矿等1全技能	1敌人爆炸2a核3挖尘45易伤6全技能7矿等8伤害9金币生成
20	31213 31441	   	261.13	橙橙2易伤1矿等	1敌人爆炸2矿等3技能点4基地爆炸5加一6核弹78易伤9a核
21	42231 26441	   	261.03	橙橙2易伤1矿等	1核弹28易伤3技能点4矿等5双倍矿6双倍秒伤7加一9a核
22	42236 26441	   	261.03	橙橙2易伤1矿等	1核弹28易伤3技能点4矿等5立即金币6双倍秒伤7加一9a核
23	51213 56441	   	260.88	橙橙2易伤1矿等1策反	18易伤2矿等3技能点4基地爆炸5策反6挖尘7加一9a核
24	53113 84451	   	260.79	紫橙2易伤1伤害1矿等	17易伤2a核3最后敌人4随机矿5加一6伤害8时间9矿等
25	53253 24731	   	260.79	紫橙2易伤1伤害1矿等	17易伤2a核3伤害4基地爆炸5加一6矿等8随机矿9时间
26	53243 27431	 * 	260.75	紫橙2易伤2伤害	1a易伤28核37伤害4敌人爆炸5加一6时间9挖尘
27	53233 21851	   	260.69	紫橙2易伤1伤害1矿等	18易伤2a核3伤害4挖尘5加一6时间7随机矿9矿等
28	53253 24131	   	260.69	紫橙2易伤1伤害1矿等	17易伤2a核3伤害4基地爆炸5加一6矿等8掉矿9时间
29	42233 13255	   	260.30	橙橙2矿等1易伤1全技能	1核弹2易伤35技能点45矿等5序列升级6低血量敌人7全技能8a核9基地爆炸
30	42233 13245	   	260.20	橙橙2矿等1易伤1全技能	1核弹2易伤35技能点45矿等5序列升级6低血量敌人7全技能8a核9挖青
31	51232 61622	   	260.20	橙橙2矿等1易伤1平台	1易伤24矿等39技能点5爆破对壮6平台7基地爆炸8a核
32	51232 63622	   	260.10	橙橙2矿等1易伤1平台	1易伤24矿等39技能点5爆破对壮6平台7挖尘8a核
