0	Index      	 *	Score 	Summary	Detail	
1	21351 14341	 * 	296.10	橙橙2伤害2矿等2攻速1暴击1卖塔	19矿等2雷电3卖塔49攻速5技能67核89伤害9序列升级a暴击
2	21351 14324	 * 	284.30	橙橙2矿等1易伤1伤害1攻速1卖塔	19矿等2雷电3卖塔4攻速5技能67核8伤害a易伤
3	21351 14342	 * 	282.45	橙橙2伤害2矿等2攻速1卖塔	19矿等2雷电3卖塔49攻速5技能67核89伤害9序列升级a激光对冰
4	21351 14343	 * 	282.35	橙橙2伤害2矿等2攻速1策反1卖塔	19矿等2雷电3卖塔49攻速5技能67核89伤害9序列升级a策反
5	21242 23345	 * 	279.30	橙橙2易伤1矿等	1矿等2雷电3赏金邻近4时间5a易伤69核7双倍秒伤8平台
6	23522 23345	   	279.30	橙橙2易伤1矿等	1矿等2时间3赏金塔4雷电5a易伤69核7双倍秒伤8平台
7	21142 36231	 * 	277.04	橙橙2易伤2矿等	16矿等24雷电3加农对毒56易伤6序列升级7a核8低血量敌人9额外掉落
8	21122 36231	   	276.94	橙橙2易伤2矿等	16矿等2雷电34加农对毒56易伤6序列升级7a核8低血量敌人9额外掉落
9	22426 36231	   	276.94	橙橙2易伤2矿等	16矿等23易伤4雷电56电塔对黄6序列升级7a核8低血量敌人9额外掉落
10	21242 22761	   	276.18	橙橙2易伤1矿等2时间	1矿等2雷电3赏金邻近49时间58易伤6a核7加一
11	23522 22761	   	276.18	橙橙2易伤1矿等2时间	1矿等29时间3赏金塔4雷电58易伤6a核7加一
12	13314 61333	 * 	275.49	橙5易伤2矿等2时间3策反	13a策反25时间4569a易伤5a序列升级7a矿等8核
13	61416 11233	   	274.83	橙橙2易伤1矿等1攻速1策反	1基地爆炸2策反39易伤4额外掉落5矿等68核7赏金塔a攻速
14	21242 23341	 * 	273.16	橙橙1易伤1伤害1矿等	1矿等2雷电3赏金邻近4时间5易伤69核7双倍秒伤8平台a伤害
15	21642 23341	   	273.16	橙橙1易伤1伤害1矿等	1矿等2雷电3赏金塔4时间5易伤69核7双倍秒伤8平台a伤害
16	22626 23341	   	273.16	橙橙1易伤1伤害1矿等	1矿等2易伤3赏金塔4时间5雷电69核7双倍秒伤8平台a伤害
17	23522 23341	   	273.16	橙橙1易伤1伤害1矿等	1矿等2时间3赏金塔4雷电5易伤69核7双倍秒伤8平台a伤害
18	52242 23341	   	273.16	橙橙1易伤1伤害1矿等	1雷电2矿等3赏金邻近4时间5易伤69核7双倍秒伤8平台a伤害
19	21253 23345	   	270.99	橙橙2易伤1矿等	1矿等2雷电3赏金邻近4a易伤5最后敌人69核7双倍秒伤8平台
20	21332 14324	 * 	270.41	橙橙2矿等1易伤1伤害2卖塔	19矿等24雷电35卖塔67核8伤害a易伤
21	52332 14324	 * 	270.41	橙橙2矿等1易伤1伤害2卖塔	14雷电29矿等35卖塔67核8伤害a易伤
22	21332 14341	 * 	269.75	橙橙2伤害2矿等1暴击2卖塔	19矿等249雷电35卖塔67核89伤害9序列升级a暴击
23	21332 14343	 * 	269.75	橙橙2伤害2矿等1攻速2卖塔	19矿等249雷电35卖塔67核89伤害9序列升级a攻速
24	52332 14341	 * 	269.75	橙橙2伤害2矿等1暴击2卖塔	149雷电29矿等35卖塔67核89伤害9序列升级a暴击
25	52332 14343	 * 	269.75	橙橙2伤害2矿等1攻速2卖塔	149雷电29矿等35卖塔67核89伤害9序列升级a攻速
26	21242 23344	   	268.70	橙橙2矿等1易伤	1a矿等2雷电3赏金邻近4时间5易伤69核7双倍秒伤8平台
27	23522 23344	   	268.70	橙橙2矿等1易伤	1a矿等2时间3赏金塔4雷电5易伤69核7双倍秒伤8平台
28	21351 14332	   	268.69	橙橙1易伤1伤害1矿等1攻速1卖塔	1矿等2雷电3卖塔4攻速5技能67核8伤害9低血量敌人a易伤
29	52351 14332	   	268.69	橙橙1易伤1伤害1矿等1攻速1卖塔	1雷电2矿等3卖塔4攻速5技能67核8伤害9低血量敌人a易伤
30	21351 14312	   	268.59	橙橙1易伤1伤害1矿等1攻速1卖塔	1矿等2雷电3卖塔4攻速5技能67核8伤害9挖青a易伤
31	52351 14312	   	268.59	橙橙1易伤1伤害1矿等1攻速1卖塔	1雷电2矿等3卖塔4攻速5技能67核8伤害9挖青a易伤
32	24342 22221	 * 	266.52	橙橙3矿等1伤害1攻速	139矿等2立即金币3序列升级4伤害5攻速6雷电7赏金塔8a核
