0	Index      	 *	Score 	Summary	Detail	Bounty	
1	61125 11142	 * 	287.74	橙3易伤2等级2伤害2时间	1挖青2a等级37时间49a易伤5a伤害6核8双倍矿a序列升级	7
2	16421 34123	 * 	281.91	紫4易伤3伤害2时间3攻速1核弹	168伤害2平台3核弹468a易伤5核68a序列升级78a攻速9a时间	5
3	61422 13362	 * 	277.95	橙4易伤2等级2伤害	1挖青2a等级3低血量敌人467a易伤5立即金币8a伤害9核a序列升级	7
4	61423 13362	   	277.95	橙4易伤2等级2伤害	1挖青2a等级3低血量敌人467a易伤5双倍矿8a伤害9核a序列升级	7
5	66122 13362	   	277.95	橙4易伤2等级2伤害	1挖青267a易伤3策反4a等级5随机矿8a伤害9核a序列升级	7
6	16421 14122	 * 	277.18	紫4易伤3伤害1等级3攻速1核弹	189伤害2平台3核弹4689易伤5核789攻速89序列升级a等级	6
7	61125 16213	   	273.15	橙3易伤2等级2伤害1时间	1挖青27等级3时间47a易伤57伤害6核7序列升级8最后敌人9低血量敌人	8
8	61125 16213	   	273.15	橙3易伤2等级2伤害1时间	1挖青27等级3时间47a易伤57伤害6核7序列升级8敌人爆炸9低血量敌人	7
9	61125 16223	   	273.15	橙3易伤2等级2伤害1时间	1挖青27等级3时间47a易伤57伤害6核7序列升级8敌人爆炸9最后敌人	7
10	61125 16223	   	273.15	橙3易伤2等级2伤害1时间	1挖青27等级3时间47a易伤57伤害6核7序列升级89最后敌人	8
11	61125 16313	   	273.15	橙3易伤2等级2伤害1时间	1挖青27等级3时间47a易伤57伤害6核7序列升级8金币生成9随机矿	8
12	61125 16113	   	273.05	橙3易伤2等级2伤害1时间	1挖青27等级3时间47a易伤57伤害6核7序列升级8掉矿9随机矿	8
13	61125 16133	   	273.05	橙3易伤2等级2伤害1时间	1挖青27等级3时间47a易伤57伤害6核7序列升级8掉矿9金币生成	9
14	61125 16313	   	273.05	橙3易伤2等级2伤害1时间	1挖青27等级3时间47a易伤57伤害6核7序列升级8挖尘9低血量敌人	7
15	61125 16323	   	273.05	橙3易伤2等级2伤害1时间	1挖青27等级3时间47a易伤57伤害6核7序列升级8挖尘9最后敌人	7
16	61125 16333	   	273.05	橙3易伤2等级2伤害1时间	1挖青27等级3时间47a易伤57伤害6核7序列升级8金币生成9掉矿	8
17	61124 42211	 * 	270.94	橙4易伤2等级2时间	1挖青25等级36时间469a易伤6序列升级7赏金邻近8核	5
18	61121 42211	 * 	270.27	橙5易伤2时间1等级	1挖青2等级36时间4569a易伤6序列升级7赏金邻近8核	4
19	61161 42211	   	270.27	橙5易伤2时间1等级	1挖青2等级36时间4569a易伤6序列升级7赏金邻近8核	3
20	13224 26216	   	267.87	橙2易伤2等级2伤害1时间1核弹	19伤害2基地爆炸3核弹49等级5策反6核7雷电89易伤9序列升级a时间	10
21	15223 14454	   	267.81	橙3易伤2等级2伤害1核弹	17伤害2挖尘3核弹47等级5加一679易伤7序列升级8矿等a核	6
22	16421 14121	   	267.23	紫4易伤3伤害3攻速1时间1核弹	189伤害2平台3核弹4689易伤5核789攻速89序列升级a时间	6
23	61533 31242	   	266.24	橙3易伤2等级2时间2攻速	1挖青2a等级34攻速59a易伤6核7立即金币8a时间a序列升级	3
24	16416 31121	 * 	266.22	橙2易伤3伤害3时间1核弹	15a伤害2平台3核弹45a时间5a序列升级6雷电7金币生成8a易伤9核	6
25	61125 14312	 * 	265.32	橙2易伤2等级2时间1伤害3雷电	1挖青29等级39时间48易伤5伤害6核79a雷电9序列升级	10
26	61121 42215	 * 	265.15	橙4易伤3时间1等级	1挖青2等级36a时间4569易伤6序列升级7赏金邻近8核	4
27	61121 22234	 * 	264.16	橙3易伤3时间1等级1伤害	1挖青2等级356时间479易伤8伤害a核	9
28	61125 16323	 * 	264.12	橙2易伤3伤害2等级1时间	1挖青27等级3时间47易伤57a伤害6核7序列升级8金币生成9额外掉落	9
29	61125 16123	   	264.02	橙2易伤3伤害2等级1时间	1挖青27等级3时间47易伤57a伤害6核7序列升级8掉矿9额外掉落	9
30	66312 31242	 * 	263.67	橙4易伤2伤害2时间	1挖青249a易伤34矿等4a序列升级5a伤害6核7立即金币8a时间	2
31	13312 44261	 * 	263.45	橙4易伤3伤害2雷电	136伤害27基地爆炸47雷电5678易伤67序列升级9核a金币生成	4
32	13312 44262	   	263.45	橙4易伤3伤害2雷电	136伤害27基地爆炸47雷电5678易伤67序列升级9核a敌人爆炸	4
33	13312 44263	   	263.35	橙4易伤3伤害2雷电	136伤害27基地爆炸47雷电5678易伤67序列升级9核a赏金塔	4
34	61125 16333	 * 	263.15	橙2易伤3等级2伤害2时间	1挖青27a等级3a时间47易伤57伤害6核7a序列升级89a金币生成	10
35	12423 54113	   	263.15	橙2易伤2等级2伤害2时间	18伤害2随机矿3最后敌人48等级5低血量敌人6a时间78易伤8序列升级9核	6
36	12423 64113	   	263.15	橙2易伤2等级2伤害2时间	18伤害2随机矿3最后敌人48等级5低血量敌人6a时间78易伤8序列升级9核	5
37	12622 34114	   	263.15	橙2易伤2等级2伤害2时间	18伤害2随机矿3敌人爆炸48等级5基地爆炸6a时间78易伤8序列升级9核	4
38	13621 64113	   	263.15	橙2易伤2等级2伤害2时间	18伤害2基地爆炸3随机矿48等级5a时间6最后敌人78易伤8序列升级9核	5
39	13623 54113	   	263.15	橙2易伤2等级2伤害2时间	18伤害2基地爆炸3随机矿48等级5最后敌人6a时间78易伤8序列升级9核	6
