0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22613 46113	5	 * 	295.97	橙3易伤3伤害3等级1暴击	179伤害257易伤3全技能457等级57序列升级6核8基地爆炸a暴击
2	22613 46213	5	   	295.87	橙3易伤3伤害3等级1暴击	179伤害257易伤3全技能457等级57序列升级6核8挖尘a暴击
3	22613 46121	5	   	291.22	橙3易伤3等级2伤害1时间	17伤害257易伤3全技能457等级57序列升级6核8基地爆炸9攻速a时间
4	22613 46321	5	   	291.22	橙3易伤3等级2伤害1时间	17伤害257易伤3全技能457等级57序列升级6核8低血量敌人9攻速a时间
5	22223 22666	2	   	291.12	橙3易伤2等级2伤害1时间	19伤害289易伤3时间4全技能5赏金邻近6攻速79等级9序列升级a核
6	22323 22666	3	   	291.12	橙3易伤2等级2伤害1时间	19伤害289易伤3时间4全技能5赏金邻近6攻速79等级9序列升级a核
7	22613 46221	5	   	291.12	橙3易伤3等级2伤害1时间	17伤害257易伤3全技能457等级57序列升级6核8挖尘9攻速a时间
8	22613 23522	5	 * 	287.72	橙4易伤3等级2伤害	17伤害258a易伤3全技能457等级57序列升级67金币生成9核
9	22613 12142	7	   	287.62	橙4易伤2等级2伤害	17伤害2589易伤3全技能45等级5序列升级6最后敌人a核
10	22613 32142	7	   	287.52	橙4易伤2等级2伤害	17伤害2589易伤3全技能45等级5序列升级6挖尘a核
11	22322 23231	9	 * 	283.68	橙3易伤2伤害2时间1等级2雷电	18伤害289易伤37时间4敌人爆炸58雷电6核8序列升级a等级
12	22332 23231	9	   	283.68	橙3易伤2伤害2时间1等级2雷电	18伤害289易伤37时间4基地爆炸58雷电6核8序列升级a等级
13	22332 24621	6	   	283.68	橙3易伤2伤害2时间1等级2雷电	18伤害278易伤39时间4基地爆炸58雷电6核8序列升级a等级
14	22262 23231	9	   	283.68	橙3易伤2伤害2时间1等级2雷电	18伤害289易伤3敌人爆炸47时间58雷电6核8序列升级a等级
15	22613 23525	5	   	282.32	橙3易伤3伤害3等级	17a伤害258易伤3全技能457等级57序列升级67金币生成9核
16	22613 46111	5	   	282.32	橙3易伤3伤害3等级	179伤害257易伤3全技能457等级57序列升级6核8基地爆炸a敌人爆炸
17	22613 46112	5	   	282.32	橙3易伤3伤害3等级	179伤害257易伤3全技能457等级57序列升级6核8基地爆炸a低血量敌人
18	22613 46311	5	   	282.32	橙3易伤3伤害3等级	179伤害257易伤3全技能457等级57序列升级6核8低血量敌人a敌人爆炸
19	22613 46313	5	   	282.32	橙3易伤3伤害3等级	179伤害257易伤3全技能457等级57序列升级6核8低血量敌人a金币生成
20	22613 46211	5	   	282.22	橙3易伤3伤害3等级	179伤害257易伤3全技能457等级57序列升级6核8挖尘a敌人爆炸
21	22613 46212	5	   	282.22	橙3易伤3伤害3等级	179伤害257易伤3全技能457等级57序列升级6核8挖尘a低血量敌人
22	22613 46312	5	   	282.22	橙3易伤3伤害3等级	179伤害257易伤3全技能457等级57序列升级6核8低血量敌人a挖青
23	22135 32513	6	 * 	280.23	橙3易伤3伤害2时间1暴击	157伤害278易伤3暴击4金币生成67时间7序列升级9核a雷电
24	22112 11437	9	   	280.22	橙3易伤2等级2伤害1暴击	1a伤害28a易伤3暴击4全技能5低血量敌人6a等级7核9加一a序列升级
25	22632 11437	9	   	280.22	橙3易伤2等级2伤害1暴击	1a伤害28a易伤3全技能4暴击5低血量敌人6a等级7核9加一a序列升级
26	22611 26121	6	   	280.05	橙3易伤2伤害1等级2攻速1时间	17伤害278易伤3全技能4等级5金币生成67攻速7序列升级9核a时间
27	22213 48633	2	 * 	279.13	橙4易伤3伤害2时间	159伤害279a易伤39时间4加一6赏金塔8核9序列升级
28	22213 77633	2	   	279.13	橙4易伤3伤害2时间	159伤害269a易伤39时间4加一7赏金邻近8核9序列升级
29	22213 78333	2	   	279.13	橙4易伤3伤害2时间	159伤害269a易伤39时间4加一7核8赏金邻近9序列升级
30	22313 48633	3	   	279.13	橙4易伤3伤害2时间	159伤害279a易伤39时间4加一6赏金塔8核9序列升级
31	22313 77633	3	   	279.13	橙4易伤3伤害2时间	159伤害269a易伤39时间4加一7赏金邻近8核9序列升级
32	22313 78333	3	   	279.13	橙4易伤3伤害2时间	159伤害269a易伤39时间4加一7核8赏金邻近9序列升级
33	22332 23236	10	   	278.53	橙4易伤2伤害2时间2雷电	18伤害289a易伤37时间4基地爆炸58雷电6核8序列升级
34	21122 18843	2	 * 	278.14	橙3易伤3伤害2时间2暴击	128伤害3加一49暴击58a易伤68时间7核8序列升级
35	22113 44133	2	   	277.85	橙4易伤2等级2伤害	19伤害289a易伤3敌人爆炸4加一5掉矿69等级7核9序列升级
36	22213 44133	3	   	277.85	橙4易伤2等级2伤害	19伤害289a易伤3敌人爆炸4加一5掉矿69等级7核9序列升级
37	23145 32412	3	   	277.67	橙2易伤3伤害2等级1时间1暴击	157伤害27挖尘3暴击48等级67易伤7序列升级9核a时间
38	22132 36663	3	 * 	276.34	橙2易伤3伤害2等级2暴击	158伤害2a易伤38暴击45策反58序列升级6雷电78等级9核
39	23335 21166	9	 * 	275.82	橙3易伤2伤害1等级2暴击	1a伤害2挖尘3全技能4a暴击5雷电6等级78a易伤9核a序列升级
40	42543 22132	1	 * 	275.82	橙2易伤2等级2时间1伤害1暴击	1攻速2暴击3a易伤4a等级5伤害6核7a时间8金币生成9雷电a序列升级
41	42543 22232	1	   	275.72	橙2易伤2等级2时间1伤害1暴击	1攻速2暴击3a易伤4a等级5伤害6核7a时间8掉矿9雷电a序列升级
42	22613 46122	5	   	274.97	橙3易伤3等级2伤害	17伤害257易伤3全技能457等级57序列升级6核8基地爆炸9攻速a低血量敌人
43	22613 46123	5	   	274.97	橙3易伤3等级2伤害	17伤害257易伤3全技能457等级57序列升级6核8基地爆炸9攻速a平台
44	22613 46322	5	   	274.97	橙3易伤3等级2伤害	17伤害257易伤3全技能457等级57序列升级6核8a低血量敌人9攻速
45	22613 46323	5	   	274.97	橙3易伤3等级2伤害	17伤害257易伤3全技能457等级57序列升级6核8低血量敌人9攻速a最后敌人
46	22613 44123	5	   	274.87	橙3易伤2等级2伤害	1a伤害258易伤3全技能45等级5序列升级6核7立即金币9攻速
47	22613 46222	5	   	274.87	橙3易伤3等级2伤害	17伤害257易伤3全技能457等级57序列升级6核8挖尘9攻速a低血量敌人
48	22613 46223	5	   	274.87	橙3易伤3等级2伤害	17伤害257易伤3全技能457等级57序列升级6核8挖尘9攻速a平台
49	43612 23532	4	   	274.39	橙2易伤2伤害2时间1等级1暴击	1攻速2金币生成3a伤害4a时间5等级6a易伤7核8暴击9雷电a序列升级
50	43632 23532	3	   	274.39	橙2易伤2伤害2时间1等级1暴击	1攻速2金币生成3a伤害4a时间5等级6a易伤7核8暴击9雷电a序列升级
51	22611 26321	6	   	274.37	橙2易伤2等级2伤害2攻速1时间	17伤害27易伤3全技能48等级5金币生成67攻速7序列升级9核a时间
52	31212 26263	8	   	273.15	橙3易伤2等级2伤害1时间	1掉矿28伤害3时间4矿等58等级6金币生成789易伤8序列升级a核
53	61212 36263	8	   	273.15	橙3易伤2等级2伤害1时间	1金币生成28伤害3时间4矿等58等级6掉矿789易伤8序列升级a核
54	22322 23235	10	   	273.13	橙3易伤3伤害2时间2雷电	18a伤害289易伤37时间4敌人爆炸58雷电6核8序列升级
55	22322 23236	9	   	273.13	橙3易伤3伤害2时间2雷电	18a伤害289易伤37时间4敌人爆炸58雷电6核8序列升级
56	22332 23236	9	   	273.13	橙3易伤3伤害2时间2雷电	18a伤害289易伤37时间4基地爆炸58雷电6核8序列升级
57	22332 24626	6	   	273.13	橙3易伤3伤害2时间2雷电	18a伤害278易伤39时间4基地爆炸58雷电6核8序列升级
58	22262 23235	10	   	273.13	橙3易伤3伤害2时间2雷电	18a伤害289易伤3敌人爆炸47时间58雷电6核8序列升级
59	22262 23236	9	   	273.13	橙3易伤3伤害2时间2雷电	18a伤害289易伤3敌人爆炸47时间58雷电6核8序列升级
60	22253 24261	10	   	272.66	橙3易伤3伤害2等级	189伤害279易伤3敌人爆炸4矿等5额外掉落69等级9序列升级a核
61	22423 24261	10	   	272.66	橙3易伤3伤害2等级	189伤害279易伤3矿等4敌人爆炸5额外掉落69等级9序列升级a核
62	22113 44135	2	   	272.46	橙3易伤3伤害2等级	19a伤害289易伤3敌人爆炸4加一5掉矿69等级7核9序列升级
