0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63331 64322	8	 * 	290.36	橙3易伤3时间2伤害1等级	135时间236易伤36序列升级46伤害7敌人爆炸8核9雷电a等级
2	63336 21115	5	 * 	285.84	橙4易伤2时间1等级1伤害1暴击	13时间2367易伤3序列升级4伤害5等级8暴击9基地爆炸a核
3	63336 21125	5	   	285.84	橙4易伤2时间1等级1伤害1暴击	13时间2367易伤3序列升级4伤害5等级8暴击9低血量敌人a核
4	63336 21132	5	   	285.74	橙4易伤2时间1等级1伤害1暴击	13时间2367易伤3序列升级4伤害5等级8暴击9掉矿a核
5	63336 21222	5	   	285.74	橙4易伤2时间1等级1伤害1暴击	13时间2367易伤3序列升级4伤害5等级8掉矿9暴击a核
6	63331 64333	10	 * 	285.20	橙4易伤3时间2伤害	135时间236a易伤36序列升级46伤害7敌人爆炸8核9攻速
7	63361 22343	3	 * 	284.46	橙4易伤2等级3时间	139时间2349易伤39序列升级59等级6赏金邻近7额外掉落8平台a核
8	63326 21352	5	   	284.36	橙4易伤2等级3时间	138时间2367易伤3序列升级4金币生成59等级a核
9	63323 23165	8	 * 	283.58	橙3易伤2等级3时间1伤害	138时间238易伤38序列升级4金币生成5基地爆炸6平台78等级9伤害a核
10	63331 64323	8	 * 	279.81	橙3易伤3伤害3时间	135时间236易伤36序列升级46a伤害7敌人爆炸8核9雷电
11	63331 64332	10	   	277.80	橙3易伤3时间2伤害1暴击	135时间236易伤36序列升级46伤害7敌人爆炸8核9攻速a暴击
12	63331 33436	7	 * 	277.55	橙5易伤3时间1伤害	135时间2379a易伤3序列升级4伤害6基地爆炸8核
13	63331 13436	7	   	277.45	橙5易伤3时间1伤害	135时间2379a易伤3序列升级4伤害6挖尘8核
14	63335 21214	6	   	277.03	橙3易伤2伤害2时间1等级	13时间237易伤3序列升级48伤害5攻速6敌人爆炸9核a等级
15	63335 23214	5	   	277.03	橙3易伤2伤害2时间1等级	13时间236易伤3序列升级48伤害5攻速7基地爆炸9核a等级
16	63335 31214	5	   	276.93	橙3易伤2伤害2时间1等级	13时间237易伤3序列升级48伤害5攻速6挖尘9核a等级
17	63331 61432	6	   	276.90	橙4易伤3时间2伤害	135时间2369易伤36序列升级46伤害7最后敌人8核a敌人爆炸
18	63331 61631	10	   	276.90	橙4易伤3时间2伤害	135时间236a易伤36序列升级46伤害79矿等8核
19	63331 62432	7	   	276.90	橙4易伤3时间2伤害	135时间2369易伤36序列升级46伤害7基地爆炸8核a额外掉落
20	63331 62433	7	   	276.90	橙4易伤3时间2伤害	135时间2369易伤36序列升级46伤害7a基地爆炸8核
21	63331 64322	9	   	276.90	橙4易伤3时间2伤害	135时间236a易伤36序列升级46伤害7敌人爆炸8核9平台
22	63331 64332	8	   	276.90	橙4易伤3时间2伤害	135时间2369易伤36序列升级46伤害7敌人爆炸8核a额外掉落
23	63331 64333	8	   	276.90	橙4易伤3时间2伤害	135时间2369易伤36序列升级46伤害7敌人爆炸8核a基地爆炸
24	63332 14432	6	   	276.90	橙4易伤3时间2伤害	137时间2379易伤37序列升级47伤害5立即金币6挖青8核a敌人爆炸
25	63331 33416	7	   	276.80	橙4易伤3时间2伤害	135时间237a易伤3序列升级49伤害6基地爆炸8核
26	63331 33436	6	   	276.80	橙4易伤3时间2伤害	135时间239a易伤3序列升级47伤害6基地爆炸8核
27	63331 61431	6	   	276.80	橙4易伤3时间2伤害	135时间2369易伤36序列升级46伤害7最后敌人8核a掉矿
28	63331 61433	6	   	276.80	橙4易伤3时间2伤害	135时间2369易伤36序列升级46伤害7最后敌人8核a挖尘
29	63331 62431	7	   	276.80	橙4易伤3时间2伤害	135时间2369易伤36序列升级46伤害7基地爆炸8核a掉矿
30	63331 63432	7	   	276.80	橙4易伤3时间2伤害	135时间2369易伤36序列升级46伤害7挖尘8核a额外掉落
31	63331 63433	7	   	276.80	橙4易伤3时间2伤害	135时间2369易伤36序列升级46伤害7挖尘8核a基地爆炸
32	63331 64331	8	   	276.80	橙4易伤3时间2伤害	135时间2369易伤36序列升级46伤害7敌人爆炸8核a掉矿
33	63332 14431	6	   	276.80	橙4易伤3时间2伤害	137时间2379易伤37序列升级47伤害5立即金币6挖青8核a掉矿
34	63332 14433	6	   	276.80	橙4易伤3时间2伤害	137时间2379易伤37序列升级47伤害5立即金币6挖青8核a挖尘
35	63331 13416	7	   	276.70	橙4易伤3时间2伤害	135时间237a易伤3序列升级49伤害6挖尘8核
36	63331 13436	6	   	276.70	橙4易伤3时间2伤害	135时间239a易伤3序列升级47伤害6挖尘8核
37	63331 63431	7	   	276.70	橙4易伤3时间2伤害	135时间2369易伤36序列升级46伤害7挖尘8核a掉矿
38	63333 23436	4	   	276.70	橙4易伤3时间2伤害	136时间239a易伤36序列升级47伤害56挖尘8核
39	63326 21522	5	   	274.08	橙4易伤2时间1等级1暴击	13时间2367易伤3序列升级4金币生成5等级8攻速9暴击a核
40	63351 15331	4	   	274.08	橙4易伤2时间1等级1暴击	13时间2369易伤3序列升级4立即金币5等级7暴击8雷电a核
41	63352 15331	5	   	274.08	橙4易伤2时间1等级1暴击	13时间2369易伤3序列升级4立即金币5等级7暴击8雷电a核
42	63352 25331	6	   	274.08	橙4易伤2时间1等级1暴击	13时间2369易伤3序列升级4立即金币5等级7暴击8雷电a核
43	63336 62311	9	   	274.02	橙3易伤3时间1等级1伤害1全技能	137时间239易伤3序列升级4伤害5等级6全技能8低血量敌人a核
44	63316 21522	5	   	273.98	橙4易伤2时间1等级1暴击	13时间2367易伤3序列升级4掉矿5等级8攻速9暴击a核
45	63333 52623	9	   	273.09	橙3易伤2时间1等级1伤害1暴击	13时间236易伤3序列升级4伤害5金币生成7雷电8核9等级a暴击
46	63333 52633	8	   	273.09	橙3易伤2时间1等级1伤害1暴击	13时间236易伤3序列升级4伤害5金币生成7雷电8核9等级a暴击
47	63333 52621	9	   	272.67	橙3易伤3时间1等级1伤害	13a时间236易伤3序列升级4伤害5金币生成7雷电8核9等级
48	63333 52631	8	   	272.67	橙3易伤3时间1等级1伤害	13a时间236易伤3序列升级4伤害5金币生成7雷电8核9等级
49	63331 14523	4	   	272.19	橙4易伤2时间1等级1伤害	13时间2367易伤3序列升级4伤害5双倍矿8策反9核a等级
50	63332 14523	5	   	272.19	橙4易伤2时间1等级1伤害	13时间2367易伤3序列升级4伤害5立即金币8策反9核a等级
51	63333 51323	8	   	272.19	橙4易伤2时间1等级1伤害	13时间2367易伤3序列升级4伤害58金币生成9核a等级
52	63332 21145	9	   	272.10	橙3易伤3时间2伤害2攻速	139时间239易伤39序列升级48伤害5立即金币6敌人爆炸79攻速a核
53	61136 21325	5	   	272.09	橙4易伤2时间1等级1伤害	18时间2立即金币367a易伤4伤害5等级9核
54	63336 21412	4	   	272.09	橙4易伤2时间1等级1伤害	13时间2359易伤3序列升级4伤害6赏金邻近7立即金币8核a等级
55	63331 14223	4	   	272.09	橙4易伤2时间1等级1伤害	13时间2367易伤3序列升级4伤害5双倍矿8掉矿9核a等级
56	63332 14223	5	   	272.09	橙4易伤2时间1等级1伤害	13时间2367易伤3序列升级4伤害5立即金币8掉矿9核a等级
57	63332 51323	6	   	272.09	橙4易伤2时间1等级1伤害	13时间2378易伤3序列升级4伤害5立即金币6掉矿9核a等级
58	63332 51323	7	   	272.09	橙4易伤2时间1等级1伤害	13时间2378易伤3序列升级4伤害5立即金币6掉矿9核a等级
