0	Index      	 *	Score 	Summary	Detail	Bounty	
1	23431 34224	 * 	302.81	橙5易伤2等级3时间	1479a易伤267时间37等级5双倍矿7序列升级8核	6
2	23323 46531	 * 	300.96	橙4易伤3伤害3时间	1578易伤278时间3矿等4雷电678伤害78序列升级9挖尘a核	2
3	23323 46531	   	300.96	橙4易伤3伤害3时间	1578易伤278时间3金币生成4雷电678伤害78序列升级9挖尘a核	3
4	23431 34221	   	294.13	橙4易伤2等级3时间	1479易伤267时间37等级5双倍矿7序列升级8核a全技能	6
5	24323 51325	 * 	293.71	橙4易伤3伤害2等级	1389易伤26双倍矿39序列升级49等级579伤害a核	10
6	23232 14414	   	292.77	橙4易伤2等级3时间	1457易伤278时间3双倍矿67等级7序列升级9攻速a核	2
7	23431 34225	   	292.77	橙4易伤2等级3时间	1479易伤267时间37等级5双倍矿7序列升级8核a攻速	6
8	23431 34253	   	292.77	橙4易伤2等级3时间	147a易伤267时间37等级5双倍矿7序列升级8核9雷电	6
9	23413 42521	   	291.30	橙4易伤2等级2时间1伤害	1569易伤28时间39等级49金币生成7核9序列升级a伤害	10
10	24323 14262	   	287.72	橙4易伤2等级2伤害	1379易伤2双倍矿37序列升级47等级57伤害6全技能8敌人爆炸a核	6
11	24323 14362	   	287.72	橙4易伤2等级2伤害	1379易伤2双倍矿37序列升级47等级57伤害6全技能8最后敌人a核	6
12	23431 22262	   	286.18	橙4易伤2等级1伤害1时间	1489易伤2时间35等级6全技能7伤害a核	4
13	23431 34223	   	284.46	橙4易伤2等级3时间	1479易伤267时间37等级5双倍矿7序列升级8核a最后敌人	6
14	23431 34226	   	284.46	橙4易伤2等级3时间	1479易伤267时间37等级5双倍矿7序列升级8核a金币生成	6
15	36332 14224	   	284.46	橙4易伤2等级3时间	137时间24立即金币579a易伤67等级7序列升级8核	2
16	23431 34222	   	284.36	橙4易伤2等级3时间	1479易伤267时间37等级5双倍矿7序列升级8核a加一	6
17	23431 34233	   	283.48	橙3易伤2等级3时间1伤害	147易伤267时间37等级5双倍矿7序列升级8核9基地爆炸a伤害	6
18	23431 34243	   	283.48	橙3易伤2等级3时间1伤害	147易伤267时间37等级5双倍矿7序列升级8核9最后敌人a伤害	6
19	21332 14255	   	283.10	橙5易伤2等级1时间	13457易伤2挖青67等级7序列升级8核9雷电a时间	2
20	23121 52651	 * 	282.06	橙4易伤3时间3暴击	1678易伤278时间3攻速4低血量敌人578暴击78序列升级9雷电a核	5
21	23121 62651	   	282.06	橙4易伤3时间3暴击	1678易伤278时间3攻速4低血量敌人578暴击78序列升级9雷电a核	6
22	23133 62651	   	282.06	橙4易伤3时间3暴击	1478易伤278时间3攻速5敌人爆炸678暴击78序列升级9雷电a核	5
23	21123 52651	   	281.96	橙4易伤3时间3暴击	1678易伤2挖青3攻速478暴击578时间78序列升级9雷电a核	3
24	23132 62651	   	281.96	橙4易伤3时间3暴击	1478易伤278时间3攻速5挖尘678暴击78序列升级9雷电a核	5
25	24323 14412	   	281.52	橙3易伤2等级2伤害2雷电	13a易伤2双倍矿3a序列升级46等级5a伤害7核8a雷电9全技能	5
