0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53321 51241	10	 * 	294.13	橙4易伤2等级3时间1全技能	137时间2敌人爆炸478a易伤57等级6全技能7序列升级9核
2	11245 17314	5	 * 	292.65	橙4易伤3伤害3时间	1额外掉落278a易伤37a伤害47a时间5平台6加一7a序列升级9核
3	11542 13541	7	   	292.65	橙4易伤3伤害3时间	1额外掉落2789易伤379时间4加一579伤害6核79序列升级a随机矿
4	11542 13544	7	   	292.65	橙4易伤3伤害3时间	1额外掉落2789易伤379时间4加一579伤害6核79序列升级a低血量敌人
5	11542 13542	7	   	292.55	橙4易伤3伤害3时间	1额外掉落2789易伤379时间4加一579伤害6核79序列升级a赏金邻近
6	52126 13253	7	   	285.37	橙3易伤2等级3时间1暴击	19a时间2暴击39等级4金币生成5雷电6核789易伤9序列升级
7	11251 26314	2	 * 	284.27	橙5易伤3伤害2全技能	1额外掉落2348a易伤58a伤害6核79全技能8a序列升级
8	53321 51242	9	   	281.38	橙3易伤2等级3时间1全技能	137时间2敌人爆炸478易伤57等级6全技能7序列升级9核a攻速
9	11542 13844	8	 * 	278.24	橙3易伤3伤害2时间2暴击	1额外掉落27a易伤37时间4加一57a伤害6核7a序列升级8挖青9a暴击
10	52116 11531	9	 * 	277.08	橙2易伤2等级2时间1伤害1暴击1核弹1全技能	1a时间2暴击3a等级4核弹5雷电6核7全技能8伤害9a易伤a序列升级
11	11542 13148	7	   	276.80	橙4易伤3时间2伤害	1额外掉落279a易伤378时间4加一57伤害6核7序列升级
12	11542 13244	8	 * 	275.91	橙3易伤3时间2伤害2暴击	1额外掉落27a易伤37a时间4加一57伤害6核7a序列升级8最后敌人9a暴击
13	11542 13544	8	   	275.91	橙3易伤3时间2伤害2暴击	1额外掉落27a易伤37a时间4加一57伤害6核7a序列升级8基地爆炸9a暴击
14	11542 13644	7	   	275.91	橙3易伤3时间2伤害2暴击	1额外掉落27a易伤37a时间4加一57伤害6核7a序列升级8敌人爆炸9a暴击
15	11542 13444	7	   	275.81	橙3易伤3时间2伤害2暴击	1额外掉落27a易伤37a时间4加一57伤害6核7a序列升级8挖尘9a暴击
16	11542 13644	8	   	275.81	橙3易伤3时间2伤害2暴击	1额外掉落27a易伤37a时间4加一57伤害6核7a序列升级8挖尘9a暴击
17	11542 13644	9	   	275.81	橙3易伤3时间2伤害2暴击	1额外掉落27a易伤37a时间4加一57伤害6核7a序列升级8挖尘9a暴击
18	53321 51241	9	   	273.07	橙3易伤2等级3时间1全技能	137时间2敌人爆炸478易伤57等级6全技能7序列升级9核a平台
19	53321 51242	10	   	273.07	橙3易伤2等级3时间1全技能	137时间2敌人爆炸478易伤57等级6全技能7序列升级9核a额外掉落
20	53321 51243	10	   	273.07	橙3易伤2等级3时间1全技能	137时间2敌人爆炸478易伤57等级6全技能7序列升级9核a平台
21	53321 51243	9	   	273.07	橙3易伤2等级3时间1全技能	137时间2敌人爆炸478易伤57等级6全技能7序列升级9核a随机矿
22	53321 51123	7	   	273.07	橙3易伤2等级3时间1全技能	137时间2敌人爆炸47a易伤57等级6全技能7序列升级8最后敌人9核
23	53321 51341	10	   	273.07	橙3易伤2等级3时间1全技能	137时间2敌人爆炸47a易伤57等级6全技能7序列升级8双倍矿9核
24	52126 13252	7	   	272.14	橙3易伤2等级2时间1暴击	19时间2暴击39等级4a金币生成5雷电6核789易伤9序列升级
25	52136 13152	7	   	272.14	橙3易伤2等级2时间1暴击	19时间2暴击39等级4矿等5雷电6核789易伤9序列升级a金币生成
26	52136 13153	7	   	272.14	橙3易伤2等级2时间1暴击	19时间2暴击39等级4矿等5雷电6核789易伤9序列升级a立即金币
