0	Index      	 *	Score 	Summary	Detail	
1	25414 22222	 * 	247.73	橙2散射对甲2易伤2伤害2攻速1时间	18攻速2立即金币3时间48伤害58散射对甲6核7加一8序列升级9a易伤
2	21226 26433	 * 	244.98	橙3易伤1散射对甲2伤害2攻速	1a攻速2金币生成3a伤害4敌人爆炸5散射对甲6核79a易伤8平台a序列升级
3	25314 22222	   	236.63	橙2散射对甲2易伤2伤害2攻速	18攻速2立即金币3挖尘48伤害58散射对甲6核7加一8序列升级9a易伤
4	25414 22224	 * 	235.80	橙2散射对甲2伤害2攻速1易伤2时间	18攻速2立即金币3a时间48伤害58散射对甲6核7加一8序列升级9易伤
5	25414 23222	 * 	229.44	橙1散射对甲2易伤2攻速2时间1伤害	18攻速2立即金币38时间4伤害5散射对甲6核78敌人爆炸8序列升级9a易伤
6	25414 22212	   	225.60	橙2散射对甲2伤害2攻速1易伤1时间	18攻速2立即金币3时间48伤害58散射对甲6核7加一8序列升级9最后敌人a易伤
7	25414 22223	   	225.60	橙2散射对甲2伤害2攻速1易伤1时间	18攻速2立即金币3时间48伤害58散射对甲6核7加一8序列升级9易伤a随机矿
8	25314 22224	   	225.50	橙2散射对甲2伤害2攻速1易伤1时间	18攻速2立即金币3挖尘48伤害58散射对甲6核7加一8序列升级9易伤a时间
9	25314 24221	   	225.50	橙2散射对甲2伤害2攻速1易伤1时间	18攻速2立即金币37挖尘48伤害58散射对甲6核8序列升级9时间a易伤
10	25314 24233	   	225.50	橙2散射对甲2伤害2攻速1易伤1时间	18攻速2立即金币37挖尘48伤害58散射对甲6核8序列升级9易伤a时间
11	25414 22244	 * 	225.26	橙2散射对甲3伤害2攻速2时间	18攻速2立即金币3a时间489伤害58散射对甲6核7加一8序列升级
12	21226 26633	   	224.88	橙1散射对甲2易伤2伤害1攻速1暴击	1攻速2金币生成3a伤害4a敌人爆炸5散射对甲6核7a易伤8暴击9基地爆炸a序列升级
13	11123 42223	 * 	222.88	橙1散射对甲3伤害2易伤1攻速	167伤害237金币生成4立即金币57易伤7序列升级8核9攻速a散射对甲
14	15623 42223	   	222.88	橙1散射对甲3伤害2易伤1攻速	167伤害24立即金币37金币生成57易伤7序列升级8核9攻速a散射对甲
15	14131 41613	 * 	218.47	橙2易伤2伤害1双倍秒伤1全技能2暴击1时间	1a伤害2基地爆炸3a暴击4最后敌人5全技能6时间7核8双倍秒伤9a易伤a序列升级
16	16111 41613	   	218.47	橙2易伤2伤害1双倍秒伤1全技能2暴击1时间	1a伤害2低血量敌人3a暴击4基地爆炸5全技能6时间7核8双倍秒伤9a易伤a序列升级
17	16121 51613	   	218.37	橙2易伤1双倍秒伤2伤害1全技能2暴击1时间	1a伤害2低血量敌人3a暴击4时间5全技能6挖尘7核8双倍秒伤9a易伤a序列升级
