0	Index      	 *	Score 	Summary	Detail	
1	31415 23125	 * 	216.76	橙2易伤1双倍秒伤1全技能1攻速1伤害1策反	1全技能2等级3策反4伤害5攻速6核79易伤8最后敌人a双倍秒伤
2	31415 23225	   	216.76	橙2易伤1双倍秒伤1全技能1攻速1伤害1策反	1全技能2等级3策反4伤害5攻速6核79易伤8敌人爆炸a双倍秒伤
3	31415 23325	   	216.76	橙2易伤1双倍秒伤1全技能1攻速1伤害1策反	1全技能2等级3策反4伤害5攻速6核79易伤8低血量敌人a双倍秒伤
4	31415 23126	 * 	215.62	橙2易伤2伤害1全技能1攻速1策反	1全技能2a等级3策反4a伤害5攻速6核79易伤8a最后敌人a序列升级
5	31415 23226	   	215.62	橙2易伤2伤害1全技能1攻速1策反	1全技能2a等级3策反4a伤害5攻速6核79易伤8a敌人爆炸a序列升级
6	31415 23326	   	215.62	橙2易伤2伤害1全技能1攻速1策反	1全技能2a等级3策反4a伤害5攻速6核79易伤8a低血量敌人a序列升级
7	32143 31631	 * 	211.70	橙3易伤2全技能1攻速1暴击	18全技能25a易伤3低血量敌人4攻速6挖尘7暴击9核
8	32143 44131	   	211.70	橙3易伤2全技能1攻速1暴击	16全技能25a易伤3低血量敌人4攻速7暴击8挖尘9核
9	32243 31631	   	211.70	橙3易伤2全技能1攻速1暴击	18全技能25a易伤3最后敌人4攻速6挖尘7暴击9核
10	32243 44131	   	211.70	橙3易伤2全技能1攻速1暴击	16全技能25a易伤3最后敌人4攻速7暴击8挖尘9核
11	32143 64131	 * 	211.47	橙4易伤1全技能1攻速1暴击	1全技能256a易伤3低血量敌人4攻速7暴击8挖尘9核
12	32243 64131	   	211.47	橙4易伤1全技能1攻速1暴击	1全技能256a易伤3最后敌人4攻速7暴击8挖尘9核
13	32223 43642	 * 	206.56	橙2易伤1双倍秒伤2伤害1全技能1时间	1全技能28易伤38最后敌人4金币生成5时间68伤害7电球减费8序列升级9核a双倍秒伤
14	12352 62523	 * 	206.04	橙2易伤1全技能1攻速1伤害1暴击1策反1卖塔	1立即金币2攻速3策反4伤害5卖塔67易伤8全技能9暴击a核
15	32233 31534	 * 	205.96	橙2易伤1全技能2暴击1攻速1策反1时间	1全技能25易伤3最后敌人47暴击6策反8核9攻速a时间
16	32233 31543	   	205.96	橙2易伤1全技能2暴击1攻速1策反1时间	1全技能25易伤3最后敌人47暴击6策反8核9时间a攻速
17	21352 16513	 * 	205.94	橙3易伤1全技能1攻速1伤害1时间	13散射对喷气236易伤3序列升级4时间5伤害7平台8攻速9全技能a核
18	35415 23132	   	204.79	橙1双倍秒伤1易伤1全技能1攻速1伤害1策反1时间	1全技能2矿等3策反4伤害5攻速6核7易伤8最后敌人9时间a双倍秒伤
19	35415 23232	   	204.79	橙1双倍秒伤1易伤1全技能1攻速1伤害1策反1时间	1全技能2矿等3策反4伤害5攻速6核7易伤8敌人爆炸9时间a双倍秒伤
20	31415 23132	   	204.69	橙1双倍秒伤1易伤1全技能1攻速1伤害1策反1时间	1全技能2等级3策反4伤害5攻速6核7易伤8最后敌人9时间a双倍秒伤
21	31415 23232	   	204.69	橙1双倍秒伤1易伤1全技能1攻速1伤害1策反1时间	1全技能2等级3策反4伤害5攻速6核7易伤8敌人爆炸9时间a双倍秒伤
22	32521 55112	 * 	204.49	紫3易伤3伤害2全技能	19全技能28a易伤38a挖尘4金币生成5核6电塔对甲78a伤害8a序列升级
23	32133 33663	   	204.30	橙2易伤2全技能1攻速1暴击1策反	18全技能25易伤3低血量敌人4暴击6策反7敌人爆炸9核a攻速
24	32233 33663	   	204.30	橙2易伤2全技能1攻速1暴击1策反	18全技能25易伤3最后敌人4暴击6策反7敌人爆炸9核a攻速
25	32233 34263	   	204.30	橙2易伤2全技能1攻速1暴击1策反	18全技能25易伤3最后敌人4暴击6策反7低血量敌人9核a攻速
26	32643 31631	   	203.93	橙3易伤1全技能1攻速1暴击1时间	1全技能25a易伤3时间4攻速6挖尘7暴击8双倍矿9核
27	31415 61113	 * 	203.75	橙2全技能2攻速1易伤1伤害1策反	19全技能2等级3策反4伤害57攻速6导弹对黄8核a易伤
28	32233 31541	 * 	203.73	橙3易伤1全技能2暴击1策反1时间	1全技能25a易伤3最后敌人47暴击6策反8核9时间
29	32133 33661	   	202.07	橙3易伤2全技能1暴击1策反	18全技能25a易伤3低血量敌人4暴击6策反7敌人爆炸9核
30	32233 33661	   	202.07	橙3易伤2全技能1暴击1策反	18全技能25a易伤3最后敌人4暴击6策反7敌人爆炸9核
31	32233 34261	   	202.07	橙3易伤2全技能1暴击1策反	18全技能25a易伤3最后敌人4暴击6策反7低血量敌人9核
32	32131 56631	   	201.97	橙3易伤2全技能1暴击1策反	18全技能27a易伤3低血量敌人4暴击5挖尘6策反9核
33	32233 36631	   	201.97	橙3易伤2全技能1暴击1策反	18全技能25a易伤3最后敌人4暴击6策反7挖尘9核
34	32633 25414	   	201.69	橙3易伤2全技能1暴击1时间1卖塔	1a全技能259易伤3时间4暴击6卖塔7加一8核
35	32633 31131	   	201.63	橙3易伤1全技能2暴击1策反1时间	1全技能25a易伤3时间47暴击6策反8挖尘9核
36	32233 31532	   	200.87	橙2易伤1全技能2暴击1攻速2策反	1全技能25易伤3最后敌人47暴击6a策反8核9攻速
37	32326 32652	 * 	200.77	紫3易伤3攻速1全技能1暴击	1全技能278易伤367毒液对黄4核579攻速7序列升级a暴击
38	33642 13313	   	200.35	橙2易伤2全技能1攻速1策反1时间	18全技能2基地爆炸3时间4攻速5额外掉落6a易伤7核9策反
39	31415 23134	   	200.08	橙2攻速1易伤1全技能1伤害1策反1时间	1全技能2等级3策反4伤害5a攻速6核7易伤8最后敌人9时间
40	31415 23234	   	200.08	橙2攻速1易伤1全技能1伤害1策反1时间	1全技能2等级3策反4伤害5a攻速6核7易伤8敌人爆炸9时间
41	31415 23334	   	200.08	橙2攻速1易伤1全技能1伤害1策反1时间	1全技能2等级3策反4伤害5a攻速6核7易伤8低血量敌人9时间
42	32542 13513	   	200.01	橙3易伤1全技能1攻速1策反1时间	1全技能26a易伤3挖尘4攻速5额外掉落7时间8核9策反
43	32432 31663	   	198.87	橙2易伤1全技能2暴击1攻速2策反	1全技能28易伤3等级48策反5基地爆炸6掉矿78暴击8序列升级9核a攻速
44	33633 51421	   	198.53	橙2易伤1全技能1攻速1暴击1策反1时间	1全技能2基地爆炸3时间4暴击59易伤6策反7最后敌人8核a攻速
45	31415 26123	 * 	198.51	橙3攻速2伤害1全技能1策反	1全技能2等级3策反49伤害57a攻速6核8额外掉落
46	32631 51421	   	198.43	橙2易伤1全技能1攻速1暴击1策反1时间	1全技能29易伤3时间4暴击5挖尘6策反7最后敌人8核a攻速
47	33633 53421	   	198.43	橙2易伤1全技能1攻速1暴击1策反1时间	1全技能2基地爆炸3时间4暴击59易伤6策反7挖尘8核a攻速
48	35415 23121	   	198.04	橙2易伤1全技能1攻速1伤害1策反	1全技能2矿等3策反4伤害5攻速6核79易伤8最后敌人a随机矿
49	35415 23122	   	198.04	橙2易伤1全技能1攻速1伤害1策反	1全技能2矿等3策反4伤害5攻速6核79易伤8最后敌人a敌人爆炸
50	35415 23221	   	198.04	橙2易伤1全技能1攻速1伤害1策反	1全技能2矿等3策反4伤害5攻速6核79易伤8敌人爆炸a随机矿
51	35415 23222	   	198.04	橙2易伤1全技能1攻速1伤害1策反	1全技能2矿等3策反4伤害5攻速6核79易伤8敌人爆炸a额外掉落
52	35415 23223	   	198.04	橙2易伤1全技能1攻速1伤害1策反	1全技能2矿等3策反4伤害5攻速6核79易伤8敌人爆炸a最后敌人
53	35415 23321	   	198.04	橙2易伤1全技能1攻速1伤害1策反	1全技能2矿等3策反4伤害5攻速6核79易伤8低血量敌人a随机矿
54	35415 23322	   	198.04	橙2易伤1全技能1攻速1伤害1策反	1全技能2矿等3策反4伤害5攻速6核79易伤8低血量敌人a敌人爆炸
55	31415 23116	   	197.94	橙2易伤1全技能1攻速1伤害1策反	1全技能2等级3策反4伤害5攻速6核7a易伤8最后敌人9金币生成
56	31415 23121	   	197.94	橙2易伤1全技能1攻速1伤害1策反	1全技能2等级3策反4伤害5攻速6核79易伤8最后敌人a随机矿
57	31415 23122	   	197.94	橙2易伤1全技能1攻速1伤害1策反	1全技能2等级3策反4伤害5攻速6核79易伤8最后敌人a敌人爆炸
58	31415 23216	   	197.94	橙2易伤1全技能1攻速1伤害1策反	1全技能2等级3策反4伤害5攻速6核7a易伤8敌人爆炸9金币生成
59	31415 23221	   	197.94	橙2易伤1全技能1攻速1伤害1策反	1全技能2等级3策反4伤害5攻速6核79易伤8敌人爆炸a随机矿
60	31415 23222	   	197.94	橙2易伤1全技能1攻速1伤害1策反	1全技能2等级3策反4伤害5攻速6核79易伤8敌人爆炸a额外掉落
61	31415 23223	   	197.94	橙2易伤1全技能1攻速1伤害1策反	1全技能2等级3策反4伤害5攻速6核79易伤8敌人爆炸a最后敌人
62	31415 23316	   	197.94	橙2易伤1全技能1攻速1伤害1策反	1全技能2等级3策反4伤害5攻速6核7a易伤8低血量敌人9金币生成
63	31415 23321	   	197.94	橙2易伤1全技能1攻速1伤害1策反	1全技能2等级3策反4伤害5攻速6核79易伤8低血量敌人a随机矿
64	31415 23322	   	197.94	橙2易伤1全技能1攻速1伤害1策反	1全技能2等级3策反4伤害5攻速6核79易伤8低血量敌人a敌人爆炸
65	31415 23511	   	197.94	橙2易伤1全技能1攻速1伤害1策反	1全技能2等级3策反4伤害5攻速6核79易伤8金币生成a敌人爆炸
66	31415 23512	   	197.94	橙2易伤1全技能1攻速1伤害1策反	1全技能2等级3策反4伤害5攻速6核79易伤8金币生成a雷电
67	31415 23513	   	197.94	橙2易伤1全技能1攻速1伤害1策反	1全技能2等级3策反4伤害5攻速6核79易伤8金币生成a随机矿
68	35415 23123	   	197.94	橙2易伤1全技能1伤害1攻速1策反	1全技能2矿等3策反4伤害5攻速6核79易伤8最后敌人a掉矿
69	35415 23323	   	197.94	橙2易伤1全技能1攻速1伤害1策反	1全技能2矿等3策反4伤害5攻速6核79易伤8低血量敌人a掉矿
70	31415 23123	   	197.84	橙2易伤1全技能1伤害1攻速1策反	1全技能2等级3策反4伤害5攻速6核79易伤8最后敌人a掉矿
71	31415 23124	   	197.84	橙2易伤1全技能1攻速1伤害1策反	1全技能2等级3策反4伤害5攻速6核79易伤8最后敌人a挖尘
