0	Index      	 *	Score 	Summary	Detail	
1	22132 45621	 * 	308.47	DCR|3MLV|2TLV|2LIT|2DMG|2DUR	1NUKE|279MLV|39DMG|4RMIN|57DUR|67LIT|79BPWR|89TLV|aRCR
2	32113 51623	 * 	296.16	DCR|2TLV|3DMG|2MLV|1LIT|1CDMG	139DMG|29MLV|4LIT|5AAC|6RPLT|7CDMG|89TLV|9BPWR|aRCR
3	32114 41623	   	296.16	DCR|2TLV|3DMG|2MLV|1LIT|1CDMG	139DMG|29MLV|4LIT|5RPLT|6AAC|7CDMG|89TLV|9BPWR|aRCR
4	22142 11623	   	296.06	DCR|2TLV|3DMG|2MLV|1LIT|1CDMG	1NUKE|29MLV|369DMG|4LIT|5RPLT|7CDMG|89TLV|9BPWR|aRCR
5	22133 45621	   	291.03	DCR|3MLV|2TLV|2LIT|2DMG	1NUKE|279MLV|39DMG|4RMIN|57FEWX|67LIT|79BPWR|89TLV|aRCR
6	22131 45621	   	290.83	DCR|3MLV|2TLV|2LIT|2DMG	1NUKE|279MLV|39DMG|4RMIN|57DUST|67LIT|79BPWR|89TLV|aRCR
7	32212 55143	   	290.73	DCR|3MLV|2TLV|2LIT|2DMG	13DMG|236MLV|3BPWR|48LIT|5FLTARM|7aTLV|9RCR
8	53223 33132	 * 	287.81	ACR|DCR|2TLV|1LIT|1VULN|1RPLT	1RPLT|2MDPS|3aRCR|48TLV|5DUR|6TBNT|7LIT|9VULN
9	31652 11623	 * 	284.81	DCR|2TLV|3DMG|2LIT|1ASPD|1CDMG	169DMG|2ERES|39LIT|4ASPD|5RPLT|7CDMG|89TLV|9BPWR|aRCR
10	53232 33512	 * 	282.27	ACR|DCR|2VULN|2LIT|2MLV|1RPLT	1RPLT|2MDPS|3aRCR|4BBNT|58LIT|68VULN|78MLV|8BPWR|9LHND
11	53234 13512	   	282.27	ACR|DCR|2VULN|2LIT|2MLV|1RPLT	1RPLT|2MDPS|3aRCR|4BBNT|58VULN|68LIT|78MLV|8BPWR|9LHND
12	53232 33552	   	282.17	ACR|DCR|2VULN|2LIT|2MLV|1RPLT	1RPLT|2MDPS|3aRCR|4BBNT|58LIT|68VULN|78MLV|8BPWR|9DUST
13	34422 11623	   	281.16	DCR|2TLV|3DMG|2LIT|1RPLT|1CDMG	169DMG|2RPLT|39LIT|4AAC|5ERES|7CDMG|89TLV|9BPWR|aRCR
