0	Index      	 *	Score 	Summary	Detail	
1	21636 23142	 * 	300.61	DCR|DCR|2LIT|1TLV|1VULN|1SELL	1VULN|2LWND|3SELL|4DUR|56LIT|79RCR|8ZMB|aTLV
2	24661 33313	 * 	298.81	DCR|DCR|2VULN|1TLV|1DMG|1CDMG	15VULN|2BEXP|3LHND|45ZMB|5BPWR|6DMG|78RCR|9TLV|aCDMG
3	23343 63315	 * 	296.99	DCR|DCR|2VULN|1TLV|1LIT	16VULN|2ZMB|3AAC|4LEGI|5LHND|78RCR|9TLV|aLIT
4	13143 33315	 * 	290.95	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1AAC|2RCVC|3LWND|4VULN|5LHND|6DMG|78RCR|9TLV|aLIT
5	13154 13315	   	290.95	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1AAC|2RCVC|3LWND|4DMG|5LHND|6VULN|78RCR|9TLV|aLIT
6	21152 33315	   	290.95	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1VULN|2LWND|3DMSP|4LHND|5ZMB|6DMG|78RCR|9TLV|aLIT
7	21153 33315	   	290.95	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1VULN|2LWND|3DMSP|4LHND|5AAC|6DMG|78RCR|9TLV|aLIT
8	21253 33315	   	290.95	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1VULN|2LWND|3AAC|4RCVC|5LHND|6DMG|78RCR|9TLV|aLIT
9	21352 33315	   	290.95	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1VULN|23LWND|4LHND|5ZMB|6DMG|78RCR|9TLV|aLIT
10	21353 33315	   	290.95	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1VULN|23LWND|4LHND|5AAC|6DMG|78RCR|9TLV|aLIT
11	24661 33312	   	285.16	DCR|DCR|2VULN|1TLV|1DMG	15VULN|2BEXP|3LHND|45ZMB|5BPWR|6DMG|78RCR|9TLV|aRMIN
12	24661 33311	   	285.06	DCR|DCR|2VULN|1TLV|1DMG	15VULN|2BEXP|3LHND|45ZMB|5BPWR|6DMG|78RCR|9TLV|aERES
13	13164 13315	   	284.53	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1AAC|2RCVC|3LWND|4ASPD|5LHND|6VULN|78RCR|9TLV|aLIT
14	13233 33313	   	282.17	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1AAC|2RCVC|3VULN|4DUR|5LHND|6DMG|78RCR|9TLV|aCDMG
15	13543 33313	   	282.17	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1AAC|2RCVC|3DUR|4VULN|5LHND|6DMG|78RCR|9TLV|aCDMG
