0	Index      	 *	Score 	Summary	Detail	
1	26123 42623	 * 	288.19	DCR|DCR|3VULN|1LIT|1DUR	1TBNT|237VULN|4RPLT|5RCVC|6LIT|8aRCR|9DUR
2	21553 63312	 * 	283.49	DCR|DCR|2DMG|1TLV|1MLV|1RPLT	1TBNT|2SPLARM|3RPLT|47DMG|5MLV|6aRCR|8LHND|9TLV
3	26123 42613	   	278.53	DCR|DCR|3VULN|1LIT	1TBNT|237VULN|4RPLT|5RCVC|6LIT|8aRCR|9BEXP
4	26123 42633	   	278.53	DCR|DCR|3VULN|1LIT	1TBNT|237VULN|4RPLT|5RCVC|6LIT|8aRCR|9FEWX
5	36312 32363	 * 	278.06	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|2ASPD|3TLV|4DMG|5VULN|69RCR|7AAC|8LHND|aTBNT
6	36312 32663	   	277.96	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|2ASPD|3TLV|4DMG|5VULN|69RCR|7AAC|8DUST|aTBNT
7	61133 43623	 * 	275.08	ACR|DCR|2VULN|1TLV|1MLV|1RPLT|1ASPD	1LSRREG|2RPLT|38RCR|49VULN|5DUST|6TLV|7ASPD|aMLV
8	22322 45223	 * 	272.63	DCR|DCR|2TLV|1ASPD|1BBNT	1TBNT|2ERES|3BBNT|4RPLT|5AART|68TLV|7aRCR|9ASPD
9	36312 32362	   	272.50	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|2ASPD|3TLV|4DMG|5VULN|69RCR|7AAC|8LHND|aFEWX
10	36312 32364	   	272.50	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|2ASPD|3TLV|4DMG|5VULN|69RCR|7AAC|8LHND|aZMB
11	36312 32365	   	272.50	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|2ASPD|3TLV|4DMG|5VULN|69RCR|7AAC|8LHND|aCGEN
12	36312 32462	   	272.50	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|2ASPD|3TLV|4DMG|5VULN|69RCR|7AAC|8aFEWX
13	36412 32363	   	272.50	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|2ASPD|3CGEN|4DMG|5VULN|69RCR|7AAC|8LHND|aTLV
14	36312 32361	   	272.40	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|2ASPD|3TLV|4DMG|5VULN|69RCR|7AAC|8LHND|aERES
15	36312 32366	   	272.40	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|2ASPD|3TLV|4DMG|5VULN|69RCR|7AAC|8LHND|aDUST
16	36312 32461	   	272.40	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|2ASPD|3TLV|4DMG|5VULN|69RCR|7AAC|8FEWX|aERES
17	36312 32463	   	272.40	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|2ASPD|3TLV|4DMG|5VULN|69RCR|7AAC|8FEWX|aDUST
