0	Index      	 *	Score 	Summary	Detail	
1	13461 14117	 * 	316.10	DCR|2VULN|2TLV|2LIT|1MLV|1DMG	17LIT|2FEWX|3MBVNT|47TLV|5BBNT|67VULN|7BPWR|8RCR|9DMG|aMLV
2	13532 21163	 * 	298.42	ACR|3LIT|2VULN|2TLV|2MLV	18aLIT|28FEWX|3aTLV|4DUR|5RCR|6AART|78VULN|8aBPWR|9aMLV
3	13461 14113	   	297.57	DCR|2VULN|2TLV|2LIT|1DMG|1CDMG	17LIT|2FEWX|3MBVNT|47TLV|5BBNT|67VULN|7BPWR|8RCR|9DMG|aCDMG
4	13461 14137	   	296.04	DCR|2VULN|2TLV|2LIT|1MLV	17LIT|2FEWX|3MBVNT|47TLV|5BBNT|67VULN|7BPWR|8RCR|9AAC|aMLV
5	13461 14316	   	296.04	DCR|2VULN|2TLV|2LIT|1MLV	17LIT|2FEWX|3MBVNT|47TLV|5BBNT|67VULN|7BPWR|8BEXP|9MLV|aRCR
6	13461 14146	   	295.94	DCR|2VULN|2TLV|2LIT|1MLV	17LIT|2FEWX|3MBVNT|47TLV|5BBNT|67VULN|7BPWR|8RCR|9MDPS|aMLV
7	16221 31353	   	294.58	DCR|2VULN|2TLV|2LIT|1MLV	18LIT|2SNITOX|38TLV|4MDPS|5RPLT|6RCVC|78VULN|8BPWR|9RCR|aMLV
8	13461 14112	   	293.58	DCR|2VULN|2TLV|2LIT|1DMG	17LIT|2FEWX|3MBVNT|47TLV|5BBNT|67VULN|7BPWR|8RCR|9DMG|aDUR
9	13465 14113	   	293.47	DCR|2VULN|2TLV|2LIT|1DMG|1CDMG	17LIT|2FEWX|3MBVNT|47TLV|5TBNT|67VULN|7BPWR|8RCR|9DMG|aCDMG
10	53232 16432	 * 	292.43	DCR|DCR|1TLV|1VULN|1MLV|1DMG|1RPLT	12BEXP|3RPLT|4MDPS|5VULN|67RCR|8TLV|9MLV|aDMG
11	66232 16332	   	292.43	DCR|DCR|1TLV|1VULN|1MLV|1DMG|1RPLT	1LWND|2RCVC|3RPLT|4MDPS|5VULN|67RCR|8TLV|9MLV|aDMG
12	26322 51252	   	290.88	DCR|DCR|1TLV|1VULN|1MLV|1ASPD|1CDMG|1SELL	1SELL|2ASPD|3LHND|4CDMG|5TLV|6aRCR|7MLV|8BBNT|9VULN
13	26222 51522	   	290.78	DCR|DCR|1TLV|1VULN|1MLV|1ASPD|1CDMG|1SELL	1SELL|2ASPD|3VULN|4CDMG|5TLV|6aRCR|7MLV|8LEGI|9BBNT
14	13465 14112	   	289.48	DCR|2VULN|2TLV|2LIT|1DMG	17LIT|2FEWX|3MBVNT|47TLV|5TBNT|67VULN|7BPWR|8RCR|9DMG|aDUR
15	12131 31242	   	288.22	DCR|2VULN|2TLV|2LIT|1DMG	1aLIT|2TBNT|3aFEWX|4DMG|57TLV|6RCR|8AART|9aVULN|aBPWR
16	23512 31477	 * 	287.68	DCR|DCR|2LIT|1TLV|1MLV|1CDMG|1SELL	1SELL|29LIT|3MLV|4ERES|5CDMG|6MBVNT|7TLV|8aRCR
17	26322 51152	   	286.78	DCR|DCR|1TLV|1VULN|1MLV|1ASPD|1CDMG|1SELL	1SELL|2ASPD|3LHND|4CDMG|5TLV|6aRCR|7MLV|8TBNT|9VULN
