0	Index      	 *	Score 	Summary	Detail	
1	22633 34531	 * 	226.91	ACR|1BASARM|3BEXP|2ASPD|1DMG	17aBEXP|27LHND|3VENICY|4CGEN|5RCR|67ASPD|7BPWR|8BASARM|9DMG
2	62431 31413	 * 	221.47	ACR|3ASPD|2BEXP|2CDMG|1DMG|1AART	17aASPD|2DUR|37CDMG|4RCR|5AART|67BEXP|7BPWR|8TLV|9DMG
3	62431 31316	   	221.16	ACR|2ASPD|2BEXP|1DMG|2CDMG|1AART|1AAC	17ASPD|2DUR|37CDMG|4RCR|5AART|67BEXP|7BPWR|8AAC|9DMG|aVULN
4	62431 31314	 * 	220.26	ACR|2ASPD|2BEXP|3CDMG|1DMG|1AART|1AAC	17ASPD|2DUR|37aCDMG|4RCR|5AART|67BEXP|7BPWR|8AAC|9DMG
5	62431 31326	   	216.75	ACR|3ASPD|2BEXP|2CDMG|1AART|1AAC	179ASPD|2DUR|37CDMG|4RCR|5AART|67BEXP|7BPWR|8AAC|aVULN
6	22633 34532	   	215.65	ACR|1BASARM|2ASPD|2BEXP|1DMG	17BEXP|27LHND|3VENICY|4CGEN|5RCR|67ASPD|7BPWR|8BASARM|9DMG|aDUR
7	22633 34533	   	215.55	ACR|1BASARM|2ASPD|2BEXP|1DMG	17BEXP|27LHND|3VENICY|4CGEN|5RCR|67ASPD|7BPWR|8BASARM|9DMG|aAME
8	22633 33531	   	215.45	ACR|1BASARM|2ASPD|2BEXP|1DMG	1aBEXP|2LHND|3VENICY|4CGEN|5RCR|67ASPD|8BASARM|9DMG
9	22633 33534	   	214.26	ACR|1BASARM|2ASPD|1DMG|1AART|1BEXP	1BEXP|2LHND|3VENICY|4CGEN|5RCR|67ASPD|8BASARM|9DMG|aAART
10	62431 31312	   	214.22	ACR|2ASPD|2BEXP|1DMG|2CDMG|1AART|1AAC	17ASPD|2DUR|37CDMG|4RCR|5AART|67BEXP|7BPWR|8AAC|9DMG|aRPLT
11	62431 31313	   	214.22	ACR|2ASPD|2BEXP|1DMG|2CDMG|1AART|1AAC	17ASPD|2DUR|37CDMG|4RCR|5AART|67BEXP|7BPWR|8AAC|9DMG|aLHND
12	62431 31315	   	214.22	ACR|2ASPD|2BEXP|1DMG|2CDMG|1AART|1AAC	17ASPD|2DUR|37CDMG|4RCR|5AART|67BEXP|7BPWR|8AAC|9DMG|aMLV
13	62431 31311	   	214.12	ACR|2ASPD|2BEXP|1DMG|2CDMG|1AART|1AAC	17ASPD|2DUR|37CDMG|4RCR|5AART|67BEXP|7BPWR|8AAC|9DMG|aTLV
14	62431 31216	   	212.76	ACR|2ASPD|2BEXP|1DMG|2CDMG|1AART	17ASPD|2DUR|37CDMG|4RCR|5AART|67BEXP|7BPWR|8AME|9DMG|aVULN
15	62431 31214	   	211.86	ACR|2ASPD|2BEXP|3CDMG|1DMG|1AART	17ASPD|2DUR|37aCDMG|4RCR|5AART|67BEXP|7BPWR|8AME|9DMG
16	62431 31321	   	209.81	ACR|3ASPD|2BEXP|2CDMG|1AART|1AAC	179ASPD|2DUR|37CDMG|4RCR|5AART|67BEXP|7BPWR|8AAC|aLIT
17	62431 31324	   	209.81	ACR|3ASPD|2BEXP|2CDMG|1AART|1AAC	179ASPD|2DUR|37CDMG|4RCR|5AART|67BEXP|7BPWR|8AAC|aFEWX
18	62431 31325	   	209.81	ACR|3ASPD|2BEXP|2CDMG|1AART|1AAC	179ASPD|2aDUR|37CDMG|4RCR|5AART|67BEXP|7BPWR|8AAC
19	62431 31322	   	209.57	ACR|3ASPD|2BEXP|2CDMG|1AART|1AAC|1SELL	179ASPD|2DUR|37CDMG|4RCR|5AART|67BEXP|7BPWR|8AAC|aSELL
20	22633 53531	   	209.22	ACR|1BASARM|3BEXP|1ASPD|1DMG	16aBEXP|2LHND|3VENICY|46CGEN|5RCR|6BPWR|7ASPD|8BASARM|9DMG
21	22633 34523	   	209.13	ACR|1BASARM|2ASPD|2BEXP|1CDMG	17BEXP|27LHND|3VENICY|4CGEN|5RCR|67ASPD|7BPWR|8BASARM|9AEFBLL|aCDMG
