0	Index      	 *	Score 	Summary	Detail	
1	13511 12361	 * 	215.08	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP|1AAC	1LWND|2AAC|3RCR|4ASPD|5DUR|6LIT|7BEXP|8AART|9DMG|aBASARM
2	13551 11532	   	208.37	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AAC	1LWND|2AAC|3RCR|4VULN|5ASPD|6LIT|7CGEN|8CDMG|9BASARM|aDMG
3	51322 64332	   	208.27	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AAC	1CDMG|2FEWX|3RCR|4ERES|5AAC|6VULN|7LIT|8ASPD|9BASARM|aDMG
4	22352 33255	 * 	200.82	ACR|2DMG|2BEXP|2VULN|1ASPD|1AART	18BEXP|2DUST|38DMG|49VULN|5RCR|6ASPD|78CGEN|8BPWR|aAART
5	33551 53212	 * 	199.58	ACR|3ASPD|1DMG|1BASICY|1AAC	1LHND|2AAC|3RCR|4VULN|567ASPD|8BELT|9BASICY|aDMG
6	22352 33253	 * 	199.10	ACR|2DMG|3VULN|2BEXP|1ASPD	18BEXP|2DUST|38DMG|49aVULN|5RCR|6ASPD|78CGEN|8BPWR
7	22352 36253	   	199.10	ACR|2DMG|3VULN|2BEXP|1ASPD	18BEXP|2DUST|38DMG|49aVULN|5RCR|6ASPD|78MLV|8BPWR
8	22352 33245	 * 	199.06	ACR|3BEXP|2DMG|1ASPD|1AART	189BEXP|2DUST|38DMG|4VULN|5RCR|6ASPD|78CGEN|8BPWR|aAART
9	22352 35253	   	198.90	ACR|2DMG|3VULN|2BEXP|1ASPD	18BEXP|2DUST|38DMG|49aVULN|5RCR|6ASPD|78TLV|8BPWR
10	21352 36243	 * 	198.53	ACR|3BEXP|2DMG|2VULN|1ASPD	189BEXP|2FEWX|38DMG|4aVULN|5RCR|6ASPD|78MLV|8BPWR
11	22352 33243	   	198.43	ACR|3BEXP|2DMG|2VULN|1ASPD	189BEXP|2DUST|38DMG|4aVULN|5RCR|6ASPD|78CGEN|8BPWR
12	22352 36243	   	198.43	ACR|3BEXP|2DMG|2VULN|1ASPD	189BEXP|2DUST|38DMG|4aVULN|5RCR|6ASPD|78MLV|8BPWR
13	21352 35243	   	198.33	ACR|3BEXP|2DMG|2VULN|1ASPD	189BEXP|2FEWX|38DMG|4aVULN|5RCR|6ASPD|78TLV|8BPWR
14	22352 35243	   	198.23	ACR|3BEXP|2DMG|2VULN|1ASPD	189BEXP|2DUST|38DMG|4aVULN|5RCR|6ASPD|78TLV|8BPWR
15	16422 21242	 * 	196.44	ACR|1BASARM|2BEXP|1ASPD|1AART	1LWND|2MLV|3AART|4RCR|5DLOT|67BEXP|8ASPD|9DMSP|aBASARM
16	13423 63151	   	196.43	ACR|1BASARM|1ASPD|1DMG|1AART|1AAC	1LWND|2AAC|3AART|4RCR|5FEWX|6ASPD|7LIT|8LHND|9DMG|aBASARM
