0	Index      	 *	Score 	Summary	Detail	
1	43113 22154	 * 	223.78	ACR|1BASARM|2VULN|2ASPD|2BEXP	16AME|27ASPD|39VULN|46BEXP|5RCR|6BPWR|8MLV|aBASARM
2	43113 22634	   	223.78	ACR|2VULN|1BASARM|2ASPD|2BEXP	16AME|27ASPD|38VULN|46BEXP|5RCR|6BPWR|9CGEN|aBASARM
3	43113 32534	   	223.78	ACR|2VULN|1BASARM|2ASPD|2BEXP	1AME|27ASPD|36VULN|48BEXP|5RCR|9CGEN|aBASARM
4	63523 31147	 * 	220.15	ACR|3ASPD|2VULN|2BEXP|1DMG	1aBEXP|2DMG|3RMIN|4RCR|5MDPS|6aVULN|79aASPD|8MBVNT|aBPWR
5	43113 32436	 * 	218.75	ACR|3VULN|3ASPD|2BEXP|1CDMG	19AME|278ASPD|369VULN|49BEXP|5RCR|9BPWR|aCDMG
6	63123 21246	 * 	217.34	ACR|2BASARM|2BEXP|1ASPD|1DMG	1aBEXP|2DMG|39aERES|4RCR|5MDPS|6LWND|7ASPD|8aBASARM|aBPWR
7	43113 32154	 * 	216.95	ACR|3VULN|1BASARM|2ASPD|1BEXP	1AME|27ASPD|369VULN|4BEXP|5RCR|8MLV|aBASARM
8	43113 32634	   	216.95	ACR|3VULN|1BASARM|2ASPD|1BEXP	1AME|27ASPD|368VULN|4BEXP|5RCR|9CGEN|aBASARM
9	63236 21352	 * 	216.26	ACR|1BASARM|2ASPD|1DMG|1AART|1BEXP	1BEXP|2DMG|3RPLT|48ASPD|5RCR|6FEWX|7AME|9AART|aBASARM
10	63123 63216	 * 	214.77	ACR|2BASARM|2DMG|2BEXP	1aBEXP|2aDMG|3ERES|4RCR|5MDPS|6NUKE|79DUST|8aBASARM|aBPWR
11	43113 62162	 * 	213.54	ACR|3ASPD|1VULN|1DMG|1AART|1BEXP|1AAC	1AME|267ASPD|3VULN|4BEXP|5RCR|8AART|9AAC|aDMG
12	43113 32353	 * 	213.45	ACR|3ASPD|2VULN|1AART|1BEXP|1CDMG	1AME|27aASPD|36VULN|4BEXP|5RCR|8CDMG|9AART
13	43113 22431	 * 	212.66	ACR|3ASPD|2VULN|3BEXP|1AAC	169AME|278ASPD|39VULN|469BEXP|5RCR|69BPWR|aAAC
14	43113 22353	 * 	212.66	ACR|3ASPD|1VULN|2BEXP|1AART|1CDMG	16AME|27aASPD|3VULN|46BEXP|5RCR|6BPWR|8CDMG|9AART
15	43113 32451	 * 	212.64	ACR|3ASPD|2VULN|2BEXP|1AART	1AME|278ASPD|36VULN|4aBEXP|5RCR|9AART
16	63236 22333	   	211.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	19BEXP|2DMG|3RPLT|4ASPD|5RCR|6FEWX|7ERES|8CDMG|aBASARM
17	21363 52433	 * 	210.94	ACR|3ASPD|1BASARM|2BEXP	1LWND|29BEXP|36ERES|478ASPD|5RCR|aBASARM
18	43113 36353	   	210.64	ACR|2VULN|2ASPD|2BEXP|1AART|1CDMG	1AME|2aASPD|36VULN|47BEXP|5RCR|8CDMG|9AART
