0	Index      	 *	Score 	Summary	Detail	
1	42123 63531	 * 	235.33	ACR|2BASARM|2DMG|2BEXP|1ASPD	17BASARM|27CGEN|3LHND|4RCR|5aBEXP|67DMG|7BPWR|8ASPD|9BELT
2	42123 63532	   	234.14	ACR|2BASARM|2DMG|1ASPD|1BEXP|1CDMG	17BASARM|27CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|8ASPD|9BELT|aCDMG
3	42123 63511	   	234.04	ACR|2BASARM|2DMG|1ASPD|1BEXP|1CDMG	17BASARM|27CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|8ASPD|9MDPS|aCDMG
4	41423 63313	 * 	232.02	ACR|2BASARM|2DMG|3VULN|1BEXP	17BASARM|2DUST|37DMG|4RCR|57aVULN|6NUKE|7BPWR|8BEXP|9MDPS
5	42123 63325	   	228.92	ACR|2BASARM|2DMG|2BEXP|1CDMG	17BASARM|278CGEN|3LHND|4RCR|5aBEXP|67DMG|7BPWR|9CDMG
6	42331 45222	 * 	227.87	ACR|1BASARM|2AART|1ASPD|1DMG|1BEXP|1CDMG	1BASARM|2CGEN|3CDMG|4RCR|5RPLT|6DMG|79AART|8ASPD|aBEXP
7	42123 63521	   	227.33	ACR|2BASARM|2DMG|1ASPD|1BEXP	17BASARM|27CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|8ASPD|9DUST|aVULN
8	26351 62332	   	226.85	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AART|1AAC	1DMG|2LWND|3ASPD|4VULN|5RCR|6aBEXP|7BASARM|8AAC|9AART
9	41423 63112	   	226.68	ACR|2BASARM|2DMG|3VULN|1AAC	17BASARM|28DUST|37DMG|4RCR|57aVULN|6NUKE|7BPWR|9AAC
10	42534 12222	 * 	225.62	ACR|2BASARM|2BEXP|2AART|1ASPD	13BASARM|23CGEN|3BPWR|4aBEXP|5RCR|69AART|7VULN|8ASPD
11	44123 35223	 * 	225.40	ACR|1BASARM|3BEXP|2ASPD|1AART	1BASARM|2LWND|3ZMB|4RCR|56aBEXP|7AART|89ASPD
12	42234 32135	 * 	221.53	ACR|2BASARM|3BEXP|2ASPD	1aBASARM|23CGEN|49aBEXP|5RCR|6aASPD|7BELT|8DMSP|aBPWR
13	42234 32335	   	221.53	ACR|2BASARM|3BEXP|2ASPD	1aBASARM|238CGEN|49aBEXP|5RCR|6aASPD|7BELT|aBPWR
14	44123 35232	   	221.46	ACR|1BASARM|3BEXP|1ASPD|1AART|1CDMG	1BASARM|2LWND|3ZMB|4RCR|56aBEXP|7AART|8ASPD|9CDMG
15	44122 31231	 * 	221.15	ACR|2BASARM|3VULN|1ASPD|1BASICY	17BASARM|2LWND|37ZMB|4RCR|5RPLT|678VULN|7BPWR|9BASICY|aASPD
16	42123 63326	   	221.02	ACR|2BASARM|2DMG|1BEXP|1CDMG	17BASARM|278CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|9CDMG|aVULN
17	41423 35222	   	220.96	ACR|1BASARM|2AART|1ASPD|1DMG|1BEXP	1BASARM|2DUST|3DMG|4RCR|5VULN|6AEMAG|79AART|8ASPD|aBEXP
18	42123 63513	   	220.39	ACR|2BASARM|2DMG|1ASPD|1BEXP	17BASARM|27CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|8ASPD|9MDPS|aZMB
19	42123 63533	   	220.39	ACR|2BASARM|2DMG|1ASPD|1BEXP	17BASARM|27CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|8ASPD|9BELT|aLEGI
20	42123 63512	   	220.29	ACR|2BASARM|2DMG|1ASPD|1BEXP	17BASARM|27CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|8ASPD|9MDPS|aDUST
21	42123 63522	   	220.29	ACR|2BASARM|2DMG|1ASPD|1BEXP	17BASARM|27CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|8ASPD|9DUST|aERES
22	42123 63523	   	220.29	ACR|2BASARM|2DMG|1ASPD|1BEXP	17BASARM|27CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|8ASPD|9DUST|aAME
23	41423 63322	   	220.19	ACR|2BASARM|2DMG|2VULN|1BEXP	17BASARM|2DUST|37DMG|4RCR|57VULN|6NUKE|7BPWR|8BEXP|9DMSP|aRMIN
24	41423 63332	   	220.19	ACR|2BASARM|2DMG|2VULN|1BEXP	17BASARM|2DUST|37DMG|4RCR|57VULN|6NUKE|7BPWR|8BEXP|9FEWX|aCGEN
25	41423 63333	   	220.19	ACR|2BASARM|2DMG|2VULN|1BEXP	17BASARM|2DUST|37DMG|4RCR|57VULN|6NUKE|7BPWR|8BEXP|9FEWX|aRPLT
26	41423 13521	   	220.09	ACR|2BASARM|2DMG|2VULN|1AART	1aBASARM|2DUST|3aDMG|4RCR|59VULN|6LWND|7AART|8aAEFBLL|aBPWR
27	41423 23521	   	220.09	ACR|2BASARM|2DMG|2VULN|1AART	1aBASARM|2DUST|3aDMG|4RCR|59VULN|6LHND|7AART|8aAEFBLL|aBPWR
28	41423 63121	   	220.09	ACR|2BASARM|2DMG|2VULN|1CDMG	17BASARM|28DUST|37DMG|4RCR|57VULN|6NUKE|7BPWR|9CDMG|aRCVC
29	41423 63122	   	220.09	ACR|2BASARM|2DMG|2VULN|1CDMG	17BASARM|28DUST|37DMG|4RCR|57VULN|6NUKE|7BPWR|9CDMG|aFEWX
30	41423 63123	   	220.09	ACR|2BASARM|2DMG|2VULN|1CDMG	17BASARM|28DUST|37DMG|4RCR|57VULN|6NUKE|7BPWR|9CDMG|aRPLT
31	41423 63311	   	220.09	ACR|2BASARM|2DMG|2VULN|1BEXP	17BASARM|2DUST|37DMG|4RCR|57VULN|6NUKE|7BPWR|8BEXP|9MDPS|aBELT
32	41423 63321	   	220.09	ACR|2BASARM|2DMG|2VULN|1BEXP	17BASARM|2aDUST|37DMG|4RCR|57VULN|6NUKE|7BPWR|8BEXP|9DMSP
