0	Index      	 *	Score 	Summary	Detail	
1	34133 12356	 * 	236.43	ACR|2BASARM|3BEXP|2ASPD	14aBEXP|2RCR|3MULARM|58BELT|6RMIN|7aASPD|9aBASARM|aBPWR
2	14321 62333	 * 	235.54	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1CDMG	1DUR|2RCR|3CGEN|4LWND|5CDMG|6BASARM|7AART|8ASPD|9VULN|aDMG
3	14351 62333	   	235.54	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1CDMG	1DUR|2RCR|3CGEN|4LHND|5CDMG|6BASARM|7AART|8ASPD|9VULN|aDMG
4	64321 62333	   	235.44	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1CDMG	1DUST|2RCR|3CGEN|4LWND|5CDMG|6BASARM|7AART|8ASPD|9VULN|aDMG
5	21238 41144	 * 	233.21	ACR|1BASARM|2ASPD|1VULN|2BEXP|1DMG	1MBVNT|24BEXP|3VULN|5RCR|6aASPD|7DMG|8CGEN|9BASARM
6	21238 41544	   	233.11	ACR|1BASARM|2ASPD|1VULN|2BEXP|1DMG	1MBVNT|24BEXP|3VULN|5RCR|6aASPD|7DMG|8TLV|9BASARM
7	34335 24123	 * 	232.62	ACR|2VULN|3BEXP|2BASICY|1ASPD|1DMG|1SELL	18aBEXP|2RCR|3CGEN|4aVULN|5DMG|6SELL|7ASPD|9aBASICY|aBPWR
8	21238 24573	 * 	230.73	ACR|2BASARM|3VULN|3BEXP|1CDMG	1MBVNT|24aBEXP|38aVULN|5RCR|6TLV|7CDMG|9aBASARM|aBPWR
9	34261 63133	 * 	230.14	ACR|2BASARM|1VULN|2BEXP|1AART|1AAC	1aBEXP|2RCR|3VULN|4aLIT|5ERES|6DUST|7AART|8AAC|9aBASARM|aBPWR
10	21238 44436	   	229.27	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG|1CDMG	1MBVNT|24BEXP|3VULN|5RCR|6ASPD|7CDMG|8RMIN|9BASARM|aDMG
11	21238 44736	   	229.27	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG|1CDMG	1MBVNT|24BEXP|3VULN|5RCR|6ASPD|7CDMG|8ZMB|9BASARM|aDMG
12	21238 74436	   	229.27	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG|1CDMG	1MBVNT|24BEXP|3VULN|5RCR|6CDMG|7ASPD|8RMIN|9BASARM|aDMG
13	34351 13133	 * 	228.76	ACR|2ASPD|2AART|2BEXP|1VULN|1CDMG	19BEXP|2RCR|3CGEN|49LHND|5CDMG|6VULN|7aAART|89ASPD|9BPWR
14	34354 23133	   	228.76	ACR|2ASPD|2AART|2BEXP|1VULN|1CDMG	19BEXP|2RCR|3CGEN|49LHND|5VULN|6CDMG|7aAART|89ASPD|9BPWR
15	34333 31363	 * 	228.66	ACR|3VULN|3DMG|3BEXP	189BEXP|2RCR|3CGEN|489VULN|5DUR|6AEMAG|789DMG|89BPWR|aLIT
