0	Index      	 *	Score 	Summary	Detail	
1	12364 51223	 * 	230.80	ACR|1BASARM|2DMG|1VULN|2BEXP|1AART	13DMG|2VULN|4MDPS|5RCR|69BEXP|7LIT|8AART|aBASARM
2	21555 32222	 * 	216.75	ACR|3ASPD|1BASARM|1AART|1CDMG	1CDMG|2RMIN|3AEMAG|4RCR|578ASPD|6MDPS|9AART|aBASARM
3	14227 41323	 * 	215.65	ACR|1BASARM|2DMG|2BEXP|1ASPD	17DMG|2LIT|3MBVNT|47BEXP|5RCR|67MLV|7BPWR|8ASPD|9LWND|aBASARM
4	14227 41333	   	215.65	ACR|1BASARM|2DMG|2BEXP|1ASPD	17DMG|2LIT|3MBVNT|47BEXP|5RCR|67MLV|7BPWR|8ASPD|9FEWX|aBASARM
5	14227 61323	   	215.65	ACR|1BASARM|2DMG|2BEXP|1ASPD	17DMG|2LIT|3MBVNT|47BEXP|5RCR|67CGEN|7BPWR|8ASPD|9LWND|aBASARM
6	14227 61333	   	215.65	ACR|1BASARM|2DMG|2BEXP|1ASPD	17DMG|2LIT|3MBVNT|47BEXP|5RCR|67CGEN|7BPWR|8ASPD|9FEWX|aBASARM
7	14227 41383	   	215.55	ACR|1BASARM|2DMG|2BEXP|1ASPD	17DMG|2LIT|3MBVNT|47BEXP|5RCR|67MLV|7BPWR|8ASPD|9DUST|aBASARM
8	14227 21323	   	215.45	ACR|1BASARM|2DMG|2BEXP|1ASPD	17DMG|2LIT|3MBVNT|47BEXP|5RCR|67ERES|7BPWR|8ASPD|9LWND|aBASARM
9	14227 21333	   	215.45	ACR|1BASARM|2DMG|2BEXP|1ASPD	17DMG|2LIT|3MBVNT|47BEXP|5RCR|67ERES|7BPWR|8ASPD|9FEWX|aBASARM
10	14227 11223	   	212.21	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART	1DMG|2LIT|3MBVNT|49BEXP|5RCR|6VULN|7FEWX|8AART|aBASARM
11	12364 61331	 * 	206.54	ACR|2DMG|1VULN|2AART|1ASPD|1BEXP	13DMG|2VULN|4MDPS|5RCR|6RCVC|7ASPD|8aAART|9BEXP
12	23164 41223	   	205.55	ACR|1BASARM|2BEXP|1VULN|1AART|1CDMG|1SELL	1CDMG|2SELL|39BEXP|4MDPS|5RCR|6VULN|7LIT|8AART|aBASARM
13	13364 22362	 * 	204.36	ACR|1BASARM|2DMG|1ASPD|1AART|1SELL	13DMG|2LHND|4MDPS|5RCR|6SELL|7AART|8FEWX|9ASPD|aBASARM
14	13364 22262	 * 	204.26	ACR|1BASARM|2DMG|1ASPD|1AART|1SELL	13DMG|2LHND|4MDPS|5RCR|6SELL|7AART|8DUST|9ASPD|aBASARM
15	12364 41331	   	203.93	ACR|2DMG|1VULN|2AART|1ASPD|1BEXP	13DMG|2VULN|4MDPS|5RCR|6AEFBLL|7ASPD|8aAART|9BEXP
16	14227 13231	 * 	202.15	ACR|2VULN|2ASPD|2DMG|1BEXP	1aDMG|2LIT|3MBVNT|4BEXP|5RCR|68VULN|79ASPD
17	23536 26223	 * 	201.83	ACR|2VULN|2BEXP|1ASPD|1DMG|2CDMG|1SELL	1aCDMG|2SELL|3DMSP|4aBEXP|5RCR|6RPLT|7DMG|8ASPD|9aVULN|aBPWR
