0	Index      	 *	Score 	Summary	Detail	
1	11515 53111	 * 	235.19	ACR|1BASARM|1ASPD|1BASICY|1VULN|1AART|1BEXP|1CDMG	1CDMG|2BEXP|3ASPD|4RCR|5FEWX|6BASICY|7LIT|8BASARM|9VULN|aAART
2	11515 16211	 * 	234.39	ACR|2VULN|2ASPD|2BEXP|3CDMG|1AART	16aCDMG|2aBEXP|39ASPD|4RCR|56FEWX|6aBPWR|7AART|8aVULN
3	11514 13611	   	233.39	ACR|2VULN|2ASPD|2BEXP|3CDMG|1AART	16aCDMG|2aBEXP|39ASPD|4RCR|56LHND|6aBPWR|7aVULN|8AART
4	13231 64362	 * 	232.07	ACR|2VULN|1BASARM|1ASPD|1BASICY|1AART|1CDMG	1CDMG|24VULN|3LEGI|5RCR|6RPLT|7BASARM|8AART|9ASPD|aBASICY
5	11516 23611	   	228.05	ACR|2VULN|2ASPD|2BEXP|2CDMG|1AART	1aCDMG|2aBEXP|39ASPD|4RCR|5RCVC|6LWND|7aVULN|8AART|aBPWR
6	11321 25313	 * 	227.86	ACR|1BASARM|1VULN|2BEXP|1ASPD|1AART|1CDMG	1CDMG|24BEXP|3VULN|5RCR|6DUST|7AART|8CGEN|9ASPD|aBASARM
7	11421 56213	   	227.86	ACR|1BASARM|2BEXP|1VULN|1ASPD|1AART|1CDMG	1CDMG|24BEXP|3FEWX|5RCR|6AME|7AART|8VULN|9ASPD|aBASARM
8	11321 25213	   	227.76	ACR|1BASARM|1VULN|2BEXP|1ASPD|1AART|1CDMG	1CDMG|24BEXP|3VULN|5RCR|6DUST|7AART|8AME|9ASPD|aBASARM
9	11321 25513	   	227.76	ACR|1BASARM|1VULN|2BEXP|1ASPD|1AART|1CDMG	1CDMG|24BEXP|3VULN|5RCR|6DUST|7AART|8ERES|9ASPD|aBASARM
10	11321 51613	   	226.86	ACR|1BASARM|1VULN|2BEXP|1ASPD|1AART|1CDMG	1CDMG|24BEXP|3VULN|5RCR|6AME|7FEWX|8AART|9ASPD|aBASARM
11	11321 54613	   	226.76	ACR|1BASARM|1VULN|2BEXP|1ASPD|1AART|1CDMG	1CDMG|24BEXP|3VULN|5RCR|6AME|7DUST|8AART|9ASPD|aBASARM
12	14331 15313	   	226.75	ACR|2VULN|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1CDMG|2DUR|34VULN|5RCR|6BEXP|7AART|8CGEN|9ASPD|aBASARM
13	13431 15313	   	226.75	ACR|2VULN|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1CDMG|24VULN|3FEWX|5RCR|6BEXP|7AART|8CGEN|9ASPD|aBASARM
14	14331 15213	   	226.65	ACR|2VULN|1BASARM|1ASPD|1AART|1CDMG|1BEXP	1CDMG|2DUR|34VULN|5RCR|6BEXP|7AART|8AME|9ASPD|aBASARM
15	14331 15513	   	226.65	ACR|2VULN|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1CDMG|2DUR|34VULN|5RCR|6BEXP|7AART|8ERES|9ASPD|aBASARM
16	13431 15213	   	226.65	ACR|2VULN|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1CDMG|24VULN|3FEWX|5RCR|6BEXP|7AART|8AME|9ASPD|aBASARM
17	13431 15513	   	226.65	ACR|2VULN|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1CDMG|24VULN|3FEWX|5RCR|6BEXP|7AART|8ERES|9ASPD|aBASARM
18	13511 15111	   	226.25	ACR|2VULN|2ASPD|2BEXP|2CDMG|1AART	1aCDMG|2aVULN|39ASPD|4RCR|5ZMB|6aBEXP|7AART|8RMIN|aBPWR
19	11515 16233	 * 	225.54	ACR|1BASARM|1VULN|1ASPD|2CDMG|1AART|1BEXP	16CDMG|2BEXP|3ASPD|4RCR|56FEWX|6BPWR|7AART|8VULN|9MLV|aBASARM
20	11321 13615	 * 	220.77	ACR|3VULN|3BEXP|2DMG|2CDMG	19CDMG|246BEXP|39aVULN|5RCR|79DMG|8LEGI|9BPWR
21	11615 36213	   	220.53	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1CDMG	1CDMG|2BEXP|3TLV|4RCR|5FEWX|6RCVC|7AART|8VULN|9ASPD|aBASARM
22	11515 53113	   	218.54	ACR|1BASARM|1ASPD|1BASICY|1VULN|1BEXP|1CDMG	1CDMG|2BEXP|3ASPD|4RCR|5FEWX|6BASICY|7LIT|8BASARM|9VULN|aRPLT
23	13511 25343	   	218.12	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1CDMG	1CDMG|2VULN|3ASPD|4RCR|5ZMB|6DUR|7AART|8CGEN|9BEXP|aBASARM
24	13511 25243	   	218.02	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1CDMG	1CDMG|2VULN|3ASPD|4RCR|5ZMB|6DUR|7AART|8AME|9BEXP|aBASARM
25	13511 15141	 * 	217.93	ACR|2VULN|3BEXP|1ASPD|2CDMG|1AART	1aCDMG|2aVULN|3ASPD|4RCR|5ZMB|69aBEXP|7AART|8RMIN|aBPWR
26	13611 15363	 * 	217.92	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1CDMG|2VULN|3AME|4RCR|5ZMB|6BEXP|7AART|8DUST|9DMG|aBASARM
