0	Index      	 *	Score 	Summary	Detail	
1	63112 31532	 * 	234.10	ACR|1BASARM|1DMG|2CDMG|1VULN|1AART|1BEXP	1RCR|2AART|3LWND|47CDMG|5MDPS|6DMG|8BASARM|9BEXP|aVULN
2	63112 31563	   	234.10	ACR|1BASARM|1VULN|1DMG|2CDMG|1AART|1BEXP	1RCR|2AART|3LWND|47CDMG|5MDPS|6DMG|8BASARM|9VULN|aBEXP
3	66532 22332	 * 	232.06	ACR|2ASPD|1VULN|2BEXP|2AART|1DMG	1RCR|29BEXP|37ASPD|4DMG|5VULN|6CGEN|8aAART
4	33333 23545	 * 	232.04	ACR|1BASARM|3AART|1VULN|2BEXP|1ASPD	128AART|34BEXP|5RCR|6VULN|7AAC|9BASARM|aASPD
5	66533 22332	   	231.96	ACR|2ASPD|2BEXP|1VULN|2AART|1DMG	1RCR|29BEXP|37ASPD|4DMG|5AME|6VULN|8aAART
6	66232 52332	   	231.96	ACR|2ASPD|1VULN|2BEXP|2AART|1DMG	1RCR|29BEXP|3TLV|4DMG|5VULN|67ASPD|8aAART
7	66232 53332	 * 	229.73	ACR|2VULN|2BEXP|2AART|1ASPD|1DMG	1RCR|29BEXP|3TLV|4DMG|57VULN|6ASPD|8aAART
8	66533 23332	   	229.73	ACR|2VULN|2BEXP|2AART|1ASPD|1DMG	1RCR|29BEXP|3ASPD|4DMG|5AME|67VULN|8aAART
9	63536 31333	 * 	227.67	ACR|3ASPD|3BEXP|1DMG|1AART	1RCR|2AART|39aBEXP|4AME|59aDUST|6DMG|7LHND|89aASPD|9aBPWR
10	63112 36532	   	226.51	ACR|1BASARM|1DMG|1VULN|1AART|1BEXP|1CDMG	1RCR|2AART|3LWND|4CDMG|5MDPS|6DMG|7DMSP|8BASARM|9BEXP|aVULN
11	61235 12343	 * 	226.40	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART	1RCR|2DUR|3TLV|4DMG|5MLV|67BEXP|8AART|9VULN|aBASARM
12	61235 22533	   	226.40	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART	1RCR|2DUR|3TLV|4DMG|5MLV|6VULN|79BEXP|8AART|aBASARM
13	61236 12343	   	226.40	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART	1RCR|2DUR|3TLV|4DMG|5CGEN|67BEXP|8AART|9VULN|aBASARM
14	61236 22533	   	226.40	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART	1RCR|2DUR|3TLV|4DMG|5CGEN|6VULN|79BEXP|8AART|aBASARM
15	66232 14133	   	226.40	ACR|1BASARM|1VULN|2BEXP|1DMG|1AART	1RCR|29BEXP|3TLV|4DMG|5VULN|6DUR|7AART|8CGEN|aBASARM
16	66232 14233	   	226.40	ACR|1BASARM|1VULN|2BEXP|1DMG|1AART	1RCR|29BEXP|3TLV|4DMG|5VULN|6DUR|7AART|8MLV|aBASARM
17	66232 21533	   	226.40	ACR|1BASARM|1VULN|2BEXP|1DMG|1AART	1RCR|29BEXP|3TLV|4DMG|5VULN|6CGEN|7DUR|8AART|aBASARM
18	61231 62343	   	226.30	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART	1RCR|2DUR|3TLV|4DMG|57BEXP|6ERES|8AART|9VULN|aBASARM
19	66233 22343	   	226.30	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART	1RCR|27BEXP|3TLV|4DMG|5AME|6DUR|8AART|9VULN|aBASARM
20	61536 13332	   	225.87	ACR|3BEXP|2ASPD|1DMG|1CDMG|1AART	1RCR|27DUR|37ASPD|4DMG|5CGEN|679BEXP|7BPWR|8AART|aCDMG
21	61535 13332	   	225.77	ACR|3BEXP|2ASPD|1DMG|1CDMG|1AART	1RCR|27DUR|37ASPD|4DMG|5AME|679BEXP|7BPWR|8AART|aCDMG
22	63113 13531	   	225.09	ACR|1BASARM|2BEXP|1ASPD|1AART|1CDMG	1RCR|2AART|3LWND|4CDMG|5RMIN|6DUST|79BEXP|8BASARM|aASPD
23	63524 23313	 * 	223.59	ACR|3VULN|2BEXP|2AART|1DMG	1RCR|2aAART|35BEXP|458VULN|5BPWR|6RCVC|7AAC|9DMG
24	61524 12332	 * 	223.24	ACR|3BEXP|2ASPD|1VULN|1AART|1CDMG	1RCR|24DUR|34ASPD|4BPWR|5VULN|679BEXP|8AART|aCDMG
25	61352 35113	 * 	221.57	ACR|1BASARM|2VULN|2BEXP|1DMG	1RCR|2DUR|34BEXP|5aVULN|6LIT|7BASARM|8LHND|9DMG
26	63524 13313	   	221.56	ACR|3VULN|2BEXP|2AART|1DMG	1RCR|2aAART|35BEXP|458VULN|5BPWR|6CGEN|7AEMAG|9DMG
27	63524 33313	   	221.56	ACR|3VULN|2BEXP|2AART|1DMG	1RCR|2aAART|35BEXP|458VULN|5BPWR|6MLV|7AEFBLL|9DMG
28	61352 35313	   	221.47	ACR|1BASARM|2VULN|2BEXP|1DMG	1RCR|2DUR|34BEXP|5aVULN|6LIT|7BASARM|8LEGI|9DMG
29	61531 41124	 * 	221.04	ACR|2ASPD|2DMG|2BEXP|1VULN	1RCR|27DUR|38ASPD|47DMG|57BEXP|6MBVNT|7BPWR|9RMIN|aVULN
30	61531 41144	   	221.04	ACR|2ASPD|2DMG|2BEXP|1VULN	1RCR|27DUR|38ASPD|47DMG|57BEXP|6MBVNT|7BPWR|9CGEN|aVULN
31	22311 11134	 * 	220.65	ACR|1BASARM|2DMG|2BEXP|1ASPD	17DMG|2RMIN|3LHND|4RCR|57BEXP|67DUR|7BPWR|8ASPD|9ERES|aBASARM
32	22311 41185	   	220.65	ACR|1BASARM|2DMG|2BEXP|1ASPD	17DMG|2RMIN|37LHND|4RCR|57BEXP|6MBVNT|7BPWR|8ASPD|9CGEN|aBASARM
33	22411 11134	   	220.65	ACR|1BASARM|2DMG|2BEXP|1ASPD	17DMG|2RMIN|3LWND|4RCR|57BEXP|67DUR|7BPWR|8ASPD|9ERES|aBASARM
34	22311 41135	   	220.55	ACR|1BASARM|2DMG|2BEXP|1ASPD	17DMG|2RMIN|37LHND|4RCR|57BEXP|6MBVNT|7BPWR|8ASPD|9ERES|aBASARM
35	22311 41145	   	220.55	ACR|1BASARM|2DMG|2BEXP|1ASPD	17DMG|2RMIN|37LHND|4RCR|57BEXP|6MBVNT|7BPWR|8ASPD|9AME|aBASARM
36	22411 41135	   	220.55	ACR|1BASARM|2DMG|2BEXP|1ASPD	17DMG|2RMIN|37LWND|4RCR|57BEXP|6MBVNT|7BPWR|8ASPD|9ERES|aBASARM
37	22411 41145	   	220.55	ACR|1BASARM|2DMG|2BEXP|1ASPD	17DMG|2RMIN|37LWND|4RCR|57BEXP|6MBVNT|7BPWR|8ASPD|9AME|aBASARM
38	63112 31561	   	220.45	ACR|1BASARM|1VULN|1DMG|2CDMG|1AART	1RCR|2AART|3LWND|47CDMG|5MDPS|6DMG|8BASARM|9VULN|aFEWX
39	63112 31562	   	220.35	ACR|1BASARM|1VULN|1DMG|2CDMG|1AART	1RCR|2AART|3LWND|47CDMG|5MDPS|6DMG|8BASARM|9VULN|aMBVNT
40	63113 13532	   	219.99	ACR|1BASARM|2BEXP|1VULN|1AART|1CDMG	1RCR|2AART|3LWND|4CDMG|5RMIN|6DUST|79BEXP|8BASARM|aVULN
41	25311 45333	 * 	219.81	ACR|3ASPD|3DMG|1BEXP|1AART	19aDMG|29aAME|3LHND|4RCR|5BEXP|6MBVNT|7AART|89aASPD|9aBPWR
42	66531 21322	 * 	219.01	ACR|3ASPD|2BEXP|1DMG|1VULN	1RCR|25BEXP|389ASPD|4DMG|6LHND|7LIT|aVULN
43	66531 31322	   	219.01	ACR|3ASPD|2BEXP|1DMG|1VULN	1RCR|25BEXP|389ASPD|4DMG|6LIT|7LWND|aVULN
