0	Index      	 *	Score 	Summary	Detail	
1	14515 23131	 * 	226.25	ACR|3ASPD|2DMG|1VULN|2CDMG	1RCVC|27CDMG|3RCR|4LHND|578ASPD|67DMG|7BPWR|9DMSP|aVULN
2	14361 23134	 * 	220.94	ACR|2VULN|2ASPD|2DMG|2CDMG	1RCVC|27CDMG|38ASPD|4RCR|57LHND|67DMG|7BPWR|9aVULN
3	14361 23522	 * 	220.16	ACR|2ASPD|2DMG|2BEXP|3CDMG	1RCVC|27aCDMG|3aASPD|4RCR|57LHND|67DMG|7aBPWR|8AAC|9aBEXP
4	14515 23113	   	219.83	ACR|3ASPD|2DMG|2CDMG|1AART	1RCVC|27CDMG|3RCR|4LHND|578ASPD|67DMG|7BPWR|9CGEN|aAART
5	14361 23124	   	217.98	ACR|2ASPD|2DMG|1VULN|2CDMG|1BEXP	1RCVC|27CDMG|38ASPD|4RCR|57LHND|67DMG|7BPWR|9BEXP|aVULN
6	14361 22315	 * 	214.91	ACR|3VULN|2ASPD|1DMG|2CDMG|1SELL	1RCVC|2aCDMG|3aASPD|4RCR|5LHND|6DMG|78aVULN|9SELL|aBPWR
7	14513 43321	 * 	214.87	ACR|1BASARM|2ASPD|1BASICY|1CDMG	1RCVC|2CDMG|3RCR|45LHND|6BASICY|7DUR|8aASPD|9BASARM
8	14361 23125	   	214.02	ACR|2ASPD|2DMG|2BEXP|2CDMG	1RCVC|27CDMG|38ASPD|4RCR|57LHND|67DMG|7BPWR|9aBEXP
9	14515 23313	   	213.63	ACR|2ASPD|2DMG|2CDMG|1BEXP|1AAC	18RCVC|27CDMG|3RCR|4LHND|57ASPD|67DMG|7BPWR|9AAC|aBEXP
10	14361 23114	   	212.64	ACR|2ASPD|2DMG|1VULN|2CDMG|1AAC	1RCVC|27CDMG|38ASPD|4RCR|57LHND|67DMG|7BPWR|9AAC|aVULN
11	14515 23213	   	212.39	ACR|2ASPD|2DMG|2CDMG|1BEXP|1AAC	1RCVC|27CDMG|3RCR|4LHND|57ASPD|67DMG|7BPWR|8AEMAG|9AAC|aBEXP
12	14361 23136	 * 	211.63	ACR|2ASPD|2DMG|3CDMG|1VULN	1RCVC|27aCDMG|38ASPD|4RCR|57LHND|67DMG|7BPWR|9VULN
13	14515 23332	   	210.48	ACR|2ASPD|2DMG|1VULN|2CDMG	18RCVC|27CDMG|3RCR|4LHND|57ASPD|67DMG|7BPWR|9VULN|aFEWX
14	14525 23332	   	210.48	ACR|2ASPD|2DMG|1VULN|2CDMG	18RCVC|27CDMG|3RCR|4DUR|57ASPD|67DMG|7BPWR|9VULN|aFEWX
15	14515 23331	   	210.38	ACR|2ASPD|2DMG|1VULN|2CDMG	18RCVC|27CDMG|3RCR|4LHND|57ASPD|67DMG|7BPWR|9VULN|aTLV
16	14515 23333	   	210.38	ACR|2ASPD|2DMG|1VULN|2CDMG	18RCVC|27CDMG|3RCR|4LHND|57ASPD|67DMG|7BPWR|9VULN|aERES
17	14525 23331	   	210.38	ACR|2ASPD|2DMG|1VULN|2CDMG	18RCVC|27CDMG|3RCR|4DUR|57ASPD|67DMG|7BPWR|9VULN|aTLV
18	14525 23333	   	210.38	ACR|2ASPD|2DMG|1VULN|2CDMG	18RCVC|27CDMG|3RCR|4DUR|57ASPD|67DMG|7BPWR|9VULN|aERES
19	14361 23115	   	209.49	ACR|3ASPD|2DMG|2CDMG|1AAC	1RCVC|27CDMG|38aASPD|4RCR|57LHND|67DMG|7BPWR|9AAC
20	14515 23232	   	209.23	ACR|2ASPD|2DMG|1VULN|2CDMG	1RCVC|27CDMG|3RCR|4LHND|57ASPD|67DMG|7BPWR|8AEMAG|9VULN|aFEWX
21	14525 23232	   	209.23	ACR|2ASPD|2DMG|1VULN|2CDMG	1RCVC|27CDMG|3RCR|4DUR|57ASPD|67DMG|7BPWR|8AEMAG|9VULN|aFEWX
22	14515 23231	   	209.13	ACR|2DMG|2ASPD|1VULN|2CDMG	1RCVC|27CDMG|3RCR|4LHND|57ASPD|67DMG|7BPWR|8AEMAG|9VULN|aTLV
