0	Index      	 *	Score 	Summary	Detail	
1	15332 52362	 * 	238.81	ACR|2BASARM|3BEXP|1ASPD|1DMG	19TLV|2RCR|3FEWX|469BEXP|5CGEN|7DMG|89BASARM|9BPWR|aASPD
2	12641 11422	 * 	230.67	ACR|1BASARM|2ASPD|2VULN|1DMG|1AART	1TLV|26VULN|3RCR|46ASPD|5DMSP|6BPWR|7AART|8DMG|9LIT|aBASARM
3	15332 52363	   	227.05	ACR|2BASARM|3BEXP|1DMG|1AAC	19TLV|2RCR|3FEWX|469BEXP|5CGEN|7DMG|89BASARM|9BPWR|aAAC
4	15143 32532	 * 	226.99	ACR|2ASPD|2DMG|2BEXP|1CDMG|1AART	18TLV|2RCR|3aBEXP|48ASPD|5CDMG|6FEWX|78DMG|8BPWR|9AART
5	15112 52353	 * 	224.03	ACR|1BASARM|2DMG|2BEXP|1CDMG	1TLV|2RCR|36BEXP|4FEWX|5CGEN|79DMG|8BASARM|aCDMG
6	15332 52353	   	224.03	ACR|1BASARM|2DMG|2BEXP|1CDMG	1TLV|2RCR|3FEWX|46BEXP|5CGEN|79DMG|8BASARM|aCDMG
7	15222 26241	 * 	222.55	ACR|1BASARM|2DMG|1ASPD|1BEXP	1TLV|2RCR|35DMG|4CGEN|6FEWX|7ASPD|8BEXP|9BASARM|aVULN
8	15232 26241	   	222.45	ACR|1BASARM|2DMG|1ASPD|1BEXP	1TLV|2RCR|35DMG|4ERES|6FEWX|7ASPD|8BEXP|9BASARM|aVULN
9	15236 33241	   	222.35	ACR|1BASARM|2ASPD|1DMG|1BEXP	1TLV|2RCR|3DMG|4ERES|5BEXP|68ASPD|7DUST|9BASARM|aVULN
10	15112 52363	   	221.13	ACR|2BASARM|2BEXP|1DMG|1CDMG	19TLV|2RCR|36BEXP|49FEWX|5CGEN|7DMG|89BASARM|9BPWR|aCDMG
11	15332 62363	   	221.13	ACR|2BASARM|2BEXP|1DMG|1CDMG	19TLV|2RCR|36FEWX|49BEXP|5CGEN|7DMG|89BASARM|9BPWR|aCDMG
12	15316 12363	   	221.03	ACR|2BASARM|2BEXP|1DMG|1CDMG	19TLV|2RCR|34FEWX|59BEXP|6ERES|7DMG|89BASARM|9BPWR|aCDMG
13	15316 22363	   	221.03	ACR|2BASARM|2BEXP|1DMG|1CDMG	19TLV|2RCR|34FEWX|59BEXP|6AME|7DMG|89BASARM|9BPWR|aCDMG
14	22633 24331	 * 	219.99	ACR|1BASARM|3VULN|2BEXP|1ASPD	1RMIN|27FEWX|3RCR|47BEXP|57aVULN|6DMSP|7BPWR|8BASARM|9ASPD
15	22633 24351	 * 	219.99	ACR|1BASARM|3VULN|2BEXP|1DMG	1RMIN|27FEWX|3RCR|47BEXP|57aVULN|6DMSP|7BPWR|8BASARM|9DMG
16	23613 24331	   	219.99	ACR|1BASARM|3VULN|2BEXP|1ASPD	1RMIN|27BEXP|3RCR|47FEWX|57aVULN|6DMSP|7BPWR|8BASARM|9ASPD
17	23613 24351	   	219.99	ACR|1BASARM|3VULN|2BEXP|1DMG	1RMIN|27BEXP|3RCR|47FEWX|57aVULN|6DMSP|7BPWR|8BASARM|9DMG
18	15113 62232	 * 	219.75	ACR|2ASPD|2DMG|2BEXP|2VULN	1TLV|2RCR|3aBEXP|4FEWX|57VULN|6aASPD|8LWND|9aDMG|aBPWR
19	15133 62432	   	219.75	ACR|2ASPD|2DMG|2BEXP|2VULN	1TLV|2RCR|3aBEXP|4LHND|57VULN|6aASPD|8FEWX|9aDMG|aBPWR
20	45113 62232	   	219.75	ACR|2ASPD|2DMG|2BEXP|2VULN	1AME|2RCR|3aBEXP|4FEWX|57VULN|6aASPD|8LWND|9aDMG|aBPWR
21	15222 12246	 * 	219.55	ACR|1BASARM|2ASPD|2DMG	1TLV|2RCR|35DMG|4CGEN|6DUR|7LHND|8aASPD|9BASARM
22	15232 12246	   	219.45	ACR|1BASARM|2ASPD|2DMG	1TLV|2RCR|35DMG|4ERES|6DUR|7LHND|8aASPD|9BASARM
23	15332 52361	   	218.74	ACR|2BASARM|3BEXP|1DMG	19TLV|2RCR|3aFEWX|469BEXP|5CGEN|7DMG|89BASARM|9BPWR
24	15222 26242	   	215.61	ACR|1BASARM|2DMG|1ASPD|1BEXP	1TLV|2RCR|35DMG|4CGEN|6FEWX|7ASPD|8BEXP|9BASARM|aRPLT
25	15336 12362	   	215.58	ACR|2BASARM|2BEXP|1DMG|1AAC	159TLV|2RCR|3FEWX|49BEXP|6ERES|7DMG|89BASARM|9BPWR|aAAC
26	15336 22362	   	215.58	ACR|2BASARM|2BEXP|1DMG|1AAC	159TLV|2RCR|3FEWX|49BEXP|6AME|7DMG|89BASARM|9BPWR|aAAC
27	15232 26242	   	215.51	ACR|1BASARM|2DMG|1ASPD|1BEXP	1TLV|2RCR|35DMG|4ERES|6FEWX|7ASPD|8BEXP|9BASARM|aRPLT
28	15232 51422	   	215.51	ACR|1BASARM|2DMG|1ASPD|1AART	1TLV|2RCR|35DMG|4ERES|6CGEN|7AART|8ASPD|9LIT|aBASARM
29	15222 26243	   	215.51	ACR|1BASARM|2DMG|1ASPD|1BEXP	1aTLV|2RCR|35DMG|4CGEN|6FEWX|7ASPD|8BEXP|9BASARM
30	15222 31422	   	215.51	ACR|1BASARM|2DMG|1ASPD|1AART	1TLV|2RCR|35DMG|4CGEN|6ERES|7AART|8ASPD|9LIT|aBASARM
31	15522 11422	   	215.51	ACR|1BASARM|2DMG|1ASPD|1AART	16TLV|2RCR|3ERES|4CGEN|56DMG|6BPWR|7AART|8ASPD|9LIT|aBASARM
32	15232 26243	   	215.41	ACR|1BASARM|2DMG|1ASPD|1BEXP	1aTLV|2RCR|35DMG|4ERES|6FEWX|7ASPD|8BEXP|9BASARM
33	15236 33242	   	215.41	ACR|1BASARM|2ASPD|1DMG|1BEXP	1TLV|2RCR|3DMG|4ERES|5BEXP|68ASPD|7DUST|9BASARM|aRPLT
34	15236 33243	   	215.31	ACR|1BASARM|2ASPD|1DMG|1BEXP	1aTLV|2RCR|3DMG|4ERES|5BEXP|68ASPD|7DUST|9BASARM
35	23633 65332	   	214.80	ACR|1BASARM|2BEXP|1ASPD|1DMG	1RMIN|2aBEXP|3RCR|4LHND|5VULN|6ASPD|7DUST|8BASARM|9DMG
36	23634 62332	   	214.80	ACR|1BASARM|2BEXP|1ASPD|1DMG	1RMIN|2aBEXP|3RCR|4LHND|5DUST|6ASPD|7VULN|8BASARM|9DMG
