0	Index      	 *	Score 	Summary	Detail	
1	14263 33311	 * 	251.11	ACR|3VULN|2ASPD|2DMG|1AART|1CDMG	1aASPD|2aDMG|3RCR|4CDMG|5AART|678VULN|9aLIT|aBPWR
2	14211 21314	 * 	249.72	ACR|2VULN|2ASPD|2DMG|2CDMG|1AART|1AAC	19ASPD|29DMG|3RCR|48VULN|5LIT|6AAC|79CDMG|9BPWR|aAART
3	14263 35321	 * 	244.38	ACR|3ASPD|2VULN|1DMG|2CDMG|1AART	18aASPD|2DMG|3RCR|48CDMG|5AART|68VULN|7MDPS|8BPWR|9LWND
4	14263 35311	   	244.28	ACR|3ASPD|2VULN|1DMG|2CDMG|1AART	18aASPD|2DMG|3RCR|48CDMG|5AART|68VULN|7MDPS|8BPWR|9MBVNT
5	14266 33212	 * 	243.02	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP|1CDMG	1ASPD|2aDMG|3RCR|4CDMG|5LIT|6TLV|7BEXP|8BASARM|9VULN
6	52262 11351	   	242.58	ACR|3ASPD|2VULN|1DMG|2CDMG|1AART	19MLV|259ASPD|3RCR|45CDMG|59BPWR|6FEWX|7AART|89VULN|aDMG
7	52262 32351	   	242.58	ACR|3ASPD|2VULN|1DMG|2CDMG|1AART	19MLV|259ASPD|3RCR|45CDMG|59BPWR|6LHND|7AART|89VULN|aDMG
8	14263 35332	   	241.98	ACR|2VULN|2ASPD|1DMG|2CDMG|1AART|1BEXP	18ASPD|2DMG|3RCR|48CDMG|5AART|68VULN|7MDPS|8BPWR|9RCVC|aBEXP
9	14211 61314	   	241.41	ACR|2VULN|2ASPD|2DMG|2CDMG|1AART	19ASPD|29DMG|3RCR|48VULN|5LIT|6RMIN|79CDMG|9BPWR|aAART
10	11263 35353	 * 	239.73	ACR|3VULN|2ASPD|1DMG|2CDMG|1AART	18ASPD|2ZMB|3RCR|48CDMG|5AART|689VULN|7MDPS|8BPWR|aDMG
11	14263 33334	 * 	239.63	ACR|4VULN|2DMG|1ASPD|1AART|1CDMG	1ASPD|29DMG|3RCR|4CDMG|5AART|678aVULN
12	14261 22334	 * 	239.10	ACR|1BASARM|2DMG|2BEXP|1ASPD|1CDMG	1ASPD|29DMG|3RCR|4CDMG|5DUST|6aBEXP|7CGEN|8BASARM
13	14215 33324	   	236.31	ACR|2VULN|2ASPD|2DMG|2CDMG|1BEXP	18ASPD|28DMG|3RCR|49VULN|5TLV|68CDMG|7DMSP|8BPWR|aBEXP
14	11263 35343	   	235.03	ACR|2VULN|2ASPD|1DMG|2CDMG|1AART|1AAC	18ASPD|2ZMB|3RCR|48CDMG|5AART|68VULN|7MDPS|8BPWR|9DMG|aAAC
15	14215 33325	 * 	234.67	ACR|3VULN|2ASPD|2DMG|2CDMG	18ASPD|28DMG|3RCR|49aVULN|5TLV|68CDMG|7DMSP|8BPWR
16	14263 22136	 * 	234.63	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP|1CDMG|1AAC	1ASPD|2DMG|3RCR|4CDMG|5AART|6DUST|7RPLT|8AAC|9BASARM|aBEXP
17	52263 11351	   	234.17	ACR|3ASPD|2VULN|1DMG|1AART|1CDMG	19MLV|259ASPD|3RCR|4CDMG|6FEWX|7AART|89VULN|9BPWR|aDMG
18	52263 32351	   	234.17	ACR|3ASPD|2VULN|1DMG|1AART|1CDMG	19MLV|259ASPD|3RCR|4CDMG|6LHND|7AART|89VULN|9BPWR|aDMG
19	14221 14622	 * 	233.41	ACR|1BASARM|2ASPD|2DMG|1VULN	16ASPD|2aDMG|3RCR|4AME|56LIT|6BPWR|7BASARM|8VULN|9RPLT
20	14231 14622	   	233.41	ACR|1BASARM|2ASPD|2DMG|1VULN	16ASPD|2aDMG|3RCR|4TLV|56LIT|6BPWR|7BASARM|8VULN|9RPLT
21	54213 23361	 * 	232.84	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1BEXP	1MLV|2DMG|3RCR|4VULN|5AART|6FEWX|7BASARM|8BEXP|9ASPD|aRCVC
22	14221 14142	 * 	232.67	ACR|3ASPD|1BASARM|1DMG|2CDMG	169ASPD|2DMG|3RCR|4AME|56LIT|6BPWR|7BASARM|8aCDMG
23	14231 14142	   	232.67	ACR|3ASPD|1BASARM|1DMG|2CDMG	169ASPD|2DMG|3RCR|4TLV|56LIT|6BPWR|7BASARM|8aCDMG
24	14264 22313	   	232.66	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG|1AAC	1ASPD|2aDMG|3RCR|4CDMG|5FEWX|6BEXP|7CGEN|8BASARM|9AAC
25	14211 21313	   	232.37	ACR|2VULN|2ASPD|2DMG|2CDMG|1AAC	19ASPD|29DMG|3RCR|48VULN|5LIT|6AAC|79CDMG|9BPWR|aRCVC
26	54263 12313	 * 	232.10	ACR|3DMG|2VULN|2ASPD|1CDMG	18MLV|28aDMG|3RCR|4CDMG|56ASPD|78VULN|8BPWR|9RMIN
