0	Index      	 *	Score 	Summary	Detail	
1	11387 42171	 * 	211.43	ACR|1BASARM|2DMG|2BEXP|2AAC	1MDPS|2DLOT|3MBVNT|49BEXP|5RCR|68AAC|79DMG|9BPWR|aBASARM
2	11387 44171	 * 	211.43	ACR|1BASARM|2ASPD|2BEXP|2AAC	1MDPS|2DLOT|3MBVNT|49BEXP|5RCR|68AAC|79ASPD|9BPWR|aBASARM
3	51363 13412	 * 	206.11	ACR|1BASARM|2DMG|1VULN|1CDMG	1DUR|2MDPS|3VULN|4RCR|5RCVC|6CGEN|7aDMG|8BASARM|9CDMG
4	51361 14121	 * 	202.07	ACR|1BASARM|2ASPD|1VULN|1BEXP|1SELL	1DUR|2MDPS|3VULN|4RCR|5aASPD|6BEXP|7BASARM|8SELL|9FEWX
5	13644 12332	 * 	200.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	1MDPS|29ASPD|3DMG|4DUR|5RCR|6CGEN|7LHND|8BEXP|aBASARM
6	21554 11332	   	200.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	1DUST|2MDPS|3DMG|49ASPD|5RCR|6CGEN|7DUR|8BEXP|aBASARM
7	51361 26112	 * 	200.11	ACR|3ASPD|1VULN|2BEXP|1CDMG	1aDUR|2MDPS|3VULN|4RCR|57aASPD|6AEMAG|8CDMG|9aBEXP|aBPWR
8	51361 36112	   	200.11	ACR|3ASPD|1VULN|2BEXP|1CDMG	1aDUR|2MDPS|3VULN|4RCR|57aASPD|6AEFBLL|8CDMG|9aBEXP|aBPWR
9	11262 12643	 * 	199.66	ACR|1BASARM|2AART|1VULN|1BEXP	1MDPS|2DLOT|3LIT|4RCR|5VULN|6FEWX|78AART|9BASARM|aBEXP
10	13374 42537	 * 	197.27	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1MDPS|2ASPD|3MBVNT|4RMIN|5RCR|6BELT|7VULN|8CDMG|9AART|aBASARM
11	13374 74337	   	197.27	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1MDPS|2ASPD|3MBVNT|4RMIN|5RCR|6CDMG|7VULN|8BELT|9AART|aBASARM
12	11262 52243	 * 	196.95	ACR|1BASARM|2BEXP|1VULN|1AART	1MDPS|2DLOT|3LIT|4RCR|5VULN|6aBEXP|7AART|8AEMAG|9BASARM
13	11264 32243	   	196.95	ACR|1BASARM|2BEXP|1VULN|1AART	1MDPS|2DLOT|3LIT|4RCR|5aBEXP|6VULN|7AART|8AEMAG|9BASARM
14	21165 13412	   	196.23	ACR|1BASARM|1VULN|1DMG|1CDMG|1AAC	1DUST|2MDPS|3RCVC|4RCR|5ERES|6VULN|7AAC|8BASARM|9CDMG|aDMG
15	33112 23464	   	195.23	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1SELL	1LWND|2ASPD|3SELL|4VULN|5RCR|6CGEN|7BELT|8BEXP|9BASARM|aAART
16	33322 23464	   	195.23	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1SELL	1LWND|2ASPD|3VULN|4SELL|5RCR|6CGEN|7BELT|8BEXP|9BASARM|aAART
17	33112 13464	   	195.13	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1SELL	1LWND|2ASPD|3SELL|4VULN|5RCR|6ERES|7BELT|8BEXP|9BASARM|aAART
18	33322 13464	   	195.13	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1SELL	1LWND|2ASPD|3VULN|4SELL|5RCR|6ERES|7BELT|8BEXP|9BASARM|aAART
19	23522 42631	 * 	194.67	ACR|3BEXP|2DMG|1ASPD|1AART|1SELL	19DUST|2ASPD|39aBEXP|4SELL|5RCR|6MDPS|79DMG|8AART|9BPWR
20	21161 53321	 * 	194.32	ACR|1BASARM|1ASPD|1DMG|1AART	1DUST|2MDPS|3RCVC|4RCR|5ASPD|6DMSP|7DMG|8AART|9DUR|aBASARM
21	21161 53361	   	194.32	ACR|1BASARM|1ASPD|1DMG|1AART	1DUST|2MDPS|3RCVC|4RCR|5ASPD|6DMSP|7DMG|8AART|9LHND|aBASARM
22	21161 43321	   	194.22	ACR|1BASARM|1ASPD|1DMG|1AART	16DUST|2MDPS|3RCVC|4RCR|5ASPD|7DMG|8AART|9DUR|aBASARM
23	21161 43361	   	194.22	ACR|1BASARM|1ASPD|1DMG|1AART	16DUST|2MDPS|3RCVC|4RCR|5ASPD|7DMG|8AART|9LHND|aBASARM
24	21163 13321	   	194.22	ACR|1BASARM|1ASPD|1DMG|1AART	15DUST|2MDPS|3RCVC|4RCR|6ASPD|7DMG|8AART|9DUR|aBASARM
25	21163 13361	   	194.22	ACR|1BASARM|1ASPD|1DMG|1AART	15DUST|2MDPS|3RCVC|4RCR|6ASPD|7DMG|8AART|9LHND|aBASARM
26	21161 53311	   	194.22	ACR|1BASARM|1ASPD|1DMG|1AART	1DUST|2MDPS|3RCVC|4RCR|5ASPD|6DMSP|7DMG|8AART|9MBVNT|aBASARM
27	21161 43311	   	194.12	ACR|1BASARM|1ASPD|1DMG|1AART	16DUST|2MDPS|3RCVC|4RCR|5ASPD|7DMG|8AART|9MBVNT|aBASARM
28	21163 13311	   	194.12	ACR|1BASARM|1ASPD|1DMG|1AART	15DUST|2MDPS|3RCVC|4RCR|6ASPD|7DMG|8AART|9MBVNT|aBASARM
