0	Index      	 *	Score 	Summary	Detail	
1	35416 22323	 * 	221.92	ACR|1BASARM|1ASPD|1BASICY|1AART|1CDMG|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|7LHND|8VULN|9AART|aBASICY
2	35416 21213	 * 	220.34	ACR|1BASARM|2ASPD|2AAC|1CDMG|1AART	1aAAC|2DLOT|3RCR|48ASPD|5BASARM|6CDMG|7RMIN|9AART
3	35416 23213	   	220.34	ACR|1BASARM|2ASPD|2AAC|1CDMG|1AART	1aAAC|2DLOT|3RCR|48ASPD|5BASARM|6CDMG|7ZMB|9AART
4	35416 21222	 * 	218.91	ACR|1BASARM|2ASPD|1DMG|1CDMG|1AAC	1AAC|2DLOT|3RCR|48ASPD|5BASARM|6CDMG|7RMIN|9ZMB|aDMG
5	35416 21232	   	218.81	ACR|1BASARM|2ASPD|1DMG|1CDMG|1AAC	1AAC|2DLOT|3RCR|48ASPD|5BASARM|6CDMG|7RMIN|9ERES|aDMG
6	35411 14133	 * 	216.16	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AAC	1AAC|2DLOT|3RCR|4ASPD|58MLV|67BEXP|9DMG|aBASARM
7	45371 12412	   	215.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	18LIT|2RCR|3MBVNT|47ASPD|5SNIFST|6BEXP|9DMG|aBASARM
8	35416 22322	 * 	214.31	ACR|1BASARM|2AART|1ASPD|1CDMG|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|7LHND|8VULN|9aAART
9	35416 12122	 * 	213.11	ACR|1BASARM|2ASPD|1DMG|2AAC	17AAC|2DLOT|3RCR|48ASPD|5BASARM|6FEWX|9DMG|aLIT
10	35416 12123	   	213.11	ACR|1BASARM|2ASPD|1DMG|2AAC	17AAC|2DLOT|3RCR|48ASPD|5BASARM|6FEWX|9DMG|aBELT
11	35416 12121	   	213.01	ACR|1BASARM|2ASPD|1DMG|2AAC	17AAC|2DLOT|3RCR|48ASPD|5BASARM|6FEWX|9DMG|aDUST
12	35416 21211	   	212.50	ACR|1BASARM|2ASPD|1CDMG|1AART|1AAC	1AAC|2DLOT|3RCR|48ASPD|5BASARM|6CDMG|7RMIN|9AART|aDUR
13	35416 23211	   	212.50	ACR|1BASARM|2ASPD|1CDMG|1AART|1AAC	1AAC|2DLOT|3RCR|48ASPD|5BASARM|6CDMG|7ZMB|9AART|aDUR
14	35416 21212	   	212.40	ACR|1BASARM|2ASPD|1CDMG|1AART|1AAC	1AAC|2DLOT|3RCR|48ASPD|5BASARM|6CDMG|7RMIN|9AART|aDUST
15	35416 23212	   	212.40	ACR|1BASARM|2ASPD|1CDMG|1AART|1AAC	1AAC|2DLOT|3RCR|48ASPD|5BASARM|6CDMG|7ZMB|9AART|aDUST
16	45314 83344	   	211.57	ACR|1BASARM|1ASPD|1DMG|1AART|1CDMG	1LIT|2RCR|3MBVNT|4CGEN|5ASPD|6DMG|7BASARM|8DUST|9AART|aCDMG
17	34314 23363	   	210.92	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AAC|1SELL	1AAC|2SELL|3LIT|4RCR|5ASPD|6BASARM|7MDPS|8DMG|9aBEXP
18	35416 13212	   	209.65	ACR|1BASARM|2BEXP|1ASPD|1CDMG|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6FEWX|7DUST|8CDMG|9aBEXP
19	35416 22222	   	207.37	ACR|1BASARM|2AART|1ASPD|1CDMG|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|7LHND|8FEWX|9aAART
20	45343 23173	   	206.24	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1LIT|2RCR|3MBVNT|4AEFBLL|5CDMG|6BASARM|7MDPS|8ASPD|9aBEXP
21	35416 11122	   	205.26	ACR|1BASARM|2ASPD|1DMG|1AAC	1AAC|2DLOT|3RCR|48ASPD|5BASARM|67FEWX|9DMG|aLIT
22	35416 11123	   	205.26	ACR|1BASARM|2ASPD|1DMG|1AAC	1AAC|2DLOT|3RCR|48ASPD|5BASARM|67FEWX|9DMG|aBELT
23	35416 11121	   	205.16	ACR|1BASARM|2ASPD|1DMG|1AAC	1AAC|2DLOT|3RCR|48ASPD|5BASARM|67FEWX|9DMG|aDUST
24	35416 21223	 * 	205.16	ACR|1BASARM|2ASPD|2CDMG|1AAC	1AAC|2DLOT|3RCR|48ASPD|5BASARM|6aCDMG|7RMIN|9ZMB
25	35416 21233	   	205.06	ACR|1BASARM|2ASPD|2CDMG|1AAC	1AAC|2DLOT|3RCR|48ASPD|5BASARM|6aCDMG|7RMIN|9ERES
