0	Index      	 *	Score 	Summary	Detail	
1	14413 12352	 * 	256.22	ACR|3ASPD|3DMG|1VULN|1BEXP|1AART	1RCR|2RPLT|357ASPD|478DMG|6AART|78BPWR|9VULN|aBEXP
2	14413 11226	 * 	253.75	ACR|2VULN|1BASARM|2ASPD|1DMG|1AART	1RCR|2RPLT|35ASPD|4DMG|6AART|7SPLREG|89VULN|aBASARM
3	16116 33114	 * 	253.34	ACR|3ASPD|2VULN|2DMG|2BEXP|1SELL	1RCR|2aVULN|3SELL|479ASPD|5aDMG|6MBVNT|8aBEXP|aBPWR
4	16116 63314	 * 	253.34	ACR|3ASPD|2VULN|2DMG|2BEXP|1SELL	1RCR|2aVULN|3SELL|479ASPD|5aDMG|6aBEXP|8MBVNT|aBPWR
5	14122 15361	 * 	252.53	ACR|4VULN|2ASPD|2DMG|1BASICY	1RCR|2RPLT|3MDPS|48DMG|568aVULN|78ASPD|8BPWR|9BASICY
6	12116 12341	 * 	252.01	ACR|2ASPD|2DMG|2BEXP|1VULN|1AART|1CDMG|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|6AART|7BPWR|8LIT|9CDMG|aVULN
7	12116 12536	 * 	250.85	ACR|2ASPD|2DMG|2BEXP|2AART|1VULN|1SELL	1RCR|27BEXP|3SELL|47ASPD|57DMG|69AART|7BPWR|8DUR|aVULN
8	14413 14122	   	248.01	ACR|1BASARM|2ASPD|1DMG|1BEXP|1AART|1CDMG	1RCR|2RPLT|35ASPD|4DMG|6AART|7CDMG|8RMIN|9BASARM|aBEXP
9	12116 11216	 * 	247.51	ACR|1BASARM|2BEXP|1VULN|1ASPD|1DMG|1AART|1SELL	1RCR|29BEXP|3SELL|4ASPD|5DMG|6AART|7SPLREG|8VULN|aBASARM
10	12116 14122	 * 	245.01	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG|1AART|1SELL	1RCR|2aBEXP|3SELL|4ASPD|5DMG|6AART|7CDMG|8RMIN|9BASARM
11	16116 33344	 * 	242.68	ACR|3ASPD|3DMG|2VULN|1SELL	1RCR|2aVULN|3SELL|478ASPD|59aDMG|6MBVNT|aBPWR
12	14413 12353	   	242.57	ACR|3ASPD|3DMG|1VULN|1AART	1RCR|2RPLT|357ASPD|478DMG|6AART|78BPWR|9VULN|aLHND
13	14413 12316	   	242.47	ACR|3ASPD|3DMG|1VULN|1AART	1RCR|2RPLT|357ASPD|478DMG|6AART|78BPWR|9AEMAG|aVULN
14	14413 12325	   	242.47	ACR|3ASPD|3DMG|1VULN|1AART	1RCR|2RPLT|357ASPD|478DMG|6AART|78BPWR|9MSLTOX|aVULN
15	14413 16332	 * 	241.14	ACR|1BASARM|2ASPD|3AART|1DMG	1RCR|2RPLT|35ASPD|4DMG|689AART|7ERES|aBASARM
16	14122 15362	   	240.33	ACR|3VULN|2ASPD|2DMG|1BASICY	1RCR|2RPLT|3MDPS|48DMG|568VULN|78ASPD|8BPWR|9BASICY|aERES
17	14122 15363	   	240.33	ACR|3VULN|2ASPD|2DMG|1BASICY	1RCR|2RPLT|3MDPS|48DMG|568VULN|78ASPD|8BPWR|9BASICY|aLEGI
18	12535 62222	 * 	240.20	ACR|1BASARM|3BEXP|2ASPD|1CDMG	1RCR|236BEXP|47ASPD|57ERES|7BPWR|8CDMG|9MDPS|aBASARM
19	11116 34385	 * 	240.15	ACR|3ASPD|1BASARM|2DMG|1SELL	1RCR|29LWND|3SELL|489ASPD|59DMG|6MBVNT|7DMSP|9BPWR|aBASARM
20	11116 33345	 * 	239.95	ACR|3ASPD|1BASARM|2DMG|1SELL	1RCR|2LWND|3SELL|478ASPD|59DMG|6MBVNT|aBASARM
21	14413 12123	 * 	239.40	ACR|3ASPD|2DMG|1VULN|2AART	1RCR|29RPLT|357ASPD|47DMG|6aAART|7BPWR|8VULN
