0	Index      	 *	Score 	Summary	Detail	
1	43262 12313	 * 	226.69	ACR|1BASARM|2ASPD|2BEXP|2AART	16AART|28BEXP|3DUST|4RCR|58FEWX|78ASPD|8BPWR|9RPLT|aBASARM
2	43265 11123	 * 	224.88	ACR|2BASARM|2BEXP|1DMG|1AART|1CDMG	1AART|27BEXP|3DUST|4RCR|57BASARM|67LIT|7BPWR|8MLV|9CDMG|aDMG
3	43165 11223	   	211.75	ACR|2BASARM|2BEXP|1AART|1CDMG	1AART|27BEXP|3FEWX|4RCR|57BASARM|67LIT|7BPWR|8MBVNT|9VULN|aCDMG
4	43265 11223	   	211.65	ACR|2BASARM|2BEXP|1AART|1CDMG	1AART|27BEXP|3DUST|4RCR|57BASARM|67LIT|7BPWR|8MBVNT|9VULN|aCDMG
5	43262 12513	   	211.65	ACR|1BASARM|2ASPD|2AART|1BEXP	16AART|2BEXP|3DUST|4RCR|5FEWX|78ASPD|9RPLT|aBASARM
6	43165 11132	 * 	211.33	ACR|2BASARM|2BEXP|1ASPD|1AART	1AART|27BEXP|3FEWX|4RCR|57BASARM|67LIT|7BPWR|8MLV|9DMSP|aASPD
7	43265 11132	   	211.23	ACR|2BASARM|2BEXP|1ASPD|1AART	1AART|27BEXP|3DUST|4RCR|57BASARM|67LIT|7BPWR|8MLV|9DMSP|aASPD
8	43165 11242	   	211.13	ACR|2BASARM|2BEXP|1ASPD|1AART	1AART|27BEXP|3FEWX|4RCR|57BASARM|67LIT|7BPWR|8MBVNT|9MDPS|aASPD
9	43265 11242	   	211.03	ACR|2BASARM|2BEXP|1ASPD|1AART	1AART|27BEXP|3DUST|4RCR|57BASARM|67LIT|7BPWR|8MBVNT|9MDPS|aASPD
10	43265 13123	   	210.09	ACR|1BASARM|2BEXP|1DMG|1AART|1CDMG	1AART|27BEXP|3DUST|4RCR|5BASARM|6LIT|8MLV|9CDMG|aDMG
11	43262 12353	 * 	209.57	ACR|3BEXP|2ASPD|2AART|1DMG	16AART|28aBEXP|3DUST|4RCR|58FEWX|78ASPD|8BPWR|9DMG
12	43262 12163	   	208.90	ACR|1BASARM|2BEXP|2AART|1ASPD	16AART|29BEXP|3DUST|4RCR|5FEWX|7ASPD|8DUR|aBASARM
13	43165 11111	   	206.51	ACR|2BASARM|2BEXP|1AART|1AAC	1AART|27BEXP|3FEWX|4RCR|57BASARM|67LIT|7BPWR|8MLV|9AAC|aVULN
14	43265 11111	   	206.41	ACR|2BASARM|2BEXP|1AART|1AAC	1AART|27BEXP|3DUST|4RCR|57BASARM|67LIT|7BPWR|8MLV|9AAC|aVULN
15	43165 11122	   	204.92	ACR|2BASARM|2BEXP|1AART|1CDMG	1AART|27BEXP|3FEWX|4RCR|57BASARM|67LIT|7BPWR|8MLV|9CDMG|aDUR
16	43165 11123	   	204.92	ACR|2BASARM|2BEXP|1AART|1CDMG	1AART|27BEXP|3FEWX|4RCR|57BASARM|67LIT|7BPWR|8aMLV|9CDMG
17	43165 11121	   	204.82	ACR|2BASARM|2BEXP|1AART|1CDMG	1AART|27BEXP|3FEWX|4RCR|57BASARM|67LIT|7BPWR|8MLV|9CDMG|aDUST
18	43165 11213	   	204.82	ACR|2BASARM|2BEXP|1AART|1CDMG	1AART|27BEXP|3FEWX|4RCR|57BASARM|67LIT|7BPWR|8MBVNT|9LWND|aCDMG
19	43265 11122	   	204.82	ACR|2BASARM|2BEXP|1AART|1CDMG	1AART|27BEXP|3DUST|4RCR|57BASARM|67LIT|7BPWR|8MLV|9CDMG|aDUR
20	43265 11121	   	204.72	ACR|2BASARM|2BEXP|1AART|1CDMG	1AART|27BEXP|3aDUST|4RCR|57BASARM|67LIT|7BPWR|8MLV|9CDMG
21	43265 11213	   	204.72	ACR|2BASARM|2BEXP|1AART|1CDMG	1AART|27BEXP|3DUST|4RCR|57BASARM|67LIT|7BPWR|8MBVNT|9LWND|aCDMG
22	31212 43325	 * 	203.08	ACR|1BASARM|2VULN|1ASPD|1DMG|1CDMG	1LHND|2CDMG|3ZMB|47VULN|5RCR|6BASARM|8FEWX|9DMG|aASPD
23	31212 43425	   	203.08	ACR|1BASARM|2VULN|1ASPD|1DMG|1CDMG	1LHND|2CDMG|3ZMB|47VULN|5RCR|6BASARM|8DUR|9DMG|aASPD
24	31212 44125	   	203.08	ACR|1BASARM|2VULN|1ASPD|1DMG|1CDMG	1LHND|2CDMG|3ZMB|48VULN|5RCR|6BASARM|7LWND|9DMG|aASPD
25	31212 43125	   	202.98	ACR|1BASARM|2VULN|1ASPD|1DMG|1CDMG	1LHND|2CDMG|3ZMB|47VULN|5RCR|6BASARM|8DUST|9DMG|aASPD
26	51212 43421	 * 	202.09	ACR|1BASARM|3VULN|1BEXP|1AART|1CDMG	1DUST|2CDMG|3ZMB|47aVULN|5RCR|6BASARM|8AART|9BEXP
27	43165 32212	   	201.67	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1AART|2BEXP|3FEWX|4RCR|5BASARM|6AME|7LHND|8LWND|9ASPD|aDMG
28	43165 32312	   	201.67	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1AART|2BEXP|3FEWX|4RCR|5BASARM|6AME|7LHND|8DUR|9ASPD|aDMG
29	43165 33212	   	201.67	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1AART|2BEXP|3FEWX|4RCR|5BASARM|6AME|7DUR|8LWND|9ASPD|aDMG
30	31212 43345	 * 	200.61	ACR|1BASARM|2ASPD|2VULN|1CDMG	1LHND|2CDMG|3ZMB|47VULN|5RCR|6BASARM|8FEWX|9aASPD
31	31212 43145	   	200.51	ACR|1BASARM|2ASPD|2VULN|1CDMG	1LHND|2CDMG|3ZMB|47VULN|5RCR|6BASARM|8DUST|9aASPD
