0	Index      	 *	Score 	Summary	Detail	
1	36312 13535	 * 	208.40	ACR|1BASARM|2ASPD|1AART|1BEXP|1AAC	1TLV|2ERES|3LHND|4RCR|5BEXP|6AAC|78ASPD|9BASARM|aAART
2	53146 11232	 * 	206.36	ACR|3VULN|1BASARM|1ASPD|1BEXP	1MLV|2MDPS|3RCR|469VULN|5BEXP|7BELT|8ASPD|aBASARM
3	63143 11232	   	206.36	ACR|3VULN|1BASARM|1ASPD|1BEXP	1CGEN|2MDPS|3RCR|469VULN|5BEXP|7BELT|8ASPD|aBASARM
4	33146 11232	   	206.26	ACR|3VULN|1BASARM|1ASPD|1BEXP	1TLV|2MDPS|3RCR|469VULN|5BEXP|7BELT|8ASPD|aBASARM
5	11312 53523	 * 	205.41	ACR|1BASARM|2ASPD|1VULN|1AART	1FEWX|238LWND|4RCR|5VULN|67ASPD|9BASARM|aAART
6	21315 53262	 * 	204.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1RMIN|2VULN|3ERES|4RCR|5DMG|6BEXP|7ASPD|8DUR|9BELT|aBASARM
7	63143 41232	   	201.86	ACR|1BASARM|2VULN|1ASPD|1BEXP	1CGEN|2MDPS|3RCR|49VULN|5BEXP|6RCVC|7BELT|8ASPD|aBASARM
8	33146 41232	   	201.76	ACR|1BASARM|2VULN|1ASPD|1BEXP	1TLV|2MDPS|3RCR|49VULN|5BEXP|6RCVC|7BELT|8ASPD|aBASARM
9	63143 11522	 * 	200.43	ACR|2VULN|1BASARM|2BEXP|1AAC	1CGEN|2MDPS|3RCR|46VULN|58BEXP|7BELT|9AAC|aBASARM
10	33146 11522	   	200.33	ACR|2VULN|1BASARM|2BEXP|1AAC	1TLV|2MDPS|3RCR|46VULN|58BEXP|7BELT|9AAC|aBASARM
11	63143 11152	   	199.35	ACR|2VULN|1BASARM|1ASPD|1BEXP	1CGEN|2MDPS|3RCR|46VULN|5BEXP|78BELT|9ASPD|aBASARM
12	34311 54112	 * 	197.28	ACR|2DMG|2AART|1VULN|1ASPD	1TLV|2VULN|3ERES|4RCR|5LHND|6ASPD|79AART|8aDMG
13	34311 54113	 * 	197.28	ACR|2ASPD|2AART|1VULN|1DMG	1TLV|2VULN|3ERES|4RCR|5LHND|6aASPD|79AART|8DMG
14	12412 13532	   	197.07	ACR|1BASARM|2ASPD|1VULN|1AAC	1FEWX|2DMSP|3DUR|4RCR|5VULN|6AAC|78ASPD|9BASARM|aCGEN
15	12412 13534	   	197.07	ACR|1BASARM|2ASPD|1VULN|1AAC	1aFEWX|2DMSP|3DUR|4RCR|5VULN|6AAC|78ASPD|9BASARM
16	12412 13535	   	197.07	ACR|1BASARM|2ASPD|1VULN|1AAC	1FEWX|2DMSP|3DUR|4RCR|5VULN|6AAC|78ASPD|9BASARM|aBELT
17	12412 13536	   	197.07	ACR|1BASARM|2ASPD|1VULN|1AAC	1FEWX|2DMSP|3DUR|4RCR|5VULN|6AAC|78ASPD|9BASARM|aLIT
18	12412 13531	   	196.97	ACR|1BASARM|2ASPD|1VULN|1AAC	1FEWX|2DMSP|3DUR|4RCR|5VULN|6AAC|78ASPD|9BASARM|aMDPS
19	12412 13533	   	196.97	ACR|1BASARM|2ASPD|1VULN|1AAC	1FEWX|2DMSP|3DUR|4RCR|5VULN|6AAC|78ASPD|9BASARM|aNUKE
20	12412 26233	 * 	196.96	ACR|1BASARM|2VULN|1DMG|1BEXP	1FEWX|2DMSP|3DUR|4RCR|57VULN|6RCVC|8BEXP|9BASARM|aDMG
21	31511 13535	   	194.85	ACR|1BASARM|2ASPD|1AART|1AAC	1TLV|2DUR|3CGEN|4RCR|5LHND|6AAC|78ASPD|9BASARM|aAART
22	63143 13253	 * 	194.62	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP	1CGEN|2MDPS|3RCR|46VULN|5BEXP|7AART|8RMIN|9DMG|aASPD
23	33146 13253	   	194.52	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP	1TLV|2MDPS|3RCR|46VULN|5BEXP|7AART|8RMIN|9DMG|aASPD
24	12412 36233	   	194.45	ACR|1BASARM|2VULN|1DMG|1BEXP	16FEWX|2DMSP|3DUR|4RCR|57VULN|8BEXP|9BASARM|aDMG
25	53144 11232	   	194.01	ACR|1BASARM|2VULN|1ASPD|1AAC	1MLV|2MDPS|3RCR|49VULN|5AAC|6ZMB|7BELT|8ASPD|aBASARM
26	63144 11232	   	194.01	ACR|1BASARM|2VULN|1ASPD|1AAC	1CGEN|2MDPS|3RCR|49VULN|5AAC|6ZMB|7BELT|8ASPD|aBASARM
27	33144 11232	   	193.91	ACR|1BASARM|2VULN|1ASPD|1AAC	1TLV|2MDPS|3RCR|49VULN|5AAC|6ZMB|7BELT|8ASPD|aBASARM
28	15316 13532	   	193.85	ACR|1BASARM|2ASPD|1BEXP|1AAC	1FEWX|2ERES|3aCGEN|4RCR|5BEXP|6AAC|78ASPD|9BASARM
29	15316 13533	   	193.85	ACR|1BASARM|2ASPD|1BEXP|1AAC	1FEWX|2ERES|3CGEN|4RCR|5BEXP|6AAC|78ASPD|9BASARM|aDUR
30	56312 13532	   	193.85	ACR|1BASARM|2ASPD|1BEXP|1AAC	1MLV|2ERES|3LHND|4RCR|5BEXP|6AAC|78ASPD|9BASARM|aCGEN
31	66312 13532	   	193.85	ACR|1BASARM|2ASPD|1BEXP|1AAC	1aCGEN|2ERES|3LHND|4RCR|5BEXP|6AAC|78ASPD|9BASARM
32	66312 13533	   	193.85	ACR|1BASARM|2ASPD|1BEXP|1AAC	1CGEN|2ERES|3LHND|4RCR|5BEXP|6AAC|78ASPD|9BASARM|aDUR
33	15316 13531	   	193.75	ACR|1BASARM|2ASPD|1BEXP|1AAC	1FEWX|2ERES|3CGEN|4RCR|5BEXP|6AAC|78ASPD|9BASARM|aMDPS
34	36312 13532	   	193.75	ACR|1BASARM|2ASPD|1BEXP|1AAC	1TLV|2ERES|3LHND|4RCR|5BEXP|6AAC|78ASPD|9BASARM|aCGEN
35	36312 13534	   	193.75	ACR|1BASARM|2ASPD|1BEXP|1AAC	1TLV|2ERES|3LHND|4RCR|5BEXP|6AAC|78ASPD|9BASARM|aFEWX
36	36312 13536	   	193.75	ACR|1BASARM|2ASPD|1BEXP|1AAC	1TLV|2ERES|3aLHND|4RCR|5BEXP|6AAC|78ASPD|9BASARM
37	56312 13531	   	193.75	ACR|1BASARM|2ASPD|1BEXP|1AAC	1MLV|2ERES|3LHND|4RCR|5BEXP|6AAC|78ASPD|9BASARM|aMDPS
38	56312 13533	   	193.75	ACR|1BASARM|2ASPD|1BEXP|1AAC	1MLV|2ERES|3LHND|4RCR|5BEXP|6AAC|78ASPD|9BASARM|aNUKE
39	66312 13531	   	193.75	ACR|1BASARM|2ASPD|1BEXP|1AAC	1CGEN|2ERES|3LHND|4RCR|5BEXP|6AAC|78ASPD|9BASARM|aMDPS
40	36312 13531	   	193.65	ACR|1BASARM|2ASPD|1BEXP|1AAC	1TLV|2ERES|3LHND|4RCR|5BEXP|6AAC|78ASPD|9BASARM|aMDPS
41	36312 13533	   	193.65	ACR|1BASARM|2ASPD|1BEXP|1AAC	1TLV|2ERES|3LHND|4RCR|5BEXP|6AAC|78ASPD|9BASARM|aNUKE
42	63125 42233	 * 	193.46	ACR|1BASARM|2DMG|1VULN	1CGEN|2MDPS|3RCR|4SNITOX|5RMIN|6VULN|7FLTARM|8aDMG|9BASARM
43	21515 21222	   	192.74	ACR|1BASARM|1VULN|1ASPD|1DMG	1RMIN|2VULN|3CGEN|4RCR|5DMG|6MDPS|7BELT|8ASPD|9RCVC|aBASARM
44	21315 21222	   	192.64	ACR|1BASARM|1VULN|1ASPD|1DMG	1RMIN|2VULN|3ERES|4RCR|5DMG|6MDPS|7BELT|8ASPD|9RCVC|aBASARM
45	33145 61232	   	192.61	ACR|3VULN|1BASARM|1ASPD	1TLV|2MDPS|3RCR|459VULN|6FEWX|7BELT|8ASPD|aBASARM
46	33141 44232	   	192.61	ACR|3VULN|1BASARM|1ASPD	1TLV|2MDPS|3RCR|479VULN|5BELT|6FEWX|8ASPD|aBASARM
47	21316 53432	   	192.58	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP	1RMIN|2VULN|3ERES|4RCR|5BEXP|67ASPD|8DUR|9AART|aDMG
48	21315 53632	   	192.48	ACR|2DMG|1VULN|1ASPD|1AART|1BEXP	1RMIN|2VULN|3ERES|4RCR|5aDMG|6BEXP|7ASPD|8AME|9AART
49	21315 53633	   	192.48	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP	1RMIN|2VULN|3ERES|4RCR|5DMG|6BEXP|7aASPD|8AME|9AART
50	34315 53232	   	192.38	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP	1TLV|2VULN|3ERES|4RCR|5BEXP|67ASPD|8DUST|9AART|aDMG
51	11315 52422	   	192.13	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1FEWX|237LWND|4RCR|5AAC|6BEXP|8VULN|9BASARM|aDMG
52	21516 13262	   	192.13	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AAC	1RMIN|2VULN|3CGEN|4RCR|5BEXP|6AAC|7ASPD|8DUR|9BELT|aBASARM
53	21316 13262	   	192.03	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AAC	1RMIN|2VULN|3ERES|4RCR|5BEXP|6AAC|7ASPD|8DUR|9BELT|aBASARM
54	15315 13532	 * 	191.96	ACR|1BASARM|2ASPD|1DMG	1FEWX|2ERES|3aCGEN|4RCR|5DMG|6DUR|78ASPD|9BASARM
55	15315 13533	   	191.96	ACR|1BASARM|2ASPD|1DMG	1FEWX|2ERES|3CGEN|4RCR|5DMG|6aDUR|78ASPD|9BASARM
56	15315 13531	   	191.86	ACR|1BASARM|2ASPD|1DMG	1FEWX|2ERES|3CGEN|4RCR|5DMG|6DUR|78ASPD|9BASARM|aMDPS
57	63136 62122	   	191.83	ACR|1BASARM|1DMG|1VULN|1BEXP	17CGEN|2MDPS|3RCR|4RCVC|5BEXP|6BELT|8DMG|9VULN|aBASARM
58	53146 11332	   	191.60	ACR|3VULN|1BASARM|1BEXP|1AAC	1MLV|2MDPS|3RCR|469VULN|5BEXP|7BELT|8AAC|aBASARM
59	63143 11332	   	191.60	ACR|3VULN|1BASARM|1BEXP|1AAC	1CGEN|2MDPS|3RCR|469VULN|5BEXP|7BELT|8AAC|aBASARM
60	21316 53235	 * 	191.58	ACR|3ASPD|1VULN|1DMG|1BEXP	1RMIN|2VULN|3ERES|4RCR|5BEXP|678ASPD|9LHND|aDMG
61	33146 11332	   	191.50	ACR|3VULN|1BASARM|1BEXP|1AAC	1TLV|2MDPS|3RCR|469VULN|5BEXP|7BELT|8AAC|aBASARM
62	21316 43325	   	191.48	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP	1RMIN|2VULN|3ERES|4RCR|5BEXP|6FLTARM|79ASPD|8DMG|aAART
63	21316 43335	   	191.48	ACR|2DMG|1VULN|1ASPD|1AART|1BEXP	1RMIN|2VULN|3ERES|4RCR|5BEXP|6FLTARM|7ASPD|89DMG|aAART
