0	Index      	 *	Score 	Summary	Detail	
1	41354 33313	 * 	204.90	ACR|3ASPD|2DMG|3CDMG|1VULN	1RPLT|27aASPD|3MDPS|4VULN|5RCR|69aCDMG|8aDMG|aBPWR
2	12111 53453	 * 	200.14	ACR|2ASPD|2DMG|2BEXP|1AAC|1VULN	126LIT|3aDMG|4AAC|5RCR|7VULN|8aBEXP|9aASPD|aBPWR
3	13111 53453	   	200.14	ACR|2ASPD|2DMG|2BEXP|1AAC|1VULN	126LIT|2aBPWR|3aDMG|4AAC|5RCR|7VULN|8aBEXP|9aASPD
4	16423 33267	 * 	199.65	ACR|1BASARM|2BEXP|1DMG|1CDMG|1AAC	1LIT|2MBVNT|3AEMAG|4DMG|5RCR|6aBEXP|7AAC|8CDMG|9BASARM
5	12111 53535	 * 	196.60	ACR|2ASPD|2DMG|3VULN|1AAC	126LIT|3aDMG|4AAC|5RCR|78aVULN|9aASPD|aBPWR
6	13111 53535	   	196.60	ACR|2ASPD|2DMG|3VULN|1AAC	126LIT|2aBPWR|3aDMG|4AAC|5RCR|78aVULN|9aASPD
7	15241 34113	 * 	194.06	ACR|1BASARM|3BEXP|1ASPD	1LIT|2DUST|36LWND|4RCR|59aBEXP|7BASARM|8ASPD
8	15142 41113	   	193.96	ACR|1BASARM|3BEXP|1ASPD	1LIT|27DUST|3DUR|4RCR|5BASARM|69aBEXP|8ASPD
9	15242 41113	   	193.96	ACR|1BASARM|3BEXP|1ASPD	1LIT|27DUST|3LWND|4RCR|5BASARM|69aBEXP|8ASPD
10	15145 21222	 * 	193.85	ACR|1BASARM|2DMG|1BEXP|1AAC	1LIT|2DUST|3DUR|4RCR|56DMG|7AAC|8LHND|9BEXP|aBASARM
11	15245 21112	   	193.85	ACR|1BASARM|2DMG|1BEXP|1AAC	1LIT|2DUST|3LWND|4RCR|56DMG|7AAC|8BEXP|9DUR|aBASARM
12	15145 22222	   	193.85	ACR|1BASARM|2DMG|1BEXP|1AAC	1LIT|2DUST|3DUR|4RCR|56DMG|7LWND|8AAC|9BEXP|aBASARM
13	15245 23222	   	193.85	ACR|1BASARM|2DMG|1BEXP|1AAC	1LIT|2DUST|3LWND|4RCR|56DMG|7DUR|8AAC|9BEXP|aBASARM
14	12111 26542	   	193.00	ACR|2ASPD|2DMG|2BEXP|1AAC	12LIT|39DMG|4AAC|5RCR|68ASPD|7aBEXP
15	13111 26542	   	193.00	ACR|2ASPD|2DMG|2BEXP|1AAC	12LIT|2BPWR|39DMG|4AAC|5RCR|68ASPD|7aBEXP
16	16423 33261	 * 	192.66	ACR|1BASARM|1DMG|2AAC|1BEXP|1CDMG	1LIT|2MBVNT|3AEMAG|4DMG|5RCR|6BEXP|7aAAC|8CDMG|9BASARM
17	12111 26652	 * 	191.33	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	12LIT|3DMG|4AAC|5RCR|6ASPD|7BEXP|8MDPS|9ZMB|aBASARM
18	13111 26652	   	191.33	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	12LIT|2BPWR|3DMG|4AAC|5RCR|6ASPD|7BEXP|8MDPS|9ZMB|aBASARM
19	41354 31313	   	189.24	ACR|2ASPD|2DMG|3CDMG|1VULN	1RPLT|2aASPD|3MDPS|4VULN|5RCR|69aCDMG|7RCVC|8aDMG|aBPWR
20	11323 23642	 * 	188.75	ACR|1BASARM|2DMG|1AART|1AAC	1LIT|2MLV|3AAC|4aDMG|5RCR|6AART|7MSLTOX|8AME|9BASARM
21	15242 23153	 * 	188.72	ACR|1BASARM|2AART|1ASPD|1AAC	1LIT|2DUST|3LWND|4RCR|5BASARM|6RPLT|7AAC|89AART|aASPD
22	15141 31322	   	188.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LIT|2DUST|3DUR|4RCR|5BEXP|69LWND|7ASPD|8DMG|aBASARM
23	15141 31352	   	188.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LIT|2DUST|39DUR|4RCR|5BEXP|6LWND|7ASPD|8DMG|aBASARM
24	15241 51322	   	188.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LIT|2DUST|39LWND|4RCR|5BEXP|6FEWX|7ASPD|8DMG|aBASARM
25	12111 22255	 * 	187.57	ACR|2ASPD|1DMG|1BASICY|1BEXP|1AAC|1VULN	12LIT|3DMG|4AAC|5RCR|6aASPD|7BASICY|8BEXP|9VULN
26	13111 22255	   	187.57	ACR|2ASPD|1DMG|1BASICY|1BEXP|1AAC|1VULN	12LIT|2BPWR|3DMG|4AAC|5RCR|6aASPD|7BASICY|8BEXP|9VULN
27	14111 22255	   	187.57	ACR|2ASPD|1DMG|1BASICY|1BEXP|1AAC|1VULN	1LIT|2DMSP|3DMG|4AAC|5RCR|6aASPD|7BASICY|8BEXP|9VULN
28	11323 13124	   	186.20	ACR|1BASARM|2BEXP|1DMG|1AAC	1LIT|2MLV|3AAC|4DMG|5RCR|6DUR|7CGEN|89BEXP|aBASARM
29	11323 61124	   	186.10	ACR|1BASARM|2BEXP|1DMG|1AAC	1LIT|2MLV|3AAC|4DMG|5RCR|6ERES|7DUR|89BEXP|aBASARM
30	16423 13166	   	186.00	ACR|1BASARM|2BEXP|1DMG|1AAC	1LIT|2MBVNT|3AEMAG|4DMG|5RCR|6DUR|7AAC|8aBEXP|9BASARM
31	16423 33185	   	185.90	ACR|1BASARM|2BEXP|1DMG|1AAC	1LIT|2MBVNT|39AEMAG|4DMG|5RCR|68BEXP|7AAC|aBASARM
32	16423 53145	   	185.90	ACR|1BASARM|2BEXP|1DMG|1AAC	1LIT|2MBVNT|36AEMAG|4DMG|5RCR|7AAC|89BEXP|aBASARM
33	15145 23222	   	185.54	ACR|1BASARM|2DMG|1BEXP	1LIT|2DUST|3DUR|4RCR|56DMG|7ZMB|8LHND|9BEXP|aBASARM
34	15145 22322	   	185.44	ACR|1BASARM|2DMG|1BEXP	1LIT|2DUST|3DUR|4RCR|56DMG|7LWND|8NUKE|9BEXP|aBASARM
35	15245 23322	   	185.44	ACR|1BASARM|2DMG|1BEXP	1LIT|2DUST|3LWND|4RCR|56DMG|7DUR|8NUKE|9BEXP|aBASARM
36	12111 22253	 * 	184.82	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AAC|1VULN	12LIT|3DMG|4AAC|5RCR|6ASPD|7BASICY|8aBEXP|9VULN
37	13111 22253	   	184.82	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AAC|1VULN	12LIT|2BPWR|3DMG|4AAC|5RCR|6ASPD|7BASICY|8aBEXP|9VULN
38	14111 22253	   	184.82	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AAC|1VULN	1LIT|2DMSP|3DMG|4AAC|5RCR|6ASPD|7BASICY|8aBEXP|9VULN
39	16423 33262	   	184.81	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1LIT|2MBVNT|3AEMAG|4DMG|5RCR|6BEXP|7AAC|8CDMG|9BASARM|aLHND
40	16423 33264	   	184.81	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1LIT|2MBVNT|3AEMAG|4DMG|5RCR|6BEXP|7AAC|8CDMG|9BASARM|aLWND
41	16423 33265	   	184.81	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1LIT|2MBVNT|3AEMAG|4DMG|5RCR|6BEXP|7AAC|8CDMG|9BASARM|aCGEN
42	11323 23644	 * 	184.81	ACR|1BASARM|1DMG|1AART|1CDMG|1AAC	1LIT|2MLV|3AAC|4DMG|5RCR|6AART|7MSLTOX|8AME|9BASARM|aCDMG
43	11323 23645	 * 	184.81	ACR|1BASARM|1DMG|1AART|1BEXP|1AAC	1LIT|2MLV|3AAC|4DMG|5RCR|6AART|7MSLTOX|8AME|9BASARM|aBEXP
44	16423 13367	   	184.81	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1LIT|2MBVNT|3AEMAG|4DMG|5RCR|6DUR|7AAC|8CDMG|9BASARM|aBEXP
45	16423 33266	   	184.71	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1LIT|2MBVNT|3AEMAG|4DMG|5RCR|6BEXP|7AAC|8CDMG|9BASARM|aFLTARM
