0	Index      	 *	Score 	Summary	Detail	
1	43363 16312	 * 	184.31	ACR|1ASPD|1DMG|1VULN|1AART|1BEXP|1CDMG	1AIRARM|2AART|3DUST|4RCR|5CDMG|6BEXP|7DUR|8DMG|9ASPD|aVULN
2	63363 16312	   	184.31	ACR|1ASPD|1DMG|1VULN|1BEXP|1CDMG|1AART	1SPLREG|2AART|3DUST|4RCR|5CDMG|6BEXP|7DUR|8DMG|9ASPD|aVULN
3	63431 42222	 * 	182.72	ACR|1BASARM|1ASPD|1DMG|1AART	17SPLREG|2AART|36ERES|4DUR|5RCR|8ASPD|9BASARM|aDMG
4	31116 14336	 * 	180.27	DCR|2BASARM|2DMG|2BEXP	17LWND|28CGEN|37DMG|49BEXP|5DUR|67BASARM|7BPWR|aRCR
5	43362 52222	 * 	179.10	ACR|1BASARM|2AART|1DMG	1AIRARM|27AART|3DUST|4RCR|58RMIN|6CGEN|9BASARM|aDMG
6	63362 52222	   	179.10	ACR|1BASARM|2AART|1DMG	1SPLREG|27AART|3DUST|4RCR|58RMIN|6CGEN|9BASARM|aDMG
7	31116 14131	 * 	179.08	DCR|2BASARM|2DMG|1VULN|1BEXP	17LWND|2CGEN|37DMG|4BEXP|5DUR|67BASARM|7BPWR|8VULN|9FEWX|aRCR
8	36116 14131	   	179.08	DCR|2BASARM|2DMG|1VULN|1BEXP	17LWND|2MLV|37DMG|4BEXP|5DUR|67BASARM|7BPWR|8VULN|9FEWX|aRCR
9	36316 14131	 * 	179.08	DCR|2BASARM|2ASPD|1VULN|1BEXP	17LWND|2MLV|37ASPD|4BEXP|5DUR|67BASARM|7BPWR|8VULN|9FEWX|aRCR
10	12326 13255	 * 	179.03	DCR|1BASARM|2DMG|2BEXP|1AART	1DUST|27DMG|3LHND|4AART|59BEXP|6DMSP|8BASARM|aRCR
11	43362 42222	   	179.00	ACR|1BASARM|2AART|1DMG	1AIRARM|27AART|3DUST|4RCR|58RMIN|6ERES|9BASARM|aDMG
12	43362 52322	   	179.00	ACR|1BASARM|2AART|1DMG	1AIRARM|27AART|38DUST|4RCR|5RMIN|6CGEN|9BASARM|aDMG
13	63362 42222	   	179.00	ACR|1BASARM|2AART|1DMG	1SPLREG|27AART|3DUST|4RCR|58RMIN|6ERES|9BASARM|aDMG
14	63362 52322	   	179.00	ACR|1BASARM|2AART|1DMG	1SPLREG|27AART|38DUST|4RCR|5RMIN|6CGEN|9BASARM|aDMG
15	43362 42322	   	178.90	ACR|1BASARM|2AART|1DMG	1AIRARM|27AART|38DUST|4RCR|5RMIN|6ERES|9BASARM|aDMG
16	63362 42322	   	178.90	ACR|1BASARM|2AART|1DMG	1SPLREG|27AART|38DUST|4RCR|5RMIN|6ERES|9BASARM|aDMG
17	43363 52312	 * 	178.14	ACR|1VULN|1ASPD|1DMG|2CDMG|1AART	1AIRARM|2AART|3DUST|4RCR|57CDMG|6MDPS|8DMG|9ASPD|aVULN
18	63363 52312	   	178.14	ACR|1VULN|1ASPD|1DMG|2CDMG|1AART	1SPLREG|2AART|3DUST|4RCR|57CDMG|6MDPS|8DMG|9ASPD|aVULN
19	63431 42221	 * 	176.31	ACR|1BASARM|1ASPD|1AART|1CDMG	17SPLREG|2AART|36ERES|4DUR|5RCR|8ASPD|9BASARM|aCDMG
20	43363 22236	 * 	175.09	ACR|1BASARM|1BEXP|1AART|1CDMG	1AIRARM|2AART|3DUST|4RCR|5CDMG|68BELT|7LWND|9BEXP|aBASARM
21	63363 22236	   	175.09	ACR|1BASARM|1BEXP|1AART|1CDMG	1SPLREG|2AART|3DUST|4RCR|5CDMG|68BELT|7LWND|9BEXP|aBASARM
22	32436 14131	 * 	175.01	DCR|2BASARM|2BEXP|1VULN|1DMG	17LWND|2DMG|37BEXP|4CGEN|5DUR|67BASARM|7BPWR|8VULN|9FEWX|aRCR
23	43363 33323	   	174.89	ACR|1BASARM|1BEXP|1AART|1CDMG	1AIRARM|2AART|3DUST|4RCR|5CDMG|6DMSP|7DLOT|8BEXP|9AME|aBASARM
24	63363 33323	   	174.89	ACR|1BASARM|1BEXP|1AART|1CDMG	1SPLREG|2AART|3DUST|4RCR|5CDMG|6DMSP|7DLOT|8BEXP|9AME|aBASARM
25	43441 31121	 * 	172.80	ACR|1VULN|2BEXP|1ASPD|1AART|1CDMG	1AIRARM|2AART|3ERES|4VULN|5RCR|6ASPD|7aBEXP|8CDMG|9FEWX
26	43441 33131	   	172.80	ACR|1VULN|2BEXP|1ASPD|1AART|1CDMG	1AIRARM|2AART|3ERES|4VULN|5RCR|6ASPD|7CDMG|8FEWX|9aBEXP
27	63441 31121	   	172.80	ACR|1VULN|2BEXP|1ASPD|1AART|1CDMG	1SPLREG|2AART|3ERES|4VULN|5RCR|6ASPD|7aBEXP|8CDMG|9FEWX
28	63441 33131	   	172.80	ACR|1VULN|2BEXP|1ASPD|1AART|1CDMG	1SPLREG|2AART|3ERES|4VULN|5RCR|6ASPD|7CDMG|8FEWX|9aBEXP
29	43363 13216	 * 	172.80	ACR|2BEXP|2AART|1DMG|1CDMG	1AIRARM|28AART|3DUST|4RCR|5CDMG|69BEXP|7ZMB|aDMG
30	63363 13216	   	172.80	ACR|2BEXP|2AART|1DMG|1CDMG	1SPLREG|28AART|3DUST|4RCR|5CDMG|69BEXP|7ZMB|aDMG
31	43362 52221	 * 	172.69	ACR|1BASARM|2AART|1CDMG	1AIRARM|27AART|3DUST|4RCR|58RMIN|6CGEN|9BASARM|aCDMG
32	63362 52221	   	172.69	ACR|1BASARM|2AART|1CDMG	1SPLREG|27AART|3DUST|4RCR|58RMIN|6CGEN|9BASARM|aCDMG
33	43362 42221	   	172.59	ACR|1BASARM|2AART|1CDMG	1AIRARM|27AART|3DUST|4RCR|58RMIN|6ERES|9BASARM|aCDMG
34	43362 52321	   	172.59	ACR|1BASARM|2AART|1CDMG	1AIRARM|27AART|38DUST|4RCR|5RMIN|6CGEN|9BASARM|aCDMG
35	63362 42221	   	172.59	ACR|1BASARM|2AART|1CDMG	1SPLREG|27AART|3DUST|4RCR|58RMIN|6ERES|9BASARM|aCDMG
36	63362 52321	   	172.59	ACR|1BASARM|2AART|1CDMG	1SPLREG|27AART|38DUST|4RCR|5RMIN|6CGEN|9BASARM|aCDMG
37	43441 31123	 * 	172.55	ACR|2VULN|1ASPD|1AART|1BEXP|1CDMG	1AIRARM|2AART|3ERES|4aVULN|5RCR|6ASPD|7BEXP|8CDMG|9FEWX
38	43441 33133	   	172.55	ACR|2VULN|1ASPD|1AART|1BEXP|1CDMG	1AIRARM|2AART|3ERES|4aVULN|5RCR|6ASPD|7CDMG|8FEWX|9BEXP
39	63441 31123	   	172.55	ACR|2VULN|1ASPD|1AART|1BEXP|1CDMG	1SPLREG|2AART|3ERES|4aVULN|5RCR|6ASPD|7BEXP|8CDMG|9FEWX
40	63441 33133	   	172.55	ACR|2VULN|1ASPD|1AART|1BEXP|1CDMG	1SPLREG|2AART|3ERES|4aVULN|5RCR|6ASPD|7CDMG|8FEWX|9BEXP
41	32145 11623	 * 	172.51	DCR|3DMG|1BASARM|1ASPD	15LWND|234DMG|6MDPS|7ASPD|8ERES|9BASARM|aRCR
42	43362 42321	   	172.49	ACR|1BASARM|2AART|1CDMG	1AIRARM|27AART|38DUST|4RCR|5RMIN|6ERES|9BASARM|aCDMG
43	63362 42321	   	172.49	ACR|1BASARM|2AART|1CDMG	1SPLREG|27AART|38DUST|4RCR|5RMIN|6ERES|9BASARM|aCDMG
