0	Index      	 *	Score 	Summary	Detail	
1	13162 32145	 * 	196.44	ACR|2BEXP|2VULN|1ASPD|2CDMG|1AART|1AAC	1NUKE|2AAC|3RPLT|4RCR|5aBEXP|6ASPD|7aCDMG|8aVULN|9AART|aBPWR
2	35516 13312	 * 	194.23	ACR|1BASARM|2VULN|1ASPD|1DMG	1ASPD|25VULN|3BELT|4RCR|6ERES|7LIT|8DMG|9MDPS|aBASARM
3	13162 34233	 * 	193.96	ACR|2ASPD|2BEXP|1DMG|1AART|1AAC	1NUKE|2AAC|3RPLT|4RCR|57BEXP|6aASPD|8DMG|9AART
4	35516 23122	 * 	191.86	ACR|1BASARM|2ASPD|2VULN	17ASPD|25VULN|36BELT|4RCR|8LHND|9TLV|aBASARM
5	35516 23132	   	191.86	ACR|1BASARM|2ASPD|2VULN	17ASPD|25VULN|36BELT|4RCR|8LHND|9ERES|aBASARM
6	35516 33122	   	191.86	ACR|1BASARM|2ASPD|2VULN	17ASPD|25VULN|3BELT|4RCR|6RCVC|8LHND|9TLV|aBASARM
7	35516 33132	   	191.86	ACR|1BASARM|2ASPD|2VULN	17ASPD|25VULN|3BELT|4RCR|6RCVC|8LHND|9ERES|aBASARM
8	35516 23322	   	191.76	ACR|1BASARM|2ASPD|2VULN	17ASPD|25VULN|36BELT|4RCR|8DUST|9TLV|aBASARM
9	35516 23332	   	191.76	ACR|1BASARM|2ASPD|2VULN	17ASPD|25VULN|36BELT|4RCR|8DUST|9ERES|aBASARM
10	35516 33322	   	191.76	ACR|1BASARM|2ASPD|2VULN	17ASPD|25VULN|3BELT|4RCR|6RCVC|8DUST|9TLV|aBASARM
11	35516 33332	   	191.76	ACR|1BASARM|2ASPD|2VULN	17ASPD|25VULN|3BELT|4RCR|6RCVC|8DUST|9ERES|aBASARM
12	52152 34211	 * 	189.52	ACR|1BASARM|3VULN|2BEXP	19aVULN|2DUR|3aAME|4TLV|5RCR|6LEGI|7BASARM|8aBEXP|aBPWR
13	13162 35252	 * 	188.82	ACR|2BEXP|2AART|1ASPD|1DMG|1AAC	1NUKE|2AAC|3RPLT|4RCR|59BEXP|6ASPD|78AART|aDMG
14	12125 36432	 * 	188.76	ACR|1BASARM|3CDMG|1DMG|1BEXP	1NUKE|269CDMG|3BEXP|4AME|5RCR|7DMG|8MDPS|aBASARM
15	13162 34236	 * 	187.64	ACR|3BEXP|1ASPD|1DMG|1AART|1AAC	1NUKE|2AAC|3RPLT|4RCR|57aBEXP|6ASPD|8DMG|9AART
16	13162 34223	 * 	187.25	ACR|2DMG|2BEXP|1ASPD|1AAC|1VULN	1NUKE|2AAC|3RPLT|4RCR|57BEXP|6ASPD|8aDMG|9VULN
17	21355 33151	 * 	185.95	ACR|4VULN|2BEXP|1ASPD|1CDMG|1SELL	1aLHND|248aVULN|3CDMG|5RCR|6SELL|7ASPD|9aBEXP|aBPWR
18	23525 22323	 * 	183.60	ACR|2ASPD|2DMG|1BEXP|1AART	1aLHND|2DUR|3AART|4RPLT|5RCR|6aASPD|7BEXP|8TLV|9aDMG|aBPWR
19	22512 42332	 * 	183.09	ACR|1BASARM|2BEXP|1DMG	179LHND|2MLV|3BELT|4RCR|57DUR|67BEXP|7BPWR|8DMG|aBASARM
20	22512 42342	   	183.09	ACR|1BASARM|2BEXP|1DMG	17LHND|2MLV|39BELT|4RCR|57DUR|67BEXP|7BPWR|8DMG|aBASARM
21	24512 42332	   	182.99	ACR|1BASARM|2BEXP|1DMG	179LHND|2AME|3BELT|4RCR|57DUR|67BEXP|7BPWR|8DMG|aBASARM
22	21355 11336	 * 	182.92	ACR|1BASARM|2VULN|1DMG|1CDMG	1LHND|24VULN|3CDMG|5RCR|6LWND|7DMG|8CGEN|9MBVNT|aBASARM
23	51152 12336	 * 	182.82	ACR|1BASARM|2VULN|1ASPD|1CDMG	12VULN|3LWND|4DUR|5RCR|6ERES|7ASPD|8CDMG|9MBVNT|aBASARM
