0	Index      	 *	Score 	Summary	Detail	
1	15561 31331	 * 	253.71	ACR|1BASARM|2AART|2DMG|1ASPD|1BEXP	19AART|2RCR|3BEXP|4BASARM|5LHND|68DMG|7DUST|aASPD
2	15561 31332	 * 	248.49	ACR|1BASARM|2AART|2DMG|2BEXP	19AART|2RCR|3aBEXP|4BASARM|5LHND|68DMG|7DUST
3	15526 13324	 * 	245.50	ACR|1BASARM|3BEXP|2DMG|1AART	1AART|2RCR|39aBEXP|4aCGEN|5MBVNT|6LHND|7BASARM|8aDMG|aBPWR
4	15161 34311	 * 	245.47	ACR|1BASARM|2DMG|1VULN|1AART|1ASPD	1AART|2RCR|3LWND|4BASARM|59LHND|68DMG|7VULN|aASPD
5	15162 23142	 * 	245.37	ACR|1BASARM|2ASPD|1AART|1VULN|1DMG	1AART|2RCR|3LWND|4BASARM|5MDPS|6VENTOX|78ASPD|9VULN|aDMG
6	15561 31323	 * 	243.16	ACR|3DMG|1BASARM|1AART|1BEXP|1AAC	1AART|2RCR|3BEXP|4BASARM|5LHND|689DMG|7DUST|aAAC
7	15161 31341	   	240.06	ACR|1BASARM|2AART|2DMG|1ASPD	19AART|2RCR|3LWND|4BASARM|5LHND|68DMG|7DUST|aASPD
8	15162 23162	 * 	240.06	ACR|1BASARM|2AART|2ASPD|1DMG	19AART|2RCR|3LWND|4BASARM|5MDPS|6VENTOX|78ASPD|aDMG
9	15561 33321	   	239.26	ACR|1BASARM|2DMG|1AART|1ASPD|1BEXP	1AART|2RCR|3BEXP|4BASARM|5LHND|69DMG|7ZMB|8ERES|aASPD
10	15161 34312	   	238.06	ACR|1BASARM|2DMG|1VULN|1AART|1BEXP	1AART|2RCR|3LWND|4BASARM|59LHND|68DMG|7VULN|aBEXP
11	15124 23621	   	237.96	ACR|1BASARM|2DMG|1AART|1VULN|1BEXP	1AART|2RCR|3LWND|4ERES|5DUR|6BEXP|7BASARM|89DMG|aVULN
12	15161 63321	   	237.96	ACR|1BASARM|2DMG|1AART|1VULN|1BEXP	1AART|2RCR|3LWND|4BASARM|5LHND|6BEXP|7ERES|89DMG|aVULN
13	15162 23121	   	237.96	ACR|1BASARM|2ASPD|1AART|1VULN|1BEXP	1AART|2RCR|3LWND|4BASARM|5MDPS|6VENTOX|78ASPD|9BEXP|aVULN
14	15162 23143	   	237.96	ACR|1BASARM|2ASPD|1AART|1VULN|1BEXP	1AART|2RCR|3LWND|4BASARM|5MDPS|6VENTOX|78ASPD|9VULN|aBEXP
15	15162 23141	 * 	237.94	ACR|1BASARM|2ASPD|2VULN|1AART	1AART|2RCR|3LWND|4BASARM|5MDPS|6VENTOX|78ASPD|9aVULN
16	15126 23321	   	237.86	ACR|1BASARM|2DMG|1AART|1VULN|1BEXP	1AART|2RCR|3LWND|4ERES|5MBVNT|6BEXP|7BASARM|89DMG|aVULN
17	15561 33331	   	236.12	ACR|1BASARM|2AART|1ASPD|1DMG|1BEXP	19AART|2RCR|3BEXP|4BASARM|5LHND|6DMG|7ZMB|8ERES|aASPD
18	15124 23631	 * 	235.83	ACR|1BASARM|2AART|1DMG|1VULN|1BEXP	19AART|2RCR|3LWND|4ERES|5DUR|6BEXP|7BASARM|8DMG|aVULN
19	15126 23331	   	235.73	ACR|1BASARM|2AART|1DMG|1VULN|1BEXP	19AART|2RCR|3LWND|4ERES|5MBVNT|6BEXP|7BASARM|8DMG|aVULN
20	15561 31311	   	234.85	ACR|3DMG|1BASARM|1AART|1BEXP	1AART|2RCR|3BEXP|4BASARM|5LHND|68aDMG|7DUST|9LWND
21	15561 31322	   	234.85	ACR|3DMG|1BASARM|1AART|1BEXP	1AART|2RCR|3BEXP|4BASARM|5LHND|689DMG|7DUST|aLWND
22	15561 31321	   	234.75	ACR|3DMG|1BASARM|1AART|1BEXP	1AART|2RCR|3BEXP|4BASARM|5LHND|689DMG|7DUST|aAME
23	15161 61321	   	234.31	ACR|1BASARM|2BEXP|1AART|1DMG|1VULN	1AART|2RCR|3LWND|4BASARM|5LHND|69BEXP|7CGEN|8DMG|aVULN
24	15162 21531	   	234.21	ACR|1BASARM|2BEXP|1AART|1DMG|1VULN	1AART|2RCR|3LWND|4BASARM|5MDPS|6VENTOX|79BEXP|8DMG|aVULN
25	15522 13632	 * 	234.21	ACR|1BASARM|1VULN|2BEXP|1AART|1DMG	1AART|2RCR|37BEXP|4CGEN|5VULN|6LHND|8AIRHEL|9BASARM|aDMG
26	15526 13321	   	234.21	ACR|1BASARM|2BEXP|1AART|1DMG|1VULN	1AART|2RCR|39BEXP|4CGEN|5MBVNT|6LHND|7BASARM|8DMG|aVULN
27	15561 11321	   	234.21	ACR|1BASARM|2BEXP|1AART|1DMG|1VULN	1AART|2RCR|39BEXP|4BASARM|5LHND|6CGEN|7DUST|8DMG|aVULN
28	15561 31221	   	234.21	ACR|1BASARM|2BEXP|1AART|1DMG|1VULN	1AART|2RCR|39BEXP|4BASARM|5LHND|6DMG|7DUST|8CGEN|aVULN
29	15126 23223	   	234.13	ACR|1BASARM|2DMG|2BEXP|1AART	1AART|2RCR|3aLWND|4ERES|5MBVNT|6aBEXP|7BASARM|8CGEN|9aDMG|aBPWR
30	15526 13223	   	234.13	ACR|1BASARM|2DMG|2BEXP|1AART	1AART|2RCR|3aBEXP|4CGEN|5MBVNT|6aLHND|7BASARM|8ERES|9aDMG|aBPWR
31	15526 13424	   	234.13	ACR|1BASARM|2DMG|2BEXP|1AART	1AART|2RCR|3aBEXP|4CGEN|5MBVNT|6aLHND|7BASARM|8AEMAG|9aDMG|aBPWR
32	15511 21632	   	234.11	ACR|1BASARM|2BEXP|1VULN|1AART|1DMG	1AART|2RCR|36BEXP|4LHND|5AME|7VULN|8AIRHEL|9BASARM|aDMG
33	15561 33322	   	234.03	ACR|1BASARM|2DMG|2BEXP|1AART	1AART|2RCR|3aBEXP|4BASARM|5LHND|69DMG|7ZMB|8ERES
34	15161 61223	 * 	233.98	ACR|2BASARM|2DMG|1AART|1BEXP	1AART|2RCR|3LWND|4aBASARM|5LHND|6BEXP|7aCGEN|8ERES|9aDMG|aBPWR
35	15124 23423	   	233.88	ACR|2BASARM|2DMG|1AART|1BEXP	1AART|2RCR|3LWND|4aERES|5DUR|6BEXP|7aBASARM|8CGEN|9aDMG|aBPWR
36	15161 63223	   	233.88	ACR|2BASARM|2DMG|1AART|1BEXP	1AART|2RCR|3LWND|4aBASARM|5LHND|6BEXP|7aERES|8CGEN|9aDMG|aBPWR
37	15124 23223	   	233.78	ACR|2BASARM|2DMG|1AART|1BEXP	1AART|2RCR|3LWND|4aERES|5DUR|6BEXP|7aBASARM|8AME|9aDMG|aBPWR
38	15561 11223	   	233.78	ACR|2BASARM|2DMG|1AART|1BEXP	1AART|2RCR|3BEXP|4aBASARM|5LHND|6CGEN|7aDUST|8ERES|9aDMG|aBPWR
39	15561 31121	   	233.65	ACR|1BASARM|2AART|2DMG|1BEXP	19AART|2RCR|3BEXP|4BASARM|5LHND|6aDMG|7DUST|8DUR
40	15161 31342	   	233.65	ACR|1BASARM|2AART|2DMG|1BEXP	19AART|2RCR|3LWND|4BASARM|5LHND|68DMG|7DUST|aBEXP
41	15561 31333	   	233.55	ACR|1BASARM|2AART|2DMG|1BEXP	19AART|2RCR|3BEXP|4BASARM|5LHND|68DMG|7DUST|aAIRARM
42	15162 23125	   	232.65	ACR|1BASARM|2ASPD|2AART|1BEXP	1aAART|2RCR|3LWND|4BASARM|5MDPS|6VENTOX|78ASPD|9BEXP
43	15232 31326	   	232.48	ACR|1BASARM|2AART|1VULN|1DMG|1AAC	17AART|2RCR|3RPLT|4DMG|5DUR|6VULN|8AME|9AAC|aBASARM
44	15161 25211	 * 	232.31	ACR|3AART|1BASARM|1VULN|1BEXP	179AART|2RCR|3LWND|4BASARM|5LHND|6DMSP|8BEXP|aVULN
45	15236 31142	 * 	232.00	ACR|2VULN|1BASARM|1AART|1DMG|1BEXP	1AART|2RCR|3RPLT|4DMG|56VULN|7LIT|8ERES|9BEXP|aBASARM
46	15531 13335	   	232.00	ACR|1BASARM|2VULN|1AART|1DMG|1BEXP	1AART|2RCR|3BEXP|4FEWX|5AME|6LHND|7BASARM|8DMG|9aVULN
47	15563 11332	 * 	231.38	ACR|1BASARM|2BEXP|1VULN|1AART|1ASPD|1DMG|1SELL	1AART|2RCR|39BEXP|4BASARM|5SELL|6DMG|7LWND|8VULN|aASPD
48	15563 12332	 * 	231.38	ACR|1BASARM|2BEXP|1VULN|1AART|1ASPD|1DMG|1SELL	1AART|2RCR|39BEXP|4BASARM|5SELL|6DMG|7DUR|8VULN|aASPD
49	15563 11321	   	231.19	ACR|1BASARM|1VULN|1AART|1ASPD|1DMG|1BEXP|1CDMG|1SELL	1AART|2RCR|3BEXP|4BASARM|5SELL|6DMG|7LWND|8VULN|9ASPD|aCDMG
50	15563 12321	   	231.19	ACR|1BASARM|1VULN|1AART|1ASPD|1DMG|1BEXP|1CDMG|1SELL	1AART|2RCR|3BEXP|4BASARM|5SELL|6DMG|7DUR|8VULN|9ASPD|aCDMG
51	15563 11132	 * 	231.13	ACR|2BASARM|1AART|1VULN|1ASPD|1DMG|1BEXP|1SELL	1AART|2RCR|3BEXP|48BASARM|5SELL|6DMG|7LWND|9VULN|aASPD
52	15563 12132	 * 	231.13	ACR|2BASARM|1AART|1VULN|1ASPD|1DMG|1BEXP|1SELL	1AART|2RCR|3BEXP|48BASARM|5SELL|6DMG|7DUR|9VULN|aASPD
53	15161 32363	 * 	231.03	ACR|2BASARM|2BEXP|1AART|1DMG	1AART|2RCR|3LWND|4aBASARM|5LHND|6DMG|7aAME|8ERES|9aBEXP|aBPWR
54	15561 33332	   	230.90	ACR|1BASARM|2AART|2BEXP|1DMG	19AART|2RCR|3aBEXP|4BASARM|5LHND|6DMG|7ZMB|8ERES
55	15562 21232	   	230.90	ACR|1BASARM|2AART|2BEXP|1DMG	19AART|2RCR|37BEXP|4BASARM|5MDPS|6VENTOX|8ZMB|aDMG
56	15162 53323	   	230.48	ACR|1BASARM|2AART|1DMG|1VULN|1AAC	19AART|2RCR|3LWND|4BASARM|5MDPS|6AAC|7CGEN|8DMG|aVULN
57	15531 13325	   	229.90	ACR|1BASARM|2AART|2BEXP|1DMG	1aAART|2RCR|39BEXP|4FEWX|5AME|6LHND|7BASARM|8DMG
58	15532 15133	 * 	229.49	ACR|1BASARM|2VULN|2AART|1BEXP	18AART|2RCR|3BEXP|4FEWX|5BELT|6aVULN|7RMIN|9BASARM
59	15163 16332	 * 	229.10	ACR|1BASARM|2DMG|2BEXP|1VULN|1AART|1SELL	1AART|2RCR|3aLWND|4BASARM|5SELL|6aDMG|7DUR|8VULN|9aBEXP|aBPWR
60	15463 11332	 * 	229.10	ACR|1BASARM|2DMG|2BEXP|1VULN|1AART|1SELL	1AART|2RCR|3aDUR|4BASARM|5SELL|6aDMG|7LWND|8VULN|9aBEXP|aBPWR
61	15563 13231	 * 	228.80	ACR|1BASARM|2DMG|2BEXP|1AART|1VULN|1SELL	1AART|2RCR|38BEXP|4BASARM|5SELL|6aDMG|7TLV|9VULN
62	15162 53321	   	228.30	ACR|1BASARM|2AART|2DMG|1AAC	19AART|2RCR|3LWND|4BASARM|5MDPS|6AAC|7CGEN|8aDMG
63	15236 33232	 * 	228.19	ACR|3VULN|2DMG|2BEXP|1AART	1AART|2RCR|3RPLT|4aDMG|56aVULN|7FEWX|8LSRICY|9aBEXP|aBPWR
64	15236 32232	   	228.09	ACR|3VULN|2DMG|2BEXP|1AART	1AART|2RCR|3RPLT|4aDMG|56aVULN|7DUST|8LSRICY|9aBEXP|aBPWR
65	15122 23146	   	227.80	ACR|1BASARM|1VULN|2BEXP|1AART|1CDMG	1AART|2RCR|3LWND|4ERES|5VULN|67BEXP|8DUR|9CDMG|aBASARM
66	15563 13331	 * 	227.60	ACR|1BASARM|2VULN|2DMG|1AART|1BEXP|1SELL	1AART|2RCR|3BEXP|4BASARM|5SELL|6aDMG|7TLV|89VULN
67	15236 13411	   	226.89	ACR|1BASARM|1VULN|1AART|1ASPD|1DMG	1AART|2RCR|3RPLT|4DMG|5VULN|6LIT|7LWND|8ASPD|9MLV|aBASARM
68	15233 32526	   	226.79	ACR|1BASARM|1VULN|1AART|1ASPD|1DMG	1AART|2RCR|3RPLT|4DMG|5AEMAG|6ASPD|7CGEN|8VULN|9DUR|aBASARM
69	15236 11411	   	226.79	ACR|1BASARM|1VULN|1AART|1ASPD|1DMG	1AART|2RCR|3RPLT|4DMG|5VULN|6LIT|7DUST|8ASPD|9MLV|aBASARM
70	15231 33636	   	226.66	ACR|2VULN|1BASARM|1AART|1DMG|1AAC	1AART|2RCR|3RPLT|4DMG|5LHND|68VULN|7AAC|9ERES|aBASARM
71	15522 42321	 * 	226.18	ACR|2VULN|2AART|1ASPD|1DMG|1BEXP	17AART|2RCR|3BEXP|4CGEN|5aVULN|6ASPD|8LIT|9DMG
72	15122 43421	 * 	226.03	ACR|2DMG|2AART|1VULN|1ASPD|1BEXP	1aAART|2RCR|3LWND|4ERES|5VULN|6ASPD|78DMG|9BEXP
73	15161 35231	   	225.71	ACR|1BASARM|2DMG|1AART|1ASPD	1AART|2RCR|38LWND|4BASARM|5aLHND|67DMG|9ASPD
74	15161 35232	   	225.71	ACR|1BASARM|2DMG|1AART|1ASPD	1AART|2RCR|38LWND|4BASARM|5LHND|67DMG|9ASPD|aMLV
75	15161 35331	   	225.71	ACR|1BASARM|2DMG|1AART|1ASPD	1AART|2RCR|3LWND|4BASARM|5aLHND|67DMG|8DMSP|9ASPD
76	15161 35332	   	225.71	ACR|1BASARM|2DMG|1AART|1ASPD	1AART|2RCR|3LWND|4BASARM|5LHND|67DMG|8DMSP|9ASPD|aMLV
77	15161 31311	   	225.61	ACR|1BASARM|2DMG|1AART|1ASPD	1AART|2RCR|3LWND|4BASARM|59LHND|68DMG|7DUST|aASPD
78	15161 33431	   	225.61	ACR|1BASARM|2DMG|1AART|1ASPD	1AART|2RCR|3LWND|4BASARM|5LHND|68DMG|7ZMB|9TLV|aASPD
79	15161 35233	   	225.61	ACR|1BASARM|2DMG|1AART|1ASPD	1AART|2RCR|38LWND|4BASARM|5LHND|67DMG|9ASPD|aDUST
80	15161 35333	   	225.61	ACR|1BASARM|2DMG|1AART|1ASPD	1AART|2RCR|3LWND|4BASARM|5LHND|67DMG|8DMSP|9ASPD|aDUST
81	15162 23151	   	225.61	ACR|1BASARM|2ASPD|1AART|1DMG	1AART|2RCR|3LWND|4BASARM|5MDPS|6VENTOX|78ASPD|9CGEN|aDMG
82	15164 32311	   	225.61	ACR|1BASARM|2DMG|1AART|1ASPD	1AART|2RCR|3LWND|4BASARM|5DUST|68DMG|79LHND|aASPD
83	15461 31121	   	225.61	ACR|1BASARM|2DMG|1AART|1ASPD	1AART|2RCR|38DUR|4BASARM|5LHND|69DMG|7DUST|aASPD
84	15461 33321	   	225.61	ACR|1BASARM|2DMG|1AART|1ASPD	1AART|2RCR|3DUR|4BASARM|5LHND|69DMG|7ZMB|8ERES|aASPD
85	15161 31361	   	225.51	ACR|1BASARM|2DMG|1AART|1ASPD	1AART|2RCR|3LWND|4BASARM|5LHND|68DMG|79DUST|aASPD
86	15164 33321	   	225.51	ACR|1BASARM|2DMG|1AART|1ASPD	1AART|2RCR|3LWND|4BASARM|5DUST|69DMG|7CGEN|8ERES|aASPD
87	15164 31321	   	225.41	ACR|1BASARM|2DMG|1AART|1ASPD	1AART|2RCR|3LWND|4BASARM|57DUST|69DMG|8LEGI|aASPD
