0	Index      	 *	Score 	Summary	Detail	
1	14511 34518	 * 	212.52	ACR|1BASARM|2ASPD|2BEXP|1VULN	1MBVNT|2RMIN|3RCR|47CGEN|57BEXP|67ASPD|7BPWR|8LIT|9VULN|aBASARM
2	14513 45743	 * 	210.61	ACR|1BASARM|2ASPD|1DMG|1CDMG	1MBVNT|2RMIN|3RCR|4CGEN|5DMG|6aASPD|7CDMG|8BASARM|9RPLT
3	14513 45724	 * 	210.51	ACR|1BASARM|2DMG|1ASPD|1CDMG	1MBVNT|2RMIN|3RCR|4CGEN|5aDMG|6ASPD|7CDMG|8BASARM|9ERES
4	14584 63444	 * 	207.33	ACR|2BASARM|3ASPD	1MBVNT|2RMIN|3RCR|4aMLV|5LHND|6RPLT|78aASPD|9aBASARM|aBPWR
5	14511 41252	 * 	206.51	ACR|3DMG|2BEXP|1ASPD|1AART	1MBVNT|2RMIN|3RCR|48CGEN|58BEXP|689DMG|7AART|8BPWR|aASPD
6	14581 41252	   	206.51	ACR|3DMG|2BEXP|1ASPD|1AART	1MBVNT|2RMIN|3RCR|48MLV|58BEXP|689DMG|7AART|8BPWR|aASPD
7	14513 31252	   	206.51	ACR|3DMG|2BEXP|1ASPD|1AART	1MBVNT|2RMIN|3RCR|48CGEN|589DMG|68BEXP|7AART|8BPWR|aASPD
8	14551 41252	   	206.31	ACR|3DMG|2BEXP|1ASPD|1AART	1MBVNT|2RMIN|3RCR|48ERES|58BEXP|689DMG|7AART|8BPWR|aASPD
9	17412 36514	 * 	202.51	ACR|1BASARM|3BEXP|1ASPD|1CDMG	1MBVNT|236BEXP|3BPWR|4AEMAG|5RCR|7MDPS|8ASPD|9BASARM|aCDMG
10	14543 24258	 * 	202.35	ACR|3DMG|2ASPD|1BEXP|1VULN	1MBVNT|2RMIN|3RCR|4VULN|5BEXP|67aDMG|89ASPD
11	14541 14617	 * 	202.02	ACR|3BEXP|2DMG|2VULN|1CDMG	1MBVNT|2RMIN|3RCR|48VULN|5CGEN|689BEXP|78DMG|8BPWR|aCDMG
12	13281 18314	   	201.57	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1MBVNT|2MDPS|3LWND|4RCR|5ASPD|6BEXP|7AART|8CGEN|9DMG|aBASARM
13	16181 18314	   	201.57	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1MBVNT|2LWND|3MDPS|4RCR|5ASPD|6BEXP|7AART|8CGEN|9DMG|aBASARM
14	14511 15743	   	201.44	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1MBVNT|2RMIN|3RCR|4CGEN|56BEXP|7CDMG|8BASARM|9RPLT|aASPD
15	14543 24255	 * 	199.72	ACR|2ASPD|2DMG|2VULN|1BEXP	1MBVNT|2RMIN|3RCR|4aVULN|5BEXP|67DMG|89ASPD
16	14543 24228	   	199.60	ACR|3DMG|2BEXP|1ASPD|1VULN	1MBVNT|2RMIN|3RCR|4VULN|59BEXP|67aDMG|8ASPD
17	14511 41255	 * 	198.90	ACR|3DMG|2BEXP|2AART	1MBVNT|2RMIN|3RCR|48CGEN|58BEXP|689DMG|7aAART|8BPWR
18	14513 31255	   	198.90	ACR|3DMG|2BEXP|2AART	1MBVNT|2RMIN|3RCR|48CGEN|589DMG|68BEXP|7aAART|8BPWR
19	14545 24218	 * 	197.98	ACR|3DMG|2VULN|1ASPD|1CDMG	1MBVNT|2RMIN|3RCR|48VULN|58LWND|678DMG|8BPWR|9CDMG|aASPD
20	14511 44458	   	197.79	ACR|2DMG|2BEXP|1ASPD|1CDMG|1VULN	1MBVNT|2RMIN|3RCR|47CGEN|57BEXP|67DMG|7BPWR|8VULN|9ASPD|aCDMG
21	14513 34458	   	197.79	ACR|2DMG|2BEXP|1ASPD|1CDMG|1VULN	1MBVNT|2RMIN|3RCR|47CGEN|57DMG|67BEXP|7BPWR|8VULN|9ASPD|aCDMG
