0	Index      	 *	Score 	Summary	Detail	
1	51323 53243	 * 	220.92	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AAC|1SELL	1SELL|2RCR|39BEXP|4LIT|5DUST|6AAC|7DMG|8BASARM|aASPD
2	44224 42341	 * 	219.98	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1CGEN|2RCR|3MBVNT|4AAC|5RPLT|6ASPD|7CDMG|8BEXP|9BASARM|aDMG
3	51361 33362	 * 	217.08	ACR|1BASARM|2DMG|2BEXP|1SELL	1SELL|2RCR|38BEXP|4LHND|56DMG|7NUKE|9VULN|aBASARM
4	51132 34222	 * 	215.99	ACR|1BASARM|2DMG|1BEXP|1CDMG|1SELL	1SELL|2RCR|3RCVC|4BEXP|5VULN|69DMG|7CDMG|8RPLT|aBASARM
5	51312 34222	 * 	215.99	ACR|1BASARM|2DMG|1BEXP|1CDMG|1SELL	1SELL|2RCR|3BEXP|4RCVC|5VULN|69DMG|7CDMG|8RPLT|aBASARM
6	51262 31622	 * 	215.36	ACR|1BASARM|2DMG|1ASPD|1BEXP|1SELL	1SELL|2RCR|3CGEN|4ERES|5ASPD|6FEWX|7BEXP|89DMG|aBASARM
7	44224 42343	   	213.56	ACR|1BASARM|1ASPD|1BEXP|1AART|1CDMG|1AAC	1CGEN|2RCR|3MBVNT|4AAC|5RPLT|6ASPD|7CDMG|8BEXP|9BASARM|aAART
8	51132 34262	 * 	213.24	ACR|1BASARM|2BEXP|1DMG|1CDMG|1SELL	1SELL|2RCR|3RCVC|49BEXP|5VULN|6DMG|7CDMG|8RPLT|aBASARM
9	51312 34262	 * 	213.24	ACR|1BASARM|2BEXP|1DMG|1CDMG|1SELL	1SELL|2RCR|39BEXP|4RCVC|5VULN|6DMG|7CDMG|8RPLT|aBASARM
10	51323 53213	   	213.02	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC|1SELL	1SELL|2RCR|3BEXP|4LIT|5DUST|6AAC|7DMG|8BASARM|9VULN|aASPD
11	44252 32143	   	211.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1CGEN|2RCR|3MBVNT|4CDMG|5BEXP|6DMG|7MDPS|8ASPD|9ZMB|aBASARM
12	51361 64222	 * 	209.44	ACR|3DMG|3VULN|2BEXP|1SELL	1SELL|2RCR|39BEXP|4LHND|59aDMG|6MBVNT|789VULN|9BPWR
13	22113 26222	 * 	209.13	ACR|1BASARM|2DMG|2BEXP|1CDMG	18DMG|2CDMG|38AEMAG|4RCVC|5RCR|68BEXP|7RMIN|8BPWR|9LWND|aBASARM
14	51361 33422	   	208.95	ACR|1BASARM|2DMG|1BEXP|1CDMG|1SELL	1SELL|2RCR|3BEXP|4LHND|56DMG|7NUKE|8DUR|9BASARM|aCDMG
15	51322 32244	 * 	208.88	ACR|3ASPD|3BEXP|1DMG|1SELL	1SELL|2RCR|37aBEXP|4aLIT|5DMG|6AIRARM|89aASPD|aBPWR
16	51122 21152	 * 	207.85	ACR|1BASARM|2ASPD|3CDMG|1SELL	1SELL|2RCR|3RCVC|479CDMG|57CGEN|67ASPD|7BPWR|8TLV|aBASARM
17	51323 53214	   	207.80	ACR|1BASARM|2BEXP|1DMG|1AAC|1SELL	1SELL|2RCR|3aBEXP|4LIT|5DUST|6AAC|7DMG|8BASARM|9VULN
18	23438 45722	 * 	207.35	ACR|1BASARM|2DMG|1ASPD|1CDMG	19DMG|2MBVNT|3DUST|4VULN|5RCR|6CDMG|7ASPD|8AEMAG|aBASARM
19	44283 32411	   	206.34	ACR|1BASARM|2BEXP|1DMG|1CDMG	14CGEN|2RCR|3MBVNT|5AEMAG|6BASARM|78BEXP|9DMG|aCDMG
20	44224 42841	   	206.33	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AAC	1CGEN|2RCR|3MBVNT|4AAC|5RPLT|6ASPD|7CDMG|8LWND|9BASARM|aDMG
21	44311 22624	 * 	206.24	ACR|1BASARM|2BEXP|2VULN|1CDMG	1CGEN|2RCR|3SPLREG|4CDMG|57VULN|6MBVNT|8BASARM|9aBEXP
22	44224 42347	 * 	206.23	ACR|1BASARM|1ASPD|2CDMG|1BEXP|1AAC	1CGEN|2RCR|3MBVNT|4AAC|5RPLT|6ASPD|7aCDMG|8BEXP|9BASARM
23	44224 42541	   	206.23	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AAC	1CGEN|2RCR|3MBVNT|4AAC|5RPLT|6ASPD|7CDMG|8LEGI|9BASARM|aDMG
24	51351 62221	   	206.10	ACR|1BASARM|2BEXP|2VULN|1AART|1SELL	1SELL|2RCR|36BEXP|4ERES|5MLV|7aVULN|8AART|9BASARM
25	51333 32163	   	205.98	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC|1SELL	1SELL|2RCR|3BEXP|4CGEN|5DUST|6DMG|7MDPS|8ASPD|9AAC|aBASARM
26	54111 26222	   	205.24	ACR|1BASARM|2DMG|2BEXP|1SELL	1SELL|28AEMAG|3RCR|4RCVC|58DMG|68BEXP|7RMIN|8BPWR|9LWND|aBASARM
27	51332 11135	 * 	203.82	ACR|2DMG|2BEXP|1ASPD|1CDMG|1AAC|1SELL	1SELL|2RCR|35BEXP|4CGEN|6CDMG|7AAC|89DMG|aASPD
28	51652 31333	 * 	203.72	ACR|1BASARM|3BEXP|1DMG|1SELL	1SELL|2RCR|3FEWX|47ERES|589BEXP|6DMG|aBASARM
29	51211 62622	   	203.71	ACR|1BASARM|2DMG|1BEXP|1AAC|1SELL	1SELL|2RCR|3CGEN|4LWND|5MLV|6BEXP|7AAC|89DMG|aBASARM
30	51212 21622	   	203.61	ACR|1BASARM|2DMG|1BEXP|1AAC|1SELL	1SELL|2RCR|3CGEN|4LWND|5BEXP|6AAC|7ERES|89DMG|aBASARM
31	51212 23622	   	203.61	ACR|1BASARM|2DMG|1BEXP|1AAC|1SELL	1SELL|2RCR|3CGEN|4LWND|5BEXP|6AAC|7TLV|89DMG|aBASARM
32	51233 62622	   	203.61	ACR|1BASARM|2DMG|1BEXP|1AAC|1SELL	1SELL|2RCR|3CGEN|4TLV|5LWND|6BEXP|7AAC|89DMG|aBASARM
33	51323 53251	   	203.61	ACR|1BASARM|2DMG|1BEXP|1AAC|1SELL	1SELL|2RCR|3BEXP|4LIT|5DUST|6AAC|7aDMG|8BASARM|9BELT
34	51632 21622	   	203.61	ACR|1BASARM|2DMG|1BEXP|1AAC|1SELL	1SELL|2RCR|3FEWX|4CGEN|5BEXP|6AAC|7ERES|89DMG|aBASARM
35	51632 23622	   	203.61	ACR|1BASARM|2DMG|1BEXP|1AAC|1SELL	1SELL|2RCR|3FEWX|4CGEN|5BEXP|6AAC|7TLV|89DMG|aBASARM
36	51353 23422	   	203.51	ACR|1BASARM|2DMG|1BEXP|1AAC|1SELL	1SELL|2RCR|3BEXP|4ERES|5DUST|6AAC|79DMG|8CGEN|aBASARM
37	44311 22623	 * 	203.34	ACR|1BASARM|3VULN|1BEXP|1CDMG	1CGEN|2RCR|3SPLREG|4CDMG|57aVULN|6MBVNT|8BASARM|9BEXP
38	51132 35622	   	202.34	ACR|1BASARM|2DMG|1BEXP|1SELL	1SELL|2RCR|3RCVC|4BEXP|5VULN|68DMG|7ZMB|9LWND|aBASARM
39	51312 35622	   	202.34	ACR|1BASARM|2DMG|1BEXP|1SELL	1SELL|2RCR|3BEXP|4RCVC|5VULN|68DMG|7ZMB|9LWND|aBASARM
40	51612 34222	   	202.34	ACR|1BASARM|2DMG|1CDMG|1SELL	1SELL|2RCR|3FEWX|4RCVC|5VULN|69DMG|7CDMG|8RPLT|aBASARM
41	51612 35322	   	202.34	ACR|1BASARM|2DMG|1BEXP|1SELL	1SELL|2RCR|3FEWX|4RCVC|5VULN|69DMG|7ZMB|8BEXP|aBASARM
42	51361 33262	   	202.24	ACR|1BASARM|2DMG|1BEXP|1SELL	1SELL|2RCR|3BEXP|4LHND|56DMG|7NUKE|8DMSP|9VULN|aBASARM
43	51132 33622	   	202.24	ACR|1BASARM|2DMG|1BEXP|1SELL	1SELL|2RCR|3RCVC|4BEXP|5VULN|68DMG|7NUKE|9LWND|aBASARM
44	51312 33622	   	202.24	ACR|1BASARM|2DMG|1BEXP|1SELL	1SELL|2RCR|3BEXP|4RCVC|5VULN|68DMG|7NUKE|9LWND|aBASARM
45	51612 33322	   	202.24	ACR|1BASARM|2DMG|1BEXP|1SELL	1SELL|2RCR|3FEWX|4RCVC|5VULN|69DMG|7NUKE|8BEXP|aBASARM
46	51366 12222	 * 	202.02	ACR|2ASPD|2BEXP|2VULN|1DMG|1SELL	1SELL|2RCR|39BEXP|49LHND|5FEWX|68VULN|79ASPD|9BPWR|aDMG
47	44234 45422	   	201.96	ACR|1BASARM|2DMG|1ASPD	18CGEN|2RCR|3MBVNT|4MLV|5RPLT|6ASPD|79DMG|aBASARM
48	51364 31132	 * 	201.92	ACR|2ASPD|2BEXP|1DMG|2CDMG|1SELL	1SELL|2RCR|3aBEXP|4LHND|5aASPD|6DMG|7ERES|8RCVC|9aCDMG|aBPWR
49	51364 33132	 * 	201.92	ACR|2ASPD|2BEXP|1DMG|2CDMG|1SELL	1SELL|2RCR|3aBEXP|4LHND|5aASPD|6DMG|7TLV|8RCVC|9aCDMG|aBPWR
50	44244 45422	   	201.86	ACR|1BASARM|2DMG|1ASPD	18CGEN|2RCR|3MBVNT|4ERES|5RPLT|6ASPD|79DMG|aBASARM
51	51132 24732	 * 	201.82	ACR|2DMG|2BEXP|2VULN|2CDMG|1SELL	1SELL|2RCR|3RCVC|4aBEXP|56VULN|7MBVNT|8aDMG|9aCDMG|aBPWR
52	51312 24732	 * 	201.82	ACR|2DMG|2BEXP|2VULN|2CDMG|1SELL	1SELL|2RCR|3aBEXP|4RCVC|56VULN|7MBVNT|8aDMG|9aCDMG|aBPWR
53	23822 12741	   	201.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1DMG|2MBVNT|3LHND|4RCR|5AIRARM|6BEXP|7AART|8CGEN|9ASPD|aBASARM
54	51353 23632	 * 	201.33	ACR|3BEXP|2DMG|2CDMG|1AAC|1SELL	1SELL|2RCR|38aBEXP|4aERES|58DUST|6AAC|78DMG|8aBPWR|9aCDMG
55	44227 42323	 * 	201.00	ACR|1BASARM|2BEXP|2CDMG|1AAC	19CGEN|2RCR|3MBVNT|4AAC|5DUST|69BEXP|7MDPS|89CDMG|9BPWR|aBASARM
56	51323 53241	   	200.86	ACR|1BASARM|2BEXP|1DMG|1AAC|1SELL	1SELL|2RCR|39BEXP|4LIT|5DUST|6AAC|7DMG|8BASARM|aLWND
57	51323 53242	   	200.76	ACR|1BASARM|2BEXP|1DMG|1AAC|1SELL	1SELL|2RCR|39BEXP|4LIT|5DUST|6AAC|7DMG|8BASARM|aMSLFST
58	22113 21623	 * 	200.06	ACR|3DMG|3BEXP|3CDMG	189DMG|29aCDMG|38AEMAG|4RCVC|5RCR|689BEXP|7MDPS|89BPWR
59	44224 42342	   	199.91	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1aCGEN|2RCR|3MBVNT|4AAC|5RPLT|6ASPD|7CDMG|8BEXP|9BASARM
60	44224 42344	   	199.81	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1CGEN|2RCR|3MBVNT|4AAC|5RPLT|6ASPD|7CDMG|8BEXP|9BASARM|aTLV
61	44224 42345	   	199.81	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1CGEN|2RCR|3MBVNT|4AAC|5RPLT|6ASPD|7CDMG|8BEXP|9BASARM|aDUST
62	51132 35322	   	199.59	ACR|1BASARM|2BEXP|1DMG|1SELL	1SELL|2RCR|3RCVC|48BEXP|5VULN|6DMG|7ZMB|9LWND|aBASARM
63	51312 35322	   	199.59	ACR|1BASARM|2BEXP|1DMG|1SELL	1SELL|2RCR|38BEXP|4RCVC|5VULN|6DMG|7ZMB|9LWND|aBASARM
64	44311 21624	   	199.53	ACR|1BASARM|2BEXP|2CDMG	1CGEN|2RCR|3SPLREG|47CDMG|5VULN|6MBVNT|8BASARM|9aBEXP
65	51132 33322	   	199.49	ACR|1BASARM|2BEXP|1DMG|1SELL	1SELL|2RCR|3RCVC|48BEXP|5VULN|6DMG|7NUKE|9LWND|aBASARM
66	51312 33322	   	199.49	ACR|1BASARM|2BEXP|1DMG|1SELL	1SELL|2RCR|38BEXP|4RCVC|5VULN|6DMG|7NUKE|9LWND|aBASARM
67	51623 53213	   	199.37	ACR|1BASARM|1ASPD|1DMG|1AAC|1SELL	1SELL|2RCR|3FEWX|4LIT|5DUST|6AAC|7DMG|8BASARM|9VULN|aASPD
