0	Index      	 *	Score 	Summary	Detail	
1	33433 53236	 * 	200.82	ACR|2DMG|2BEXP|2VULN|1ASPD|1CDMG	1aDMG|28CGEN|3aVULN|4CDMG|5RCR|6MDPS|7ASPD|9aBEXP|aBPWR
2	33433 25533	 * 	198.12	ACR|2ASPD|2DMG|2VULN|1CDMG|1AAC	19DMG|2CGEN|37VULN|4CDMG|5RCR|6AAC|8aASPD
3	32433 43531	 * 	194.75	ACR|1BASARM|3VULN|1DMG|1CDMG	1DMG|2ERES|36aVULN|4CDMG|5RCR|7RPLT|8LSRREG|9BASARM
4	36156 21332	 * 	191.23	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1DMG|2LIT|3TLV|4MDPS|5RCR|6RPLT|7BASARM|8ASPD|9BEXP|aAAC
5	36156 21333	   	189.86	ACR|1BASARM|1DMG|1ASPD|1BEXP|1VULN	1DMG|2LIT|3TLV|4MDPS|5RCR|6RPLT|7BASARM|8ASPD|9BEXP|aVULN
6	33433 41533	   	189.82	ACR|2ASPD|2DMG|2VULN|1CDMG	19DMG|2CGEN|36VULN|4CDMG|5RCR|7ZMB|8aASPD
7	32433 41533	   	189.72	ACR|2ASPD|2DMG|2VULN|1CDMG	19DMG|2ERES|36VULN|4CDMG|5RCR|7ZMB|8aASPD
8	33433 15533	   	189.72	ACR|2ASPD|2DMG|2VULN|1CDMG	19DMG|2CGEN|37VULN|4CDMG|5RCR|6ERES|8aASPD
9	33433 42533	   	189.72	ACR|2ASPD|2DMG|2VULN|1CDMG	19DMG|2CGEN|36VULN|4CDMG|5RCR|7ERES|8aASPD
10	33116 31253	 * 	188.73	DCR|1BASARM|1ASPD|1DMG|1BEXP|1AART|1CDMG|1AAC	1DMG|2CGEN|3ASPD|4AART|5BASARM|6AAC|7BELT|8BEXP|9CDMG|aRCR
11	32116 31253	   	188.63	DCR|1BASARM|1ASPD|1DMG|1AART|1BEXP|1CDMG|1AAC	1DMG|2ERES|3ASPD|4AART|5BASARM|6AAC|7BELT|8BEXP|9CDMG|aRCR
12	35116 31253	   	188.63	DCR|1BASARM|1ASPD|1DMG|1BEXP|1AART|1CDMG|1AAC	1DMG|2AME|3ASPD|4AART|5BASARM|6AAC|7BELT|8BEXP|9CDMG|aRCR
13	33433 13536	   	187.59	ACR|2DMG|2BEXP|1ASPD|1CDMG|1VULN	19DMG|2CGEN|3VULN|4CDMG|5RCR|6ERES|7aBEXP|8ASPD
14	33116 43326	 * 	186.16	DCR|1BASARM|2AART|1ASPD|1DMG|1BEXP|1VULN	1DMG|2CGEN|3ASPD|47AART|5BASARM|6BEXP|8VULN|9FEWX|aRCR
15	24316 32431	 * 	185.88	ACR|2ASPD|2VULN|1DMG|1CDMG|1BEXP	1DUR|2BEXP|3LIT|49VULN|5RCR|67ASPD|8DMG|aCDMG
16	33115 34343	 * 	185.60	DCR|2ASPD|2DMG|3VULN|1BEXP|1AART	17DMG|26CGEN|37ASPD|4AART|578VULN|7BPWR|9BEXP|aRCR
17	33433 24533	   	185.10	ACR|2ASPD|2DMG|1CDMG|1AAC|1VULN	19DMG|2CGEN|3VULN|4CDMG|5RCR|6AAC|7RCVC|8aASPD
18	33116 52124	 * 	184.16	DCR|1BASARM|2DMG|1ASPD|1CDMG|1AART	19DMG|2CGEN|3ASPD|4AART|5BASARM|6AIRHEL|7CDMG|8DUST|aRCR
19	33433 43115	 * 	184.16	ACR|2ASPD|3VULN|1DMG|1CDMG	1DMG|2CGEN|368VULN|4CDMG|5RCR|7LIT|9aASPD
20	32113 42311	 * 	184.10	DCR|3DMG|2ASPD|2BEXP|1AART	178DMG|2ERES|37ASPD|4AART|5RMIN|67BEXP|7BPWR|9CGEN|aRCR
21	35113 42311	   	184.10	DCR|3DMG|2ASPD|2BEXP|1AART	178DMG|2AME|37ASPD|4AART|5RMIN|67BEXP|7BPWR|9CGEN|aRCR
22	32113 42141	 * 	184.10	DCR|3ASPD|2DMG|2BEXP|1AART	17DMG|2ERES|379ASPD|4AART|5RMIN|67BEXP|7BPWR|8MLV|aRCR
23	32113 42241	   	184.10	DCR|3ASPD|2DMG|2BEXP|1AART	17DMG|2ERES|379ASPD|4AART|5RMIN|67BEXP|7BPWR|8CGEN|aRCR
24	35113 42141	   	184.10	DCR|3ASPD|2DMG|2BEXP|1AART	17DMG|2AME|379ASPD|4AART|5RMIN|67BEXP|7BPWR|8MLV|aRCR
25	35113 42241	   	184.10	DCR|3ASPD|2DMG|2BEXP|1AART	17DMG|2AME|379ASPD|4AART|5RMIN|67BEXP|7BPWR|8CGEN|aRCR
26	32116 52124	   	184.06	DCR|1BASARM|2DMG|1ASPD|1AART|1CDMG	19DMG|2ERES|3ASPD|4AART|5BASARM|6AIRHEL|7CDMG|8DUST|aRCR
27	32113 42331	   	184.00	DCR|3DMG|2ASPD|2BEXP|1AART	178DMG|2ERES|37ASPD|4AART|5RMIN|67BEXP|7BPWR|9AME|aRCR
28	32433 43126	   	183.03	ACR|2BEXP|2VULN|1ASPD|1DMG|1CDMG	1DMG|2ERES|36VULN|4CDMG|5RCR|7RPLT|89BEXP|aASPD
29	33433 13516	   	183.03	ACR|2BEXP|2VULN|1ASPD|1DMG|1CDMG	1DMG|2CGEN|39VULN|4CDMG|5RCR|6ERES|7aBEXP|8ASPD
30	32433 21525	   	182.93	ACR|2BEXP|2VULN|1ASPD|1DMG|1CDMG	1DMG|2ERES|37VULN|4CDMG|5RCR|6MDPS|89BEXP|aASPD
31	32433 23631	   	182.93	ACR|2BEXP|2VULN|1ASPD|1DMG|1CDMG	1DMG|2ERES|38VULN|4CDMG|5RCR|6MDPS|7ASPD|9aBEXP
32	36156 21331	   	182.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DMG|2LIT|3TLV|4MDPS|5RCR|6RPLT|7BASARM|8ASPD|9BEXP|aCGEN
33	32433 43532	   	182.82	ACR|1BASARM|2VULN|1DMG|1CDMG	1DMG|2ERES|36VULN|4CDMG|5RCR|7RPLT|8LSRREG|9BASARM|aLHND
34	32433 43533	   	182.72	ACR|1BASARM|2VULN|1DMG|1CDMG	1DMG|2ERES|36VULN|4CDMG|5RCR|7RPLT|8LSRREG|9BASARM|aSNIHEL
35	32433 13531	   	182.72	ACR|1BASARM|2VULN|1DMG|1CDMG	1DMG|26ERES|3aVULN|4CDMG|5RCR|7RPLT|8LSRREG|9BASARM
36	33433 23531	   	181.16	ACR|2DMG|1ASPD|1BEXP|1CDMG|1AAC|1VULN	19DMG|2CGEN|3VULN|4CDMG|5RCR|6AAC|7BEXP|8ASPD|aLWND
37	33433 23533	   	181.16	ACR|2DMG|1ASPD|1BEXP|1CDMG|1AAC|1VULN	19DMG|2CGEN|3VULN|4CDMG|5RCR|6AAC|7BEXP|8ASPD|aLIT
38	33433 23536	   	181.16	ACR|2DMG|1ASPD|1BEXP|1CDMG|1AAC|1VULN	19DMG|2CGEN|3VULN|4CDMG|5RCR|6AAC|7BEXP|8ASPD|aFEWX
39	33433 23532	   	181.06	ACR|2DMG|1ASPD|1CDMG|1BEXP|1AAC|1VULN	19DMG|2CGEN|3VULN|4CDMG|5RCR|6AAC|7BEXP|8ASPD|aAEMAG
