0	Index      	 *	Score 	Summary	Detail	
1	23534 62151	 * 	215.10	ACR|3VULN|3DMG|3BEXP	179DMG|29aLHND|3MBVNT|47DUST|5RCR|67aVULN|79aBPWR|89aBEXP
2	22161 33114	 * 	214.16	ACR|1BASARM|2DMG|1ASPD|1BEXP|1AART	12DMG|3AEFBLL|4RMIN|5RCR|6DUST|7BEXP|8ASPD|9AART|aBASARM
3	22461 33114	   	214.16	ACR|1BASARM|2DMG|1ASPD|1BEXP|1AART	12DMG|3AEMAG|4RMIN|5RCR|6DUST|7BEXP|8ASPD|9AART|aBASARM
4	26534 23171	 * 	212.21	ACR|3BEXP|2ASPD|2DMG|1VULN	1aDMG|2VULN|3MBVNT|48aBEXP|5RCR|6ERES|7MLV|9aASPD|aBPWR
5	26534 33171	   	212.21	ACR|3BEXP|2ASPD|2DMG|1VULN	1aDMG|2VULN|3MBVNT|48aBEXP|5RCR|6TLV|7MLV|9aASPD|aBPWR
6	25534 62432	 * 	211.49	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	17DMG|2LEGI|3MBVNT|47BEXP|5RCR|67VULN|7BPWR|8ERES|9CDMG|aASPD
7	14322 12123	 * 	208.75	ACR|1BASARM|2VULN|3BEXP|1AART	169BEXP|2aVULN|3LIT|4ERES|5RCR|7AART|8BASARM
8	25534 62324	 * 	207.95	ACR|3VULN|2DMG|2BEXP|1ASPD	17DMG|2LEGI|3MBVNT|47BEXP|5RCR|67aVULN|7BPWR|8LIT|9ASPD
9	25534 62431	   	207.08	ACR|3DMG|2VULN|2BEXP|1CDMG	17aDMG|2LEGI|3MBVNT|47BEXP|5RCR|67VULN|7BPWR|8ERES|9CDMG
10	22154 23333	 * 	206.45	ACR|2VULN|1BASARM|2DMG|1BEXP	12DMG|3AEFBLL|48DUST|5RCR|67VULN|9BASARM|aBEXP
11	22154 23633	   	206.45	ACR|2VULN|1BASARM|2DMG|1BEXP	12DMG|3AEFBLL|4DUST|5RCR|67VULN|8AEMAG|9BASARM|aBEXP
12	22454 23333	   	206.45	ACR|2VULN|1BASARM|2DMG|1BEXP	12DMG|3AEMAG|48DUST|5RCR|67VULN|9BASARM|aBEXP
13	14322 12112	 * 	206.40	ACR|1BASARM|1VULN|2BEXP|1ASPD|1AART	16BEXP|2VULN|3LIT|4ERES|5RCR|7AART|8BASARM|9LWND|aASPD
14	26534 23271	   	202.12	ACR|2ASPD|2DMG|1VULN|2BEXP	1aDMG|2VULN|3MBVNT|4aBEXP|5RCR|6ERES|7MLV|8RCVC|9aASPD|aBPWR
15	26534 33271	   	202.12	ACR|2ASPD|2DMG|1VULN|2BEXP	1aDMG|2VULN|3MBVNT|4aBEXP|5RCR|6TLV|7MLV|8RCVC|9aASPD|aBPWR
16	22161 25631	 * 	201.71	ACR|1BASARM|2DMG|1ASPD|1VULN	12DMG|36AEFBLL|4RMIN|5RCR|7ASPD|8AEMAG|9BASARM|aVULN
17	25534 62232	   	201.62	ACR|2VULN|3BEXP|2DMG|1CDMG	17DMG|2LEGI|3MBVNT|479BEXP|5RCR|67VULN|7BPWR|8RCVC|aCDMG
18	26534 23471	   	200.84	ACR|2ASPD|2DMG|1VULN|2BEXP	1aDMG|2VULN|3MBVNT|4aBEXP|5RCR|68ERES|7MLV|9aASPD|aBPWR
19	22341 64222	   	200.71	ACR|1BASARM|2DMG|1ASPD|1BEXP	12DMG|3CGEN|4DMSP|5RCR|68RMIN|7ASPD|9BASARM|aBEXP
20	22141 64222	   	200.61	ACR|1BASARM|2DMG|1ASPD|1BEXP	12DMG|3AEFBLL|4CGEN|5RCR|68RMIN|7ASPD|9BASARM|aBEXP
21	16121 13123	 * 	200.54	ACR|1BASARM|2BEXP|1ASPD|1DMG	13BEXP|2AEFBLL|4RCVC|5RCR|68ERES|7DMG|9BASARM|aASPD
22	22161 14122	   	200.41	ACR|1BASARM|2DMG|1ASPD|1BEXP	12DMG|3AEFBLL|4RMIN|5RCR|68ERES|7ASPD|9BASARM|aBEXP
23	22161 25633	   	200.41	ACR|1BASARM|2DMG|1ASPD|1BEXP	12DMG|36AEFBLL|4RMIN|5RCR|7ASPD|8AEMAG|9BASARM|aBEXP
24	22461 14122	   	200.41	ACR|1BASARM|2DMG|1ASPD|1BEXP	12DMG|3AEMAG|4RMIN|5RCR|68ERES|7ASPD|9BASARM|aBEXP
25	11162 66213	 * 	199.92	ACR|2BASARM|2BEXP|1VULN|1AART	1aBEXP|2LIT|3RMIN|4aLWND|5RCR|6FEWX|7AART|8VULN|9aBASARM|aBPWR
26	14322 32121	   	199.52	ACR|1BASARM|2VULN|2BEXP|1AART	19BEXP|2aVULN|3LIT|4ERES|5RCR|6RCVC|7AART|8BASARM
27	16121 14123	 * 	198.07	ACR|1BASARM|2ASPD|2BEXP	13BEXP|2AEFBLL|4RCVC|5RCR|68ERES|7aASPD|9BASARM
28	26514 42153	   	197.72	ACR|2VULN|2DMG|2BEXP|1ASPD	19DMG|29VULN|3MBVNT|4LHND|5RCR|6RCVC|7FEWX|89BEXP|9BPWR|aASPD
29	26544 42153	   	197.72	ACR|2VULN|2DMG|2BEXP|1ASPD	19DMG|29VULN|3MBVNT|4DUR|5RCR|6RCVC|7FEWX|89BEXP|9BPWR|aASPD
30	14322 22121	   	197.48	ACR|1BASARM|2VULN|2BEXP|1AART	19BEXP|2aVULN|36LIT|4ERES|5RCR|7AART|8BASARM
31	14322 12131	   	197.38	ACR|1BASARM|2VULN|2BEXP|1AART	16BEXP|2aVULN|3LIT|49ERES|5RCR|7AART|8BASARM
32	25534 62213	   	196.67	ACR|2VULN|2DMG|2BEXP|1ASPD	17DMG|2LEGI|3MBVNT|47BEXP|5RCR|67VULN|7BPWR|8RCVC|9DUST|aASPD
33	13442 21235	   	196.36	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1BEXP|2FLTARM|3SNIHEL|4RCR|5RPLT|6DMG|7AEFBLL|8VULN|9BASARM|aAART
