0	Index      	 *	Score 	Summary	Detail	
1	26335 53212	 * 	221.20	ACR|1BASARM|2AART|2BEXP|1ASPD|1AAC	1AAC|2ASPD|3LIT|4DUST|5RCR|67AART|89BEXP|aBASARM
2	31316 62153	 * 	219.45	ACR|2DMG|2AART|1VULN|1ASPD|2CDMG	18CDMG|2BELT|35DMG|4RCR|6aAART|7ASPD|9VULN
3	31316 33635	 * 	217.85	ACR|3DMG|1BASARM|1AART|1CDMG	1CDMG|2BELT|359DMG|4RCR|6AME|7FEWX|8AART|aBASARM
4	31316 62151	   	217.64	ACR|2DMG|1VULN|1ASPD|2CDMG|1AART|1BEXP	18CDMG|2BELT|35DMG|4RCR|6AART|7ASPD|9VULN|aBEXP
5	31313 23343	   	214.51	ACR|2AART|1VULN|1ASPD|1DMG|2CDMG|1BEXP	19CDMG|2BELT|3DMG|4RCR|5BEXP|6aAART|7ASPD|8VULN
6	31313 23342	 * 	213.89	ACR|2BEXP|1VULN|1ASPD|1DMG|2CDMG|1AART	19CDMG|2BELT|3DMG|4RCR|5aBEXP|6AART|7ASPD|8VULN
7	31615 23334	 * 	212.31	ACR|2VULN|2ASPD|1DMG|1AART|1CDMG	1CDMG|2BELT|37ASPD|4RCR|5LWND|6AART|89VULN|aDMG
8	31611 23334	   	212.21	ACR|2VULN|2ASPD|1DMG|1AART|1CDMG	1CDMG|2BELT|37ASPD|4RCR|5LEGI|6AART|89VULN|aDMG
9	31312 23453	 * 	212.13	ACR|2ASPD|2AART|1VULN|1DMG|1CDMG	1CDMG|2BELT|3DMG|4RCR|5FEWX|6aAART|78ASPD|9VULN
10	31316 62313	   	212.13	ACR|2DMG|2AART|1VULN|1ASPD|1CDMG	1CDMG|2BELT|35DMG|4RCR|6aAART|7ASPD|8VULN|9FEWX
11	31612 23453	   	212.13	ACR|2ASPD|2AART|1VULN|1DMG|1CDMG	1CDMG|2BELT|37ASPD|4RCR|5FEWX|6aAART|8DMG|9VULN
12	26335 35212	 * 	211.99	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1AAC	1AAC|2ASPD|3LIT|4DUST|5RCR|6BASARM|7VULN|8ERES|9AART|aDMG
13	26335 35312	   	211.99	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1AAC	1AAC|2ASPD|3LIT|4DUST|5RCR|6BASARM|7VULN|8NUKE|9AART|aDMG
14	31316 62132	 * 	211.53	ACR|3DMG|1ASPD|2CDMG|1AART|1BEXP	18CDMG|2BELT|359DMG|4RCR|6AART|7ASPD|aBEXP
15	31613 25154	 * 	210.82	ACR|2DMG|2BEXP|1ASPD|2CDMG|1AART	1aCDMG|2BELT|3ASPD|4RCR|5aBEXP|6AART|7RPLT|8aDMG|9MBVNT|aBPWR
16	31316 62142	   	210.72	ACR|2DMG|2BEXP|1ASPD|2CDMG|1AART	18CDMG|2BELT|35DMG|4RCR|6AART|7ASPD|9aBEXP
17	31312 23451	   	210.33	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP|1CDMG	1CDMG|2BELT|3DMG|4RCR|5FEWX|6AART|78ASPD|9VULN|aBEXP
18	31313 23351	   	210.33	ACR|2DMG|1VULN|1ASPD|1AART|1BEXP|1CDMG	1CDMG|2BELT|3aDMG|4RCR|5BEXP|6AART|7ASPD|8VULN|9LWND
19	31313 23422	   	210.33	ACR|2ASPD|1DMG|1VULN|1AART|1CDMG|1BEXP	1CDMG|2BELT|3DMG|4RCR|5BEXP|6AART|78ASPD|9RMIN|aVULN
20	31313 23432	   	210.33	ACR|2ASPD|1DMG|1VULN|1AART|1CDMG|1BEXP	1CDMG|2BELT|3DMG|4RCR|5BEXP|6AART|78ASPD|9ZMB|aVULN
21	31313 23462	   	210.33	ACR|2ASPD|1DMG|1VULN|1AART|1CDMG|1BEXP	1CDMG|2BELT|3DMG|4RCR|5BEXP|6AART|78ASPD|9CGEN|aVULN
22	31316 62311	   	210.33	ACR|2DMG|1VULN|1ASPD|1AART|1BEXP|1CDMG	1CDMG|2BELT|35DMG|4RCR|6AART|7ASPD|8VULN|9FEWX|aBEXP
23	31316 62321	   	210.33	ACR|2DMG|1VULN|1ASPD|1AART|1BEXP|1CDMG	1CDMG|2BELT|35DMG|4RCR|6AART|7ASPD|8VULN|9LWND|aBEXP
24	31316 62331	   	210.33	ACR|2DMG|1VULN|1ASPD|1AART|1BEXP|1CDMG	1CDMG|2BELT|35DMG|4RCR|6AART|7ASPD|8VULN|9DUR|aBEXP
25	31316 62361	   	210.33	ACR|2DMG|1VULN|1ASPD|1AART|1CDMG|1BEXP	1CDMG|2BELT|35DMG|4RCR|6AART|7ASPD|8VULN|9CGEN|aBEXP
26	31612 23451	   	210.33	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP|1CDMG	1CDMG|2BELT|37ASPD|4RCR|5FEWX|6AART|8DMG|9VULN|aBEXP
27	31613 23422	   	210.33	ACR|2ASPD|1DMG|1VULN|1AART|1CDMG|1BEXP	1CDMG|2BELT|37ASPD|4RCR|5BEXP|6AART|8DMG|9RMIN|aVULN
28	31613 23432	   	210.33	ACR|2ASPD|1DMG|1VULN|1AART|1CDMG|1BEXP	1CDMG|2BELT|37ASPD|4RCR|5BEXP|6AART|8DMG|9ZMB|aVULN
29	31613 23462	   	210.33	ACR|2ASPD|1DMG|1VULN|1AART|1CDMG|1BEXP	1CDMG|2BELT|37ASPD|4RCR|5BEXP|6AART|8DMG|9CGEN|aVULN
30	31613 25241	   	210.33	ACR|2ASPD|1DMG|1VULN|1AART|1CDMG|1BEXP	1CDMG|2BELT|38ASPD|4RCR|5BEXP|6AART|7RPLT|9DMG|aVULN
31	31313 21422	   	210.23	ACR|2DMG|1ASPD|1VULN|1AART|1BEXP|1CDMG	1CDMG|2BELT|39DMG|4RCR|5BEXP|6AART|7ERES|8ASPD|aVULN
32	31313 21462	   	210.23	ACR|2ASPD|1DMG|1VULN|1AART|1BEXP|1CDMG	1CDMG|2BELT|3DMG|4RCR|5BEXP|6AART|7ERES|89ASPD|aVULN
33	31313 23311	   	210.23	ACR|2DMG|1VULN|1ASPD|1AART|1BEXP|1CDMG	1CDMG|2BELT|3aDMG|4RCR|5BEXP|6AART|7ASPD|8VULN|9DUST
34	31313 23622	   	210.23	ACR|2DMG|1ASPD|1VULN|1AART|1BEXP|1CDMG	1CDMG|2BELT|39DMG|4RCR|5BEXP|6AART|7ASPD|8TLV|aVULN
35	31313 23662	   	210.23	ACR|2ASPD|1DMG|1VULN|1AART|1BEXP|1CDMG	1CDMG|2BELT|3DMG|4RCR|5BEXP|6AART|79ASPD|8TLV|aVULN
36	31316 26361	   	209.33	ACR|2DMG|1VULN|1ASPD|1AART|1BEXP|1CDMG	1CDMG|2BELT|35DMG|4RCR|6LWND|7AART|8VULN|9ASPD|aBEXP
37	31316 62432	 * 	209.16	ACR|3DMG|2ASPD|1AART|1CDMG	1CDMG|2BELT|359DMG|4RCR|6AART|7aASPD|8LWND
38	26335 33522	   	208.09	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AAC	1AAC|2ASPD|3LIT|4DUST|5RCR|6BASARM|7BELT|8VULN|9DMG|aBEXP
39	31312 32255	 * 	207.22	ACR|2ASPD|2DMG|2CDMG|1AART|1AAC	1aCDMG|2BELT|3aDMG|4RCR|5FEWX|6MSLTOX|7AART|8AAC|9aASPD|aBPWR
40	31313 23424	   	207.15	ACR|2ASPD|2DMG|1AART|1BEXP|1CDMG	1CDMG|2BELT|3aDMG|4RCR|5BEXP|6AART|78ASPD|9RMIN
41	31313 23434	   	207.15	ACR|2ASPD|2DMG|1AART|1BEXP|1CDMG	1CDMG|2BELT|3aDMG|4RCR|5BEXP|6AART|78ASPD|9ZMB
42	31313 23464	   	207.15	ACR|2ASPD|2DMG|1AART|1CDMG|1BEXP	1CDMG|2BELT|3aDMG|4RCR|5BEXP|6AART|78ASPD|9CGEN
43	31315 23431	   	207.15	ACR|2ASPD|2DMG|1AART|1CDMG|1BEXP	1CDMG|2BELT|39DMG|4RCR|5LWND|6AART|78ASPD|aBEXP
44	31613 23424	   	207.15	ACR|2ASPD|2DMG|1AART|1BEXP|1CDMG	1CDMG|2BELT|37ASPD|4RCR|5BEXP|6AART|8aDMG|9RMIN
45	31613 23434	   	207.15	ACR|2ASPD|2DMG|1AART|1BEXP|1CDMG	1CDMG|2BELT|37ASPD|4RCR|5BEXP|6AART|8aDMG|9ZMB
46	31615 23431	   	207.15	ACR|2ASPD|2DMG|1AART|1CDMG|1BEXP	1CDMG|2BELT|37ASPD|4RCR|5LWND|6AART|89DMG|aBEXP
47	31313 21464	   	207.05	ACR|2ASPD|2DMG|1AART|1BEXP|1CDMG	1CDMG|2BELT|3aDMG|4RCR|5BEXP|6AART|7ERES|89ASPD
