0	Index      	 *	Score 	Summary	Detail	
1	22426 51322	 * 	217.22	ACR|1BASARM|2ASPD|2VULN|1DMG	18MLV|25DMSP|3RCR|48ASPD|68VULN|7RCVC|8BPWR|9BASARM|aDMG
2	36432 35348	   	206.37	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1SNIHEL|2MBVNT|3RCR|4LEGI|5MDPS|6ASPD|7BASARM|8CDMG|9BEXP|aDMG
3	21436 11252	 * 	206.23	ACR|1BASARM|2DMG|1BEXP|1CDMG	1MLV|25DMG|3LIT|4RCR|6CDMG|7BEXP|8VULN|9BASARM|aLHND
4	21436 11251	   	206.13	ACR|1BASARM|2DMG|1BEXP|1CDMG	1MLV|25DMG|3LIT|4RCR|6CDMG|7BEXP|8VULN|9BASARM|aAME
5	21436 11253	   	206.13	ACR|1BASARM|2DMG|1CDMG|1BEXP	1MLV|25DMG|3LIT|4RCR|6CDMG|7BEXP|8VULN|9BASARM|aERES
6	36441 28811	 * 	205.27	ACR|1BASARM|2AART|1ASPD|1DMG	1SNIHEL|2MBVNT|3RCR|46AART|5DUST|7BASARM|8CGEN|9DMG|aASPD
7	36444 63521	 * 	204.75	ACR|1BASARM|3VULN|1ASPD|1AART	1SNIHEL|2MBVNT|3RCR|4AART|5LWND|679VULN|8BASARM|aASPD
8	36441 63521	   	204.65	ACR|1BASARM|3VULN|1ASPD|1AART	1SNIHEL|2MBVNT|3RCR|4AART|5DUST|679VULN|8BASARM|aASPD
9	36445 14351	 * 	202.56	ACR|1BASARM|2CDMG|2AAC|1BEXP|1AART	1SNIHEL|2MBVNT|3RCR|4AART|59AAC|67CDMG|8BASARM|aBEXP
10	22413 16335	   	201.53	ACR|1BASARM|2VULN|1ASPD|1CDMG|1AAC	18MLV|2DMSP|3RCR|48ZMB|5CDMG|6ASPD|78VULN|8BPWR|9AAC|aBASARM
11	36232 35348	   	201.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1SNIHEL|2MBVNT|3DUR|4RCR|5MDPS|6ASPD|7BASARM|8CDMG|9BEXP|aDMG
12	36444 88131	 * 	201.34	ACR|1BASARM|2BEXP|1ASPD|1AART	1SNIHEL|2MBVNT|3RCR|4AART|56LWND|7BASARM|89BEXP|aASPD
13	36441 63251	 * 	201.14	ACR|1BASARM|2BEXP|2VULN|1AART	1SNIHEL|2MBVNT|3RCR|4AART|5DUST|67VULN|8aBEXP|9BASARM
14	36441 63531	   	201.14	ACR|1BASARM|2BEXP|2VULN|1AART	1SNIHEL|2MBVNT|3RCR|4AART|5DUST|67VULN|8BASARM|9aBEXP
15	36445 14341	 * 	201.13	ACR|1BASARM|1ASPD|2CDMG|1AART|1AAC	1SNIHEL|2MBVNT|3RCR|4AART|5AAC|67CDMG|8BASARM|9RPLT|aASPD
16	13262 23363	 * 	200.22	ACR|3DMG|1BASICY|1BEXP|1AART|1CDMG	1LIT|2BEXP|36aDMG|4RCR|5DUR|7BASICY|8CDMG|9AART
17	22451 31215	 * 	199.96	ACR|1BASARM|1DMG|2CDMG|1BEXP	1MLV|2DMSP|3RCR|48CDMG|5VULN|6BEXP|7DMG|9RCVC|aBASARM
