0	Index      	 *	Score 	Summary	Detail	
1	12316 25125	 * 	221.05	ACR|3DMG|1BASARM|1VULN|1BEXP	1MDPS|2VULN|3RCR|4TLV|569DMG|7LHND|8BEXP|aBASARM
2	12316 35322	 * 	220.50	ACR|3VULN|3DMG|3CDMG	1MDPS|27aVULN|3RCR|4TLV|578DMG|679CDMG|7BPWR
3	12316 35361	 * 	219.65	ACR|2VULN|3DMG|1ASPD|2CDMG	1MDPS|27VULN|3RCR|4TLV|578DMG|67CDMG|7BPWR|9ASPD|aZMB
4	12316 35363	   	219.65	ACR|2VULN|3DMG|1ASPD|2CDMG	1MDPS|27VULN|3RCR|4TLV|578DMG|67CDMG|7BPWR|9ASPD|aFEWX
5	12316 35362	   	219.55	ACR|2VULN|3DMG|2CDMG|1ASPD	1MDPS|27VULN|3RCR|4TLV|578DMG|67CDMG|7BPWR|9ASPD|aERES
6	12316 35325	   	219.27	ACR|2VULN|3DMG|3CDMG|1BEXP	1MDPS|27VULN|3RCR|4TLV|578DMG|679CDMG|7BPWR|aBEXP
7	12316 35335	   	219.27	ACR|2VULN|3DMG|2CDMG|1BEXP|1AAC	1MDPS|27VULN|3RCR|4TLV|578DMG|67CDMG|7BPWR|9AAC|aBEXP
8	12316 35321	   	213.93	ACR|2VULN|3DMG|3CDMG|1AAC	1MDPS|27VULN|3RCR|4TLV|578DMG|679CDMG|7BPWR|aAAC
9	12316 42336	 * 	211.77	ACR|2VULN|2ASPD|2DMG|1BEXP	1MDPS|29VULN|3RCR|4TLV|59DMG|69ASPD|7AAC|8RCVC|9BPWR|aBEXP
10	12342 55132	 * 	211.39	ACR|1BASARM|3BEXP|1VULN|1DMG	1MDPS|2VULN|3RCR|4DMG|578BEXP|6CGEN|9BASARM|aBELT
11	12352 55132	 * 	211.39	ACR|1BASARM|3BEXP|1VULN|1ASPD	1MDPS|2VULN|3RCR|4ASPD|578BEXP|6CGEN|9BASARM|aBELT
12	12316 35353	   	211.38	ACR|3VULN|3DMG|2CDMG	1MDPS|279VULN|3RCR|4TLV|578DMG|67CDMG|7BPWR|aDUR
13	12342 45132	   	211.29	ACR|1BASARM|3BEXP|1VULN|1DMG	1MDPS|2VULN|3RCR|4DMG|578BEXP|6TLV|9BASARM|aBELT
14	12342 55131	   	211.29	ACR|1BASARM|3BEXP|1VULN|1DMG	1MDPS|2VULN|3RCR|4DMG|578BEXP|6CGEN|9BASARM|aAME
15	12342 55133	   	211.29	ACR|1BASARM|3BEXP|1VULN|1DMG	1MDPS|2VULN|3RCR|4DMG|578BEXP|6CGEN|9BASARM|aDUST
