0	Index      	 *	Score 	Summary	Detail	
1	24344 32231	 * 	209.44	ACR|1BASARM|2ASPD|1AART|1CDMG|1AAC|1VULN	1LWND|29ASPD|3CDMG|4VULN|5RCR|6AART|7MDPS|8AAC|aBASARM
2	24344 32211	 * 	204.88	ACR|1BASARM|2VULN|1ASPD|1AART|1CDMG|1AAC	1LWND|2ASPD|3CDMG|49VULN|5RCR|6AART|7MDPS|8AAC|aBASARM
3	34343 36311	 * 	203.00	ACR|2DMG|2ASPD|3CDMG|1BEXP|1VULN	18FEWX|28ASPD|36aCDMG|4VULN|5RCR|78DMG|8BPWR|9BEXP
4	34343 33161	 * 	202.98	ACR|1BASARM|2VULN|1ASPD|2CDMG|1AART	1FEWX|2ASPD|36CDMG|48VULN|5RCR|7AART|9CGEN|aBASARM
5	34343 33341	   	202.88	ACR|1BASARM|2VULN|1ASPD|2CDMG|1AART	1FEWX|2ASPD|36CDMG|49VULN|5RCR|7AART|8AME|aBASARM
6	24344 32131	   	201.13	ACR|1BASARM|2ASPD|1AART|1CDMG|1VULN	1LWND|29ASPD|3CDMG|4VULN|5RCR|6AART|7MDPS|8ZMB|aBASARM
7	24333 11213	 * 	198.38	ACR|1BASARM|2BEXP|1ASPD|1CDMG|1VULN	1LWND|2ASPD|3CDMG|47BEXP|5RCR|6VULN|8MLV|9TLV|aBASARM
8	24333 11313	   	198.38	ACR|1BASARM|2BEXP|1ASPD|1CDMG|1VULN	1LWND|2ASPD|3CDMG|47BEXP|5RCR|6VULN|8CGEN|9TLV|aBASARM
9	34334 11213	   	198.38	ACR|1BASARM|2BEXP|1ASPD|1CDMG|1VULN	1FEWX|2ASPD|3CDMG|47BEXP|5RCR|6VULN|8MLV|9TLV|aBASARM
10	34334 11313	   	198.38	ACR|1BASARM|2BEXP|1ASPD|1CDMG|1VULN	1FEWX|2ASPD|3CDMG|47BEXP|5RCR|6VULN|8CGEN|9TLV|aBASARM
11	63334 11214	 * 	198.38	ACR|1BASARM|2BEXP|1DMG|1CDMG|1VULN	1ERES|2DUR|3CDMG|47BEXP|5RCR|6VULN|8BASARM|9RMIN|aDMG
12	24333 11113	   	198.28	ACR|1BASARM|2BEXP|1ASPD|1CDMG|1VULN	1LWND|2ASPD|3CDMG|47BEXP|5RCR|6VULN|8AME|9TLV|aBASARM
13	34334 11113	   	198.28	ACR|1BASARM|2BEXP|1ASPD|1CDMG|1VULN	1FEWX|2ASPD|3CDMG|47BEXP|5RCR|6VULN|8AME|9TLV|aBASARM
14	63334 11513	   	198.28	ACR|1BASARM|2BEXP|1ASPD|1CDMG|1VULN	1ERES|2DUR|3CDMG|47BEXP|5RCR|6VULN|8ASPD|9TLV|aBASARM
15	62134 11261	   	198.04	ACR|1BASARM|2BEXP|1ASPD|1AART|1VULN|1SELL	1ERES|2SELL|3DUST|47BEXP|5RCR|6VULN|8BASARM|9ASPD|aAART
16	62134 11262	   	198.04	ACR|1BASARM|2BEXP|1ASPD|1CDMG|1VULN|1SELL	1ERES|2SELL|3DUST|47BEXP|5RCR|6VULN|8BASARM|9ASPD|aCDMG
17	24333 14261	   	197.30	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG|1VULN	1LWND|2ASPD|3CDMG|4BEXP|5RCR|6VULN|7RMIN|8LHND|9AART|aBASARM
18	34343 36312	   	196.96	ACR|2ASPD|2DMG|2CDMG|1BEXP|1VULN	18FEWX|28ASPD|36CDMG|4VULN|5RCR|78DMG|8BPWR|9BEXP|aRPLT
19	34343 36313	   	196.86	ACR|2ASPD|2DMG|2CDMG|1BEXP|1VULN	18FEWX|28ASPD|36CDMG|4VULN|5RCR|78DMG|8BPWR|9BEXP|aMDPS
20	24333 16213	   	196.57	ACR|1BASARM|2VULN|1ASPD|1BEXP|1CDMG	1LWND|2ASPD|3CDMG|4BEXP|5RCR|67VULN|8MLV|9TLV|aBASARM
