0	Index      	 *	Score 	Summary	Detail	
1	42313 42226	 * 	268.50	ACR|2BASARM|2ASPD|2BEXP|2VULN|1BASICY	1AAC|27BASARM|3RCR|4aVULN|57BEXP|67ASPD|7BPWR|8MBVNT|9BASICY
2	42313 42122	 * 	266.84	ACR|2BASARM|3BEXP|2ASPD|1DMG	1AAC|27BASARM|3RCR|4VULN|578BEXP|67ASPD|7BPWR|9MLV|aDMG
3	42313 42162	   	266.84	ACR|2BASARM|3BEXP|2ASPD|1DMG	1AAC|27BASARM|3RCR|4VULN|578BEXP|67ASPD|7BPWR|9CGEN|aDMG
4	42313 42512	 * 	264.82	ACR|2BASARM|3ASPD|2BEXP|1CDMG	1AAC|27BASARM|3RCR|4VULN|57BEXP|67aASPD|7BPWR|8LWND|9CDMG
5	42313 42212	   	264.72	ACR|2BASARM|3ASPD|2BEXP|1CDMG	1AAC|27BASARM|3RCR|4VULN|57BEXP|67aASPD|7BPWR|8MBVNT|9CDMG
6	42313 42222	   	263.32	ACR|2BASARM|2ASPD|2BEXP|1BASICY|2AAC	1aAAC|27BASARM|3RCR|4VULN|57BEXP|67ASPD|7BPWR|8MBVNT|9BASICY
7	42313 42214	   	262.71	ACR|2BASARM|2ASPD|2BEXP|1AART|1CDMG	1AAC|27BASARM|3RCR|4VULN|57BEXP|67ASPD|7BPWR|8MBVNT|9CDMG|aAART
8	42313 42125	   	260.43	ACR|2BASARM|3BEXP|2ASPD|1CDMG	1AAC|27BASARM|3RCR|4VULN|578BEXP|67ASPD|7BPWR|9MLV|aCDMG
9	42313 42112	 * 	259.80	ACR|2BASARM|3BEXP|2ASPD|2VULN	1AAC|27BASARM|3RCR|4aVULN|578BEXP|67ASPD|7BPWR|9LWND
10	42313 42132	   	259.80	ACR|2BASARM|3BEXP|2ASPD|2VULN	1AAC|27BASARM|3RCR|4aVULN|578BEXP|67ASPD|7BPWR|9LHND
11	42313 42142	   	259.70	ACR|2BASARM|3BEXP|2ASPD|2VULN	1AAC|27BASARM|3RCR|4aVULN|578BEXP|67ASPD|7BPWR|9DUST
12	42313 42361	   	259.01	ACR|2BASARM|3ASPD|2BEXP|2AAC	1aAAC|27BASARM|3RCR|4VULN|57BEXP|679ASPD|7BPWR|8ZMB
13	42313 44113	 * 	256.44	ACR|3ASPD|1BASARM|2BEXP|1DMG	1AAC|2BASARM|3RCR|4VULN|58BEXP|67aASPD|9DMG
14	42311 22311	 * 	255.97	ACR|3BASARM|3BEXP|1DMG|1CDMG	1AAC|278BASARM|3RCR|4VULN|578ERES|678BEXP|78BPWR|9CDMG|aDMG
15	42311 22316	 * 	255.97	ACR|3BASARM|3BEXP|1ASPD|1CDMG	1AAC|278BASARM|3RCR|4VULN|578ERES|678BEXP|78BPWR|9CDMG|aASPD
16	42313 42522	   	255.57	ACR|2BASARM|2ASPD|2BEXP|1BASICY	1AAC|27BASARM|3RCR|4VULN|57BEXP|67ASPD|7BPWR|8LWND|9BASICY|aZMB
