0	Index      	 *	Score 	Summary	Detail	
1	12312 65412	 * 	218.38	DCR|4VULN|3BEXP|2DMG|1ASPD|1CDMG	1279VULN|3ASPD|457BEXP|67DMG|7BPWR|8CDMG|aRCR
2	63434 23232	 * 	217.77	ACR|1BASARM|3BEXP|1VULN|1DMG|1AART	1AART|2LIT|3VULN|468BEXP|5RCR|7DUR|9DMG|aBASARM
3	63334 21632	   	217.77	ACR|1BASARM|3BEXP|1VULN|1DMG|1AART	1AART|2LIT|367BEXP|4FEWX|5RCR|8VULN|9DMG|aBASARM
4	63314 21532	   	217.77	ACR|1BASARM|3BEXP|1VULN|1DMG|1AART	1AART|2LIT|367BEXP|4VULN|5RCR|8FEWX|9DMG|aBASARM
5	63314 21632	   	217.77	ACR|1BASARM|3BEXP|1VULN|1DMG|1AART	1AART|2LIT|367BEXP|4VULN|5RCR|8LWND|9DMG|aBASARM
6	63314 23232	   	217.77	ACR|1BASARM|3BEXP|1VULN|1DMG|1AART	1AART|2LIT|368BEXP|4VULN|5RCR|7DUR|9DMG|aBASARM
7	63314 26232	   	217.67	ACR|1BASARM|3BEXP|1VULN|1DMG|1AART	1AART|2LIT|368BEXP|4VULN|5RCR|7DUST|9DMG|aBASARM
8	12312 65432	 * 	215.74	DCR|3VULN|3BEXP|2DMG|2CDMG|1ASPD	127VULN|3ASPD|457BEXP|67DMG|7BPWR|89CDMG|aRCR
9	13244 22153	 * 	214.13	ACR|1BASARM|2DMG|1VULN|2BEXP	1VULN|2LHND|3LWND|4RCR|58BEXP|6aDMG|7RMIN|9BASARM
10	63214 22842	 * 	212.92	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1BEXP	1AART|2LIT|3FEWX|4VULN|5RCR|6BEXP|7MBVNT|8DMG|9ASPD|aBASARM
11	11141 62163	 * 	212.71	ACR|1BASARM|1VULN|2BEXP|1DMG|2CDMG	1VULN|28CDMG|3DMG|4aBEXP|5RCR|6AAC|7FEWX|9BASARM
12	11141 55313	   	211.53	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1VULN|2CDMG|3DMG|4BEXP|5RCR|6MSLREG|7LHND|8TLV|9BASARM|aASPD
13	11161 56313	   	211.53	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1VULN|2CDMG|3DMG|4DUR|5RCR|6MSLREG|7BEXP|8TLV|9BASARM|aASPD
14	21141 54313	   	211.53	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1DUR|2CDMG|3DMG|4BEXP|5RCR|6VENFST|7VULN|8TLV|9BASARM|aASPD
15	11141 53223	   	209.15	ACR|1BASARM|2DMG|1VULN|1BEXP|1CDMG	1VULN|2CDMG|38DMG|4BEXP|5RCR|6MSLREG|7LWND|9BELT|aBASARM
16	13543 31821	 * 	207.24	ACR|2VULN|1BASARM|2AART|1DMG	17VULN|2LHND|3aAART|4TLV|5RCR|6MBVNT|8BASARM|9DMG
17	13553 31821	   	207.24	ACR|2VULN|1BASARM|2AART|1DMG	17VULN|2LHND|3aAART|4AME|5RCR|6MBVNT|8BASARM|9DMG
18	13244 22151	   	206.49	ACR|1BASARM|3BEXP|1VULN|1DMG	1VULN|2LHND|3LWND|4RCR|58aBEXP|6DMG|7RMIN|9BASARM
19	11141 11652	   	206.36	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG|1SELL	1VULN|2CDMG|3DMG|4BEXP|5RCR|6SELL|7FEWX|8LWND|9BASARM|aAART
20	11151 13652	   	206.36	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG|1SELL	1VULN|2CDMG|3DMG|4FEWX|5RCR|6SELL|7BEXP|8LWND|9BASARM|aAART
21	11151 14252	   	206.36	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AART|1SELL	1VULN|2CDMG|3DMG|4FEWX|5RCR|6SELL|7DUR|8BEXP|9BASARM|aAART
22	11151 15252	   	206.36	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG|1SELL	1VULN|2CDMG|3DMG|4FEWX|5RCR|6SELL|7LWND|8BEXP|9BASARM|aAART
23	11161 11252	   	206.36	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AART|1SELL	1VULN|2CDMG|3DMG|4DUR|5RCR|6SELL|7FEWX|8BEXP|9BASARM|aAART
