0	Index      	 *	Score 	Summary	Detail	
1	31623 26143	 * 	223.93	ACR|1BASARM|2ASPD|2BEXP|1AART	17AEMAG|2RCR|3DMSP|4AART|57BEXP|67ERES|7BPWR|89ASPD|aBASARM
2	31626 52321	 * 	223.91	ACR|1BASARM|2ASPD|1DMG|1AART|1AAC	1AEMAG|2RCR|3DMSP|4AART|58ASPD|6BASARM|7MLV|9AAC|aDMG
3	31626 53321	   	223.91	ACR|1BASARM|2ASPD|1DMG|1AART|1AAC	1AEMAG|2RCR|3DMSP|4AART|58ASPD|6BASARM|7RMIN|9AAC|aDMG
4	31626 51221	   	219.98	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART|1AAC	1AEMAG|2RCR|3DMSP|4AART|5ASPD|6BASARM|7LHND|8DMG|9AAC|aBEXP
5	31131 11115	 * 	217.78	ACR|1BASARM|2VULN|1ASPD|1BASICY|1BEXP	18AEMAG|2RCR|34VULN|5ASPD|6BASICY|7MDPS|9BASARM|aBEXP
6	31626 52331	   	215.51	ACR|1BASARM|2ASPD|1DMG|1AART	1AEMAG|2RCR|3DMSP|4AART|58ASPD|6BASARM|7MLV|9ERES|aDMG
7	31626 53331	   	215.51	ACR|1BASARM|2ASPD|1DMG|1AART	1AEMAG|2RCR|3DMSP|4AART|58ASPD|6BASARM|7RMIN|9ERES|aDMG
8	31116 62143	 * 	215.31	ACR|1BASARM|2ASPD|2VULN|1AART	1AEMAG|2RCR|37VULN|4LEGI|5ERES|6AART|89ASPD|aBASARM
9	31623 26123	   	213.28	ACR|1BASARM|2BEXP|1ASPD|1AART	17AEMAG|2RCR|3DMSP|4AART|57BEXP|67ERES|7BPWR|8ASPD|9VULN|aBASARM
10	31623 44113	   	211.67	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1AEMAG|2RCR|3DMSP|4AART|5BEXP|6ASPD|7DMG|8LWND|9LHND|aBASARM
11	31626 53121	   	211.67	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1AEMAG|2RCR|3DMSP|4AART|5ASPD|6BASARM|7RMIN|8LWND|9DMG|aBEXP
12	31626 53221	   	211.67	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1AEMAG|2RCR|3DMSP|4AART|5ASPD|6BASARM|7RMIN|8DUR|9DMG|aBEXP
13	31116 62123	 * 	209.65	ACR|1BASARM|3VULN|1ASPD|1AART	1AEMAG|2RCR|379VULN|4LEGI|5ERES|6AART|8ASPD|aBASARM
