0	Index      	 *	Score 	Summary	Detail	
1	52451 23123	 * 	216.55	ACR|1BASARM|3BEXP|2ASPD	1AME|2ERES|3RCR|4BASARM|579BEXP|6ZMB|8aASPD
2	34451 22133	 * 	213.61	ACR|1BASARM|1DMG|1ASPD|1BEXP|1CDMG	1ERES|2CGEN|3RCR|4BASARM|5BEXP|6ZMB|7CDMG|8VULN|9DMG|aASPD
3	34453 23132	   	211.13	ACR|1BASARM|2ASPD|1BEXP|1AART	1ERES|26CGEN|3RCR|4BASARM|58ASPD|7VULN|9BEXP|aAART
4	34453 13132	   	211.03	ACR|1BASARM|2ASPD|1BEXP|1AART	16ERES|2CGEN|3RCR|4BASARM|58ASPD|7VULN|9BEXP|aAART
5	52453 13132	   	210.93	ACR|1BASARM|2ASPD|1BEXP|1AART	1AME|26ERES|3RCR|4BASARM|58ASPD|7VULN|9BEXP|aAART
6	52452 31112	 * 	210.41	ACR|1BASARM|2DMG|1ASPD|1AART	17AME|2ERES|3RCR|4BASARM|5LWND|6aDMG|8ASPD|9AART
7	34451 22223	   	209.75	ACR|1BASARM|2BEXP|1ASPD|1CDMG|1AAC	1ERES|2CGEN|3RCR|4BASARM|59BEXP|6ZMB|7CDMG|8AAC|aASPD
8	34452 32123	   	208.27	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AAC	1ERES|2CGEN|3RCR|4BASARM|5LWND|6DMG|7CDMG|8VULN|9AAC|aASPD
9	34453 33231	 * 	207.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1ERES|27CGEN|3RCR|4BASARM|5ASPD|6LIT|8DMG|9aBEXP
10	52452 33213	   	206.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1AME|2ERES|3RCR|4BASARM|5LWND|6DMG|7BEXP|8CGEN|9CDMG|aASPD
11	52453 32131	   	206.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1AME|2ERES|3RCR|4BASARM|5ASPD|6MDPS|7LIT|8AART|9DMG|aBEXP
12	15364 21222	 * 	205.31	ACR|1BASARM|3BEXP|1DMG|2AAC	1FEWX|26AAC|3DMG|489BEXP|5RCR|7BELT|aBASARM
13	15614 21222	 * 	205.31	ACR|1BASARM|3BEXP|1ASPD|2AAC	1FEWX|26AAC|389BEXP|4ASPD|5RCR|7BELT|aBASARM
14	34453 22133	 * 	203.90	ACR|1BASARM|2ASPD|1DMG	1ERES|26CGEN|3RCR|4BASARM|5aASPD|7RPLT|8VULN|9DMG
15	34453 23123	   	203.90	ACR|1BASARM|2ASPD|1DMG	1ERES|26CGEN|3RCR|4BASARM|58ASPD|7VULN|9LWND|aDMG
16	34453 12133	   	203.80	ACR|1BASARM|2ASPD|1DMG	16ERES|2CGEN|3RCR|4BASARM|5aASPD|7RPLT|8VULN|9DMG
17	34453 13123	   	203.80	ACR|1BASARM|2ASPD|1DMG	16ERES|2CGEN|3RCR|4BASARM|58ASPD|7VULN|9LWND|aDMG
18	52453 13123	   	203.70	ACR|1BASARM|2ASPD|1DMG	1AME|26ERES|3RCR|4BASARM|58ASPD|7VULN|9LWND|aDMG
19	52453 11233	 * 	202.06	ACR|2BASARM|1ASPD|1BASICY|1AAC	1AME|26ERES|3RCR|4aBASARM|5ASPD|7FEWX|8BASICY|9AAC
20	52451 23133	   	201.34	ACR|1BASARM|2BEXP|1ASPD|1AART	1AME|2ERES|3RCR|4BASARM|57BEXP|6ZMB|8ASPD|9CGEN|aAART
21	34452 32233	   	201.33	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AAC	1ERES|29CGEN|3RCR|4BASARM|5LWND|6DMG|7CDMG|8AAC|aASPD
22	46513 23232	   	200.61	ACR|1BASARM|2DMG|1ASPD|1CDMG	1DMSP|24DMG|34LWND|4BPWR|5RCR|6ASPD|7AEMAG|8MBVNT|9CDMG|aBASARM
23	34452 31313	   	199.86	ACR|1BASARM|1ASPD|1DMG|1CDMG	1ERES|2CGEN|3RCR|4BASARM|5LWND|6DMG|7AME|8VULN|9CDMG|aASPD
24	52452 31113	   	199.76	ACR|1BASARM|1ASPD|1DMG|1AART	17AME|2ERES|3RCR|4BASARM|5LWND|6DMG|8ASPD|9AART|aVULN
25	34453 23323	 * 	199.33	ACR|1BASARM|2VULN|1ASPD|1DMG	1ERES|26CGEN|3RCR|4BASARM|5ASPD|79VULN|8LWND|aDMG
26	34453 13323	   	199.23	ACR|1BASARM|2VULN|1DMG|1ASPD	16ERES|2CGEN|3RCR|4BASARM|5ASPD|79VULN|8LWND|aDMG
27	52453 13323	   	199.13	ACR|1BASARM|2VULN|1ASPD|1DMG	1AME|26ERES|3RCR|4BASARM|5ASPD|79VULN|8LWND|aDMG
28	52451 23113	   	198.96	ACR|1BASARM|3BEXP|1ASPD	1AME|2ERES|3RCR|4BASARM|57aBEXP|6ZMB|8ASPD|9DMSP
29	52451 23122	   	198.96	ACR|1BASARM|3BEXP|1ASPD	1AME|2ERES|3RCR|4BASARM|579BEXP|6ZMB|8ASPD|aBELT
30	52451 21123	   	198.86	ACR|1BASARM|3BEXP|1ASPD	17AME|2ERES|3RCR|4BASARM|59aBEXP|6ZMB|8ASPD
31	52451 23121	   	198.86	ACR|1BASARM|3BEXP|1ASPD	1AME|2ERES|3RCR|4BASARM|579BEXP|6ZMB|8ASPD|aDUST
32	34453 22223	   	198.85	ACR|1BASARM|2ASPD|1BEXP|1AAC	1ERES|26CGEN|3RCR|4BASARM|5aASPD|7RPLT|8AAC|9BEXP
33	34453 12223	   	198.75	ACR|1BASARM|2ASPD|1BEXP|1AAC	16ERES|2CGEN|3RCR|4BASARM|5aASPD|7RPLT|8AAC|9BEXP
