0	Index      	 *	Score 	Summary	Detail	
1	56321 33362	 * 	228.56	ACR|1BASARM|2VULN|2ASPD|1BASICY|1AAC	1AME|2BASICY|3DUST|4RCR|58VULN|67ASPD|9AAC|aBASARM
2	56121 36112	 * 	222.73	ACR|1BASARM|2VULN|1ASPD|1DMG|1BASICY	1AME|2BASICY|3DUR|4RCR|58VULN|6ASPD|7DMG|9AEFBLL|aBASARM
3	56121 23162	   	220.35	ACR|1BASARM|2VULN|2ASPD|1BASICY	1AME|2BASICY|3DUR|4RCR|58VULN|6ZMB|79ASPD|aBASARM
4	56321 23162	   	220.25	ACR|1BASARM|2VULN|2ASPD|1BASICY	1AME|2BASICY|3DUST|4RCR|58VULN|6ZMB|79ASPD|aBASARM
5	56123 25212	 * 	217.92	ACR|1BASARM|1BASICY|1AART|1VULN|1CDMG|1BEXP	1AME|2BASICY|3DUR|4RCR|5MDPS|6AART|7CDMG|8BEXP|9BASARM|aVULN
6	56121 31125	 * 	212.64	ACR|2ASPD|1VULN|1DMG|1BASICY|1AART|1BEXP	1AME|2BASICY|3DUR|4RCR|5VULN|68ASPD|7BEXP|9AART|aDMG
7	56121 33125	   	212.64	ACR|2ASPD|1VULN|1DMG|1BASICY|1AART|1BEXP	1AME|2BASICY|3DUR|4RCR|5VULN|67ASPD|8BEXP|9AART|aDMG
8	56321 31125	   	212.54	ACR|2ASPD|1VULN|1DMG|1BASICY|1AART|1BEXP	1AME|2BASICY|3DUST|4RCR|5VULN|68ASPD|7BEXP|9AART|aDMG
9	56321 33125	   	212.54	ACR|2ASPD|1VULN|1DMG|1BASICY|1AART|1BEXP	1AME|2BASICY|3DUST|4RCR|5VULN|67ASPD|8BEXP|9AART|aDMG
10	56121 23142	 * 	207.77	ACR|3VULN|1BASARM|1ASPD|1BASICY	1AME|2BASICY|3DUR|4RCR|589VULN|6ZMB|7ASPD|aBASARM
11	56321 23142	   	207.67	ACR|3VULN|1BASARM|1ASPD|1BASICY	1AME|2BASICY|3DUST|4RCR|589VULN|6ZMB|7ASPD|aBASARM
12	56121 33363	 * 	207.21	ACR|2VULN|2ASPD|1BASICY|1AART|1CDMG	1AME|2BASICY|3DUR|4RCR|58VULN|67ASPD|9AART|aCDMG
13	36136 13335	 * 	204.21	ACR|2VULN|2ASPD|2CDMG|1AART|1BEXP	14VULN|2LHND|37CDMG|5RCR|6BEXP|8aASPD|9AART
14	56121 36311	 * 	202.60	ACR|2VULN|2ASPD|2BASICY|1DMG	1AME|29BASICY|3DUR|4RCR|5aVULN|69ASPD|7DMG|89CGEN|9BPWR
15	44121 31116	   	202.11	ACR|1BASARM|2ASPD|1VULN|1BEXP	1NUKE|2AIRARM|3DUR|4RCR|5VULN|68ASPD|7BEXP|9FLTFST|aBASARM
16	44121 33116	   	202.11	ACR|1BASARM|2ASPD|1VULN|1BEXP	1NUKE|2AIRARM|3DUR|4RCR|5VULN|67ASPD|8BEXP|9FLTFST|aBASARM
17	56121 23112	   	200.67	ACR|1BASARM|2VULN|1ASPD|1BASICY	1AME|2BASICY|3DUR|4RCR|58VULN|6ZMB|7ASPD|9AEFBLL|aBASARM
18	56421 23112	   	200.67	ACR|1BASARM|2VULN|1ASPD|1BASICY	1AME|2BASICY|3LWND|4RCR|58VULN|6ZMB|7ASPD|9AEFBLL|aBASARM
19	56321 23112	   	200.57	ACR|1BASARM|2VULN|1ASPD|1BASICY	1AME|2BASICY|3DUST|4RCR|58VULN|6ZMB|7ASPD|9AEFBLL|aBASARM
20	56121 31111	 * 	200.50	ACR|2VULN|2ASPD|2BEXP|1BASICY	19AME|2BASICY|39DUR|4RCR|5aVULN|68ASPD|79BEXP|9BPWR
21	56121 33111	   	200.50	ACR|2VULN|2ASPD|2BEXP|1BASICY	19AME|2BASICY|39DUR|4RCR|5aVULN|67ASPD|89BEXP|9BPWR
22	56421 31111	   	200.50	ACR|2VULN|2ASPD|2BEXP|1BASICY	19AME|2BASICY|39LWND|4RCR|5aVULN|68ASPD|79BEXP|9BPWR
23	56421 33111	   	200.50	ACR|2VULN|2ASPD|2BEXP|1BASICY	19AME|2BASICY|39LWND|4RCR|5aVULN|67ASPD|89BEXP|9BPWR
24	56321 31111	   	200.30	ACR|2VULN|2ASPD|2BEXP|1BASICY	19AME|2BASICY|39DUST|4RCR|5aVULN|68ASPD|79BEXP|9BPWR
25	56321 33111	   	200.30	ACR|2VULN|2ASPD|2BEXP|1BASICY	19AME|2BASICY|39DUST|4RCR|5aVULN|67ASPD|89BEXP|9BPWR
26	56123 25213	   	200.16	ACR|1BASARM|1BASICY|1AART|1CDMG|1BEXP	1AME|2BASICY|3DUR|4RCR|5MDPS|6AART|7CDMG|8BEXP|9BASARM|aFEWX
27	44121 13162	   	200.09	ACR|1BASARM|2VULN|2ASPD	1NUKE|2AIRARM|3DUR|4RCR|58VULN|6ERES|79ASPD|aBASARM
28	44121 33322	   	200.09	ACR|1BASARM|2VULN|2ASPD	1NUKE|2AIRARM|3DUR|4RCR|58VULN|67ASPD|9ERES|aBASARM
29	56123 25211	   	200.06	ACR|1BASARM|1BASICY|1AART|1BEXP|1CDMG	1AME|2BASICY|3DUR|4RCR|5MDPS|6AART|7CDMG|8BEXP|9BASARM|aERES
30	56121 31126	   	199.89	ACR|2ASPD|1VULN|1BASICY|1AART|1BEXP|1AAC	1AME|2BASICY|3DUR|4RCR|5VULN|68ASPD|7BEXP|9AART|aAAC
31	56121 33126	   	199.89	ACR|2ASPD|1VULN|1BASICY|1AART|1BEXP|1AAC	1AME|2BASICY|3DUR|4RCR|5VULN|67ASPD|8BEXP|9AART|aAAC
32	56321 31126	   	199.79	ACR|2ASPD|1VULN|1BASICY|1AART|1BEXP|1AAC	1AME|2BASICY|3DUST|4RCR|5VULN|68ASPD|7BEXP|9AART|aAAC
33	56321 33126	   	199.79	ACR|2ASPD|1VULN|1BASICY|1AART|1BEXP|1AAC	1AME|2BASICY|3DUST|4RCR|5VULN|67ASPD|8BEXP|9AART|aAAC
34	56421 31132	 * 	199.21	ACR|3ASPD|2BASICY|1VULN|1BEXP	1AME|2aBASICY|3LWND|4RCR|5VULN|68aASPD|7BEXP|9aLIT|aBPWR
35	56421 33132	   	199.21	ACR|3ASPD|2BASICY|1VULN|1BEXP	1AME|2aBASICY|3LWND|4RCR|5VULN|67aASPD|8BEXP|9aLIT|aBPWR
36	56121 32125	   	198.99	ACR|2ASPD|1VULN|1DMG|1BASICY|1AART	1AME|2BASICY|3DUR|4RCR|5VULN|68ASPD|7FEWX|9AART|aDMG
