0	Index      	 *	Score 	Summary	Detail	
1	41434 56221	 * 	233.45	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AART	1MBVNT|2RCR|3ASPD|46BEXP|5DMG|7AART|8LWND|9VULN|aBASARM
2	41384 73122	 * 	229.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1MBVNT|2RCR|3LHND|4MLV|57DMG|6CDMG|8BEXP|9BASARM|aASPD
3	41433 78322	 * 	229.16	ACR|1BASARM|2ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2RCR|3aASPD|4BEXP|5RMIN|6CDMG|7DMG|8ERES|9BASARM
4	41434 78341	 * 	229.10	ACR|3DMG|2ASPD|2BEXP|1AART	1MBVNT|2RCR|38ASPD|48BEXP|578DMG|6RPLT|8BPWR|9MLV|aAART
5	41434 78321	   	229.00	ACR|3DMG|2ASPD|2BEXP|1AART	1MBVNT|2RCR|38ASPD|48BEXP|578DMG|6RPLT|8BPWR|9TLV|aAART
6	41434 73463	 * 	228.88	ACR|3ASPD|2DMG|2VULN|1BEXP|1AAC	1MBVNT|2RCR|38aASPD|4BEXP|5aDMG|6RPLT|7AAC|9aVULN|aBPWR
7	41434 13233	 * 	228.06	ACR|2ASPD|2DMG|2BEXP|2VULN|1AAC	1MBVNT|2RCR|3aASPD|49BEXP|5aDMG|6aVULN|7AAC|8RPLT|aBPWR
8	41434 38263	   	226.87	ACR|2ASPD|2DMG|2VULN|1BEXP|1CDMG|1AAC	1MBVNT|2RCR|3aASPD|4BEXP|5aDMG|6LWND|7CDMG|8AAC|9aVULN|aBPWR
9	41433 81153	 * 	226.71	ACR|3ASPD|3BEXP|2DMG	1MBVNT|2RCR|37aASPD|49aBEXP|58RMIN|6aDMG|aBPWR
10	41434 77312	   	226.71	ACR|3ASPD|3BEXP|2DMG	1MBVNT|2RCR|38aASPD|478BEXP|58DMG|6RPLT|8BPWR|9RCVC
11	41434 77342	   	226.71	ACR|3ASPD|3BEXP|2DMG	1MBVNT|2RCR|38aASPD|478BEXP|58DMG|69RPLT|8BPWR
12	41434 77322	   	226.61	ACR|3ASPD|3BEXP|2DMG	1MBVNT|2RCR|38aASPD|478BEXP|58DMG|6RPLT|8BPWR|9AEMAG
13	41432 11622	   	226.51	ACR|3ASPD|3BEXP|2DMG	1MBVNT|2RCR|38aASPD|47aBEXP|5SNITOX|6ERES|9aDMG|aBPWR
14	41437 11622	   	226.51	ACR|3ASPD|3BEXP|2DMG	1MBVNT|2RCR|38aASPD|47aBEXP|5LSRREG|6ERES|9aDMG|aBPWR
15	41726 11433	 * 	226.13	ACR|3ASPD|2BEXP|2VULN|1DMG|1AAC	1MBVNT|2RCR|3RPLT|48aASPD|5DMG|6AAC|7aVULN|9aBEXP|aBPWR
16	41431 25134	 * 	226.04	ACR|3ASPD|1BASARM|2BEXP	1MBVNT|2RCR|39aASPD|49BEXP|5DUST|6MDPS|7BASARM|89DUR|9BPWR
17	41431 25334	   	226.04	ACR|3ASPD|1BASARM|2BEXP	1MBVNT|2RCR|39aASPD|49BEXP|5DUST|6MDPS|7BASARM|89LHND|9BPWR
18	41431 25434	   	226.04	ACR|3ASPD|1BASARM|2BEXP	1MBVNT|2RCR|39aASPD|49BEXP|5DUST|6MDPS|7BASARM|89LWND|9BPWR
19	41434 13273	 * 	225.15	ACR|2ASPD|2DMG|3VULN|1BEXP|1AAC	1MBVNT|2RCR|3aASPD|4BEXP|5aDMG|69aVULN|7AAC|8RPLT|aBPWR
