0	Index      	 *	Score 	Summary	Detail	
1	36243 33324	 * 	220.55	ACR|1BASARM|2DMG|2BEXP|2CDMG	18LHND|28CDMG|3NUKE|4RCR|5MLV|69BEXP|78DMG|8BPWR|aBASARM
2	16243 33314	   	205.71	ACR|1BASARM|2DMG|2CDMG|1BEXP	18FEWX|28CDMG|3NUKE|4RCR|5MLV|6BEXP|78DMG|8BPWR|9DMSP|aBASARM
3	26243 33314	   	205.51	ACR|1BASARM|2DMG|2CDMG|1BEXP	18DUST|28CDMG|3NUKE|4RCR|5MLV|6BEXP|78DMG|8BPWR|9DMSP|aBASARM
4	36141 31423	 * 	197.02	ACR|3BEXP|2DMG|1ASPD|1CDMG	1LHND|2CDMG|3ZMB|4RCR|5ASPD|679BEXP|8aDMG
5	26141 31433	   	196.92	ACR|3BEXP|2DMG|1ASPD|1CDMG	1DUST|2CDMG|3ZMB|4RCR|5ASPD|679BEXP|8aDMG
6	36241 31423	   	196.92	ACR|3BEXP|2DMG|1ASPD|1CDMG	1LHND|2CDMG|3NUKE|4RCR|5ASPD|679BEXP|8aDMG
7	26241 31433	   	196.82	ACR|3BEXP|2DMG|1ASPD|1CDMG	1DUST|2CDMG|3NUKE|4RCR|5ASPD|679BEXP|8aDMG
8	36143 33224	   	196.54	ACR|1BASARM|2BEXP|1DMG|1CDMG	1LHND|2CDMG|38ZMB|4RCR|5MLV|69BEXP|7DMG|aBASARM
9	36141 13224	 * 	196.44	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1LHND|2CDMG|38ZMB|4RCR|5ASPD|6ERES|79BEXP|aBASARM
10	36141 13324	   	196.34	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1LHND|2CDMG|3ZMB|4RCR|5ASPD|68ERES|79BEXP|aBASARM
11	36241 63233	 * 	196.23	ACR|1BASARM|1ASPD|1BASICY|1CDMG|1AAC	1LHND|2CDMG|3NUKE|4RCR|5ASPD|6DUST|7RPLT|8BASICY|9AAC|aBASARM
